id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg51855253,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2019-07-17 13:39:28,snowballtokencoin,Newbie,35,0,,[ANN]Snowballcoin[SNBL]Start,"Dear Advisors, The seminar information held in Japan will be distributed in Japanese only.  各位顾问 在日本舉行的研討會信息僅以日語發布。   各位顧問 在日本举行的研讨会信息仅以日语发布。  회원 여러분  일본에서 개최하는 세미나 정보에 대해, 일본어로만 제공합니다.   日本で開催するセミナー情報につき、日本語のみで配信します。    アドバイザー各位    日本での、説明会の日程が決まりました。  東京、大阪、広島、石川で開催されます！  生まれ変わるSNBL、イーサクラブの最新情報をご確認ください！     ◆今回のセミナーで得られる情報  ・SNBL→SNBXのバージョンアップについて  ・ワールドステージについて  ・I88の現状とこれから  ・新取引所「ZePTO HASH」とは  ・イーサクラブキャンペーン情報     ●東京　　7/29（月）　昼・夜  ①14:00～16:00  ②18:30～20:00  会場：五反田スタンダード会議室　8階B会議室  https://gotanda.spaceuse.net/map/  住所：東京都品川区東五反田2-3-5 五反田中央ビル  講師：Mr.Ethereum/梅本昌吾4★DA  参加費：無料 ※ウェビナーで公開予定     ●大阪　　7/31（水）13：00～  会場：創志　貸し会議室  住所：大阪市中央区道修町1-2-4源実業北浜ビル5F  http://www.so-si.org/conferenceRoom/  講師：Mr.Ethereum/梅本昌吾4★DA  参加費：無料     ●石川県　　8/6（火）18：30～  会場：野々市市交遊舎  住所：石川県野々市市二日市1 -2  https://www.city.nonoichi.lg.jp/soshiki/9/764.html  講師：Mr.Ethereum/梅本昌吾4★DA  参加費：無料     ●広島　　　8/9（金）19：00～  会場：TKPガーデンシティPREMIUM広島駅前　ミーティングルーム5C  住所：広島県広島市南区大須賀町13-9  https://www.kashikaigishitsu.net/facilitys/gcp-hiroshima-ekimae/access/  講師：Mr.Ethereum/梅本昌吾4★DA  参加費：無料    ETH CLUBログインページ https:// member.eth-club .com/  ☆iLexExchange☆ https://www. ilexexchange .com HitBTC https://hitbtc.com/ LIVECOIN https://www.livecoin.net/ MERCATOX https://mercatox.com/ DEXDELTA https://dexdelta.github.io SouthExchange https://www.southxchange.com    ※この送信アドレスは配信専用です。 ------------------------------------------- イーサクラブカスタマーサポート customer@eth-club.com",False
2,msg51980625,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2019-07-28 13:06:00,snowballtokencoin,Newbie,35,0,,[ANN]Snowballcoin[SNBL]Start,"★★日本開催セミナー情報★★   Dear Advisors, The seminar information held in Japan will be distributed in Japanese only.  各位顾问 在日本舉行的研討會信息僅以日語發布。  各位顧問 在日本举行的研讨会信息仅以日语发布。  회원 여러분 일본에서 개최하는 세미나 정보에 대해, 일본어로만 제공합니다.  日本で開催するセミナー情報につき、日本語のみで配信します。    アドバイザー各位   お世話になっております。 広島の説明会の日程、会場が変更になりました。   ●広島　8/11（日）13：30～ 会場：TKPガーデンシティPREMIUM広島駅前 ミーティングルーム5C 住所：広島県広島市南区大須賀町13-9 https://www.kashikaigishitsu.net/facilitys/gcp-hiroshima-ekimae/access/ 講師：Mr.Ethereum/梅本昌吾4★DA 参加費：無料 -----------------------------------------------------------------------  ◆今回のセミナーで得られる情報 ・SNBL→SNBXのバージョンアップについて ・ワールドステージについて ・I88の現状とこれから ・新取引所「ZePTO HASH」とは ・イーサクラブキャンペーン情報   ●東京　7/29（月）　昼・夜 ①14:00～16:00 ②18:30～20:00 会場：五反田スタンダード会議室　8階B会議室 https://gotanda.spaceuse.net/map/ 住所：東京都品川区東五反田2-3-5 五反田中央ビル 講師：Mr.Ethereum/梅本昌吾4★DA 参加費：無料   ●大阪　7/31（水）13：00～ 会場：創志　貸し会議室 住所：大阪市中央区道修町1-2-4源実業北浜ビル5F http://www.so-si.org/conferenceRoom/ 講師：Mr.Ethereum/梅本昌吾4★DA 参加費：無料   ●石川県　8/6（火）18：30～ 会場：野々市市交遊舎 住所：石川県野々市市二日市1 -2 https://www.city.nonoichi.lg.jp/soshiki/9/764.html 講師：Mr.Ethereum/梅本昌吾4★DA 参加費：無料     ETH CLUBログインページ https:// member.eth-club .com/  ☆iLexExchange☆ https://www. ilexexchange .com HitBTC https://hitbtc.com/ LIVECOIN https://www.livecoin.net/ MERCATOX https://mercatox.com/ DEXDELTA https://dexdelta.github.io SouthExchange https://www.southxchange.com   ※この送信アドレスは配信専用です。 ------------------------------------------- イーサクラブカスタマーサポート customer@eth-club.com",False
3,msg52135632,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2019-08-12 02:37:01,snowballtokencoin,Newbie,35,0,,[ANN]Snowballcoin[SNBL]Start,"Dear Advisors, Japanese seminar information will be distributed only in Japanese.  各位顾问 日语研讨会信息仅以日语发布。  各位顧問 日語研討會信息僅以日語發布。  회원 여러분 일본어 세미나 정보에 대해, 일본어로만 제공합니다.  日本語のセミナー情報につき、日本語のみで配信します。    アドバイザー各位  お待たせしました。 7/29（月)東京で開催されたセミナーを収録した映像を公開します。 前半 https://youtu.be/SSHH7N_Fzo4 後半 https://youtu.be/a25tmYFsc3I  なお、この時発表となった内容は、改めてメール、インフォメーションにてご案内させていただきます。  また、この内容のおさらいと、ラストプロモーションプロモーション用として新規の方向けの内容を合わせてウェビナーを、本日開催します。スマホをお持ちであれば、どこからでもご参加可能ですので、お誘いあわせの上ご参加ください。  ■ETH CLUBウェビナー  日時：8/12(月祝)17:00～(30分前オープン) 参加URL：https://zoom.us/j/972134784 ミーティングID：972134784 講師：新渡戸諭吉  今回のウェビナーで得られる情報 ・ETH CLUBとは ・SNBL→SNBXのバージョンアップについて ・ワールドステージについて ・I88の現状とこれから ・新取引所「ZePTO HASH」とは ・イーサクラブプロモーション情報  ▼ウェビナーに参加するには(事前申し込み不要)  セミナー開始時間前に https://zoom.us/j/972134784 からアクセスしてください。  ※セミナーは定刻に始めますので、開始前にオンラインセミナールームに入室ください。30分前から開けておきます。 ※アプリからは、ミーティングID972-134-784で入室可能です。 ※スマホでも、パソコンでも参加できますが、パソコンはスピーカーかイヤホン機能が付いていることが必須です。  〇講師紹介：新渡戸諭吉 Mr.Ethereumの右腕。 Mr.Ethereumの経営する創業12年会員9万人を有するMLM企業の広報宣伝担当の敏腕マネージャー。 前職は、MLM業界最大規模のサイトを運営する企業の副社長で、MLMの経営陣、トップリーダーとも親交を深める。 このとき、Mr.Ethereumと出会い創業期から入社、業界記録を打ち立てる力となる。 新渡戸諭吉は、新渡戸稲造と福澤諭吉を合体させたクリプトネームである。 年間400杯を食すラーメンフリークでもある。   ETH CLUBログインページ https:// member.eth-club .com/  ☆iLexExchange☆ https://www. ilexexchange .com HitBTC https://hitbtc.com/ LIVECOIN https://www.livecoin.net/ MERCATOX https://mercatox.com/ DEXDELTA https://dexdelta.github.io SouthExchange https://www.southxchange.com      ※この送信アドレスは配信専用です。 ------------------------------------------- イーサクラブカスタマーサポート customer@eth-club.com   https://twitter.com/snowball_coin/status/1160740073182121984/photo/1",False
4,msg52221957,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2019-08-21 08:04:32,snowballtokencoin,Newbie,35,0,,[ANN]Snowballcoin[SNBL]Start,"[Important] Information on SNBL hard forks  To all advisors,  In order to enhance security and to comply with the latest ERC-20, SNBL hard forks to SNBX. As for ETH CLUB’s last promotion, we are asking you to confirm since we will be taking a special response to advisors for a limited time. In addition, the world stage reward will be paid by SNBX at the end of August.  ◆◆ SNBX details ◆◆ ・ Token name: SnowBallX ・ Number of issued cards: 24,000,000,000 -Decimal places: 8 digits ・ Compliant with latest ERC20 ・ Initial operation as private coin ・ Listing is scheduled half a year later  ◆◆ ETH CLUB Last Promotion ◆◆ Target: ETH CLUB Advisor ・ SNBL → SNBX exchange rights (twice until the end of September) ・ You can purchase SNBL large (from $ 2,000) from Bronze Advisor  ◆◆ About SNBX exchange ◆◆  ◎ Replacement with 1SNBL ⇒ 2SNBX is limited until 9/30.  ◎ SNBX cannot be returned to SNBL after replacement.  ◎ SNBX cannot send money for a certain period.  ◎ Since all SNBLs within this account are eligible for exchange, if you want to keep it as SNBL, please move the SNBL you want to keep to an external wallet before replacing it.   ◎ A PIN (PIN) is always required for SNBX replacement. Check the “PIN” in advance. * “PIN” is used for remittance, etc., so it is different from the login password.  ■ Registration and confirmation of personal identification number (PIN) After logging in, click on “Profile” in the menu and click on the 3rd on3, “Register PIN”.  ▽ When registered PIN (PIN) has been registered “Registered PIN” is displayed, so no registration is required.  ▽ When the registered PIN (PIN) is not registered “Registered PIN” is not displayed. Register your PIN (6-15 alphanumeric characters)  ■ SNBX replacement procedure ① After logging in, click “Account” in the menu. (2) Under each wallet, “If you want to exchange SNBL with SNBX, click here.” Click “Next”. (3) Check the precautions for the exchange. ④ Enter your PIN and click “Exchange”. ⑤ Completion * You can see the manual of the exchange procedure on the download page.  ◆◆ Others ◆◆  ■ The video of the Tokyo Seminar on July 29th (Monday), when the details of the above contents were announced (Japanese), has been uploaded. first half https://youtu.be/SSHH7N_Fzo4 Latter half https://youtu.be/a25tmYFsc3I  ■ ETH CLUB Webinar (Japanese)  Date: (Japan Time) 8/27 (Tue) 18:00-(Open 30 minutes before) https://zoom.us/j/770415244 Meeting ID: 770415244 Lecturer: Yukichi Nitobe    Information obtained from this webinar ・ About ETH CLUB ・ About SNBL → SNBX upgrade ・ About World Stage ・ Current status and future of I88 ・ What is the new exchange `` ZePTO HASH ''? ・ Ether Club Promotion Information  ▼ To participate in the webinar (no prior application required)  Before the seminar starts, please access from, https://zoom.us/j/770415244  * The seminar will start on time, so please enter the online seminar room before the seminar starts. It will be open 30 minutes before the starting time. * Meeting ID 770-415-244 can be entered from the app. * You can participate with a smartphone or a computer, but the computer must have a speaker or earphone function. * Only those who have entered an Ether Club nickname in the chat field will be able to view the video recorded later.   ETH CLUB login page https:// member.eth-club .com/  ☆iLexExchange☆ https://www. ilexexchange .com HitBTC https://hitbtc.com/ LIVECOIN https://www.livecoin.net/ MERCATOX https://mercatox.com/ DEXDELTA https://dexdelta.github.io SouthExchange https://www.southxchange.com       ※ This sending address is for delivery only. ------------------------------------------------------------- ETH CLUB Customer Support customer@eth-club.com  https://gamelimited.net/wp-content/uploads/2019/08/08-21-2019.png",False
5,msg52221984,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2019-08-21 08:08:37,trarzi,Newbie,3,0,,[ANN]Snowballcoin[SNBL]Start,dev still here !,False
6,msg43496218,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2018-08-05 06:00:45,snowballtokencoin,Newbie,35,0,,[ANN]Snowballcoin[SNBL]Start,"Dear Advisors  At the ""ETH - CLUB international KICKOFF EVENT in Tokyo"" held on July 30, a new compensation plan and a new promotion were announced.  ★★New Compensation Plan★★  Even with the same matching acquisition level, you can now get a matching bonus with fewer positions than before. Also, the title names has been changed in part. The changes are as follows. This change has been effective since Aug 1.  Title / Number of Right and Left Position / Matching acquisition level  1★PA(Platinum Agents) /  200P each    /  5Lv 1★DA(Diamond Agents)/   400P each   /  6Lv 2★DA(Diamond Agents) /  600P each   /  7Lv 3★DA(Diamond Agents) /  800P each   /  8Lv 4★DA(Diamond Agents) / 1,000P each /  9Lv 5★DA(Diamond Agents) / 2,000P each /10Lv  ※See the images below.  ★ ★ New promotion ★ ★  [Promotion Period] August 1, 2018 (Wed) ~ October 31, 2018 (Wed)  [Contents] We invite you to Hong Kong · Macau tour if you achieve the following condition ① ② in the period. ※ You can earn the tour participation rights of ① ② in duplicate.  [Tour dates] The second half of January, 2019  ① Recruit promotion · Those who directly recruited more than 20 people within the period. ※ BA (1P) registration will not be counted. ※ If you introduce more than 20 people, we invite one person every 20 people.  ② W Title Up Promotion · UP in two or more ranks in the new compensation plan above within the period. ※ The minimum title of the achievement is 1 ★ DA.  [Title Bonus] · The following bonus will be generated for the highest title achieved within the period. 5 ★ DA ⇒ 1,000,000 SNBL 4 ★ DA ⇒ 800 000 SNBL 3 ★ DA ⇒ 500,000 SNBL 2 ★ DA ⇒ 300,000 SNBL 1 ★ DA ⇒ 200,000 SNBL 1 ★ PA ⇒ 100,000 SNBL PA ⇒ 50,000 SNBL ※ Each title bonus can not be duplicated.   ETH CLUB login page https://member.eth-club.com/  MERCATOX https://mercatox.com/  DEXDELTA https://dexdelta.github.io  SouthExchange https://www.southxchange.com    ※ This sending address is for delivery only.  ------------------------------------------------------------- ETH CLUB Customer Support customer@eth-club.com",False
7,msg43680556,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2018-08-08 00:20:36,snowballtokencoin,Newbie,35,0,,[ANN]Snowballcoin[SNBL]Start,"★★Listing · Third Report★★  Dear Advisors,  This is the third report of listing . On August 2, 2018, SNBL listed on the exchange 'MERCATOX'.  ""MERCATOX"" is a UK virtual currency exchange established in 2015.  'MERCATOX' was in 68th place at the ""Top 100 Cryptocurrency Exchanges By Trade Volume(Adjusted,as of August 2)"" of ""CoinMarketCap"". (Incidentally, SouthXchange was in 170th place).  ◎ Features of 'MERCATOX' ・Based in United Kingdom ・0.25% Flat trading fee ・It handles various cheap altcoins which was newly listed. → It is watched by the people who is searching for Sleeping Giants to become a billionaire with keen interest.  By being listed on ""MERCATOX"", SNBL will draw more attention around the world.   ▼ 'MERCATOX' website https://mercatox.com ※ As for the use of  'MERCATOX', please read the Terms of Use and take full responsibility for your actions.   ETH CLUB login page https://member.eth-club.com  DEXDELTA https://dexdelta.github.io  SouthExchange https://www.southxchange.com    ※ This sending address is for delivery only.  -------------------------------------------------------------  ETH CLUB Customer Support customer@eth-club.com",False
8,msg44650817,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2018-08-25 11:33:08,klarki,Legendary,1554,1127,,[ANN]Snowballcoin[SNBL]Start,Snowballcoin[SNBL] is listed at Livecoin Exchange and available for trading.  SNBL/BTC: https://www.livecoin.net/en/trade/index?currencyPair=SNBL%2FBTC SNBL/ETH: https://www.livecoin.net/en/trade/index?currencyPair=SNBL%2FETH,False
9,msg45361998,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2018-09-08 02:52:33,paganagentga,Newbie,9,0,,[ANN]Snowballcoin[SNBL]Start,Snowball is a new type of electronic money based manufacturer Ethereum. I hope you will develop this electronic currency. Wish success,False
10,msg45362468,https://bitcointalk.org/index.php?topic=3636991.0,,18211,Announcements (Altcoins),2018-09-08 03:17:28,patriknilen,Member,156,10,,[ANN]Snowballcoin[SNBL]Start,"Will you sale ICO or not brother? I don't find out any information about ICO. Total number of your token is 2 400 000 000, so what is the price of token brother?",False
