id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28096804,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-01-14 08:13:39,rizkyalhabsy,Full Member,394,100,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,How softcap this ico?,False
2,msg28162808,https://bitcointalk.org/index.php?topic=2631976.0,msg28096804,708,Announcements (Altcoins),2018-01-15 07:48:03,dwminer1,Hero Member,994,508,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,"   Softcap is $500,000 USD.",False
3,msg31404599,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-03-02 11:52:09,dwminer1,Hero Member,994,508,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,Any news? Whats going on with this project?,False
4,msg31602883,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-03-05 05:12:46,moirahpascual11,Newbie,126,0,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets," this project is very interesting, hopefully the development team can maximize in the promotion of this project. i think this will be great in future,good luck",False
5,msg31860848,https://bitcointalk.org/index.php?topic=2631976.0,msg31404599,708,Announcements (Altcoins),2018-03-08 15:59:24,buternasek,Member,336,12,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,  i have the same question .. when the distribution will be completed?,False
6,msg31866769,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-03-08 17:32:21,Samuiel,Newbie,224,0,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,"What can I do to fix this? I have about 500 coins in my wallet, but it doesnt seem to recognize them.",False
7,msg33295615,https://bitcointalk.org/index.php?topic=2631976.0,msg31860848,708,Announcements (Altcoins),2018-03-27 15:02:44,wbk940122,Full Member,379,100,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,"    this project release long time ago ,i didn't find this tokens from market ,where can i buy some tokens for investment . thanks!",False
8,msg34286593,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-04-09 10:35:53,aidit45@gmail.com,Sr. Member,868,251,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,Hello dev I have two question 1. In the roadmap token sale finish For April 2018 and listing exchange in May 2018 but in the other info is june 2018 2. How many token are sold till now. Thank you,False
9,msg36934290,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-05-11 04:37:02,hamamana99,Newbie,188,0,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,at the point for further growth of whole market jump of Btc is also needed ...anyway alts lost much more during decline. Normal to move better now,False
10,msg37068639,https://bitcointalk.org/index.php?topic=2631976.0,,708,Announcements (Altcoins),2018-05-12 15:59:12,lanndrysmith,Newbie,112,0,,ANN: RealtyCoin Pre ICO sale: Cryptocurrency based on Real Estate Assets,Any updates?,False
