id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46066844,https://bitcointalk.org/index.php?topic=5035993.0,,288,Announcements (Altcoins),2018-09-23 13:15:38,Godbex Solutions,Copper Member,10,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"It’s time! GODBEX launches ICO with September 24, 2018 #joinus  Godbex - Secure and scalable next-generation gold bullion and cryptocurrency platform    “From bad news to a great success, from losing to winning, from panic towards GBE token”  Revolution of the existing trading markets by linking the oldest and newest world’s currencies  Combining the oldest and newest world’s currencies, GODBEX revolutionizes the existing trading markets by linking the current and future cryptocurrencies with gold bullion, while maximizes customer’s profit by taking into account price changes of both financial assets. Within  the  platform  user  has  four  modules  available:  Gold  Bullion  Market,  Exchange,  Digital  Bank  and  Digital Assets Management. Each user has one account assigned – access via web or mobile (Android, iOS), where his total balance is denoted as a combination of fiat currencies, cryptocurrencies and the amount of gold that the user owns.    Benefits  Real-time trading of gold bullion. Next-generation exchange where an investor can buy any cryptocurrency with either fiat currency or traditional unit of gold, a Troy ounce. Furthermore, exchange allows transfer of value from cryptocurrencies to gold bullion. Digital bank module that allows instant deposit/withdraw or payment using debit card. Debit card’s total balance represents a total value of fiat, cryptocurrency and gold. Consulting services for investment or trading with cryptocurrencies and gold bullions.     While cryptocurrency traders have recognized gold bullion as an excellent exit from cryptocurrencies when its price is decreasing, the traditional investors have recognized cryptocurrency as a prospective and certainly interesting investment segment that can provide high return of investment in a short period of time. And since the cryptocurrency investment can be partially compared with investing in stocks, gold is certainly an instrument that prevents loss of equity, so avoidance of inflation and value retention are guaranteed. Watch the video here!   Token Sale  Token: GBE Price: 1 GBE = 1.25 USD ICO start: 24 Sep 2018 ICO end: 31 Jan 2019 Platform: Ethereum Accepting: BTC, ETH, Fiat (USD and EUR), Gold bullion Soft cap: 20,500,000.00 USD Hard cap: 91,250,000.00 USD  GODBEX token is much awaited! ICO sale is live right away from September 24th, 2018 till January 31st, 2019. The GBE token, utility token, will be official currency of the GODBEX platform and has three main applications:  Bridge, i.e. link for value transfer between cryptocurrency and gold bullion and vice versa; Significant discount (minimum of 50%) when user use GBE token to pay transaction fees; For listing on our exchange, interested parties will have to contribute with a certain amount of GBE tokens.    Join us!  WEB: https://godbex.io/ TWITTER: https://twitter.com/Godbex_Ltd MEDIUM: https://medium.com/godbex TELEGRAM: https://t.me/Godbex YOUTUBE / VIDEO: https://www.youtube.com/watch?v=jO_qmXaiJ98 WHITEPAPER LINK: https://godbex.io/assets/documents/GODBEX-whitepaper-ENGLISH.pdf",False
2,msg46067830,https://bitcointalk.org/index.php?topic=5035993.0,,288,Announcements (Altcoins),2018-09-23 13:36:42,desi_translator2018,Copper Member,322,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,RESERVED for HINDI translaion....  helloo admin.... can i translate ANN page / WHITE paper  to HINDI(INDIA) language ??  here is my portfolio..... https://drive.google.com/drive/folders/1TTRWTdF-VC71_TgP4dcsy6wH4BoL9cxB  waiting for your confirmation..... thank you....,False
3,msg46068228,https://bitcointalk.org/index.php?topic=5035993.0,,288,Announcements (Altcoins),2018-09-23 13:44:56,patriknilen,Member,156,10,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"Bitcointalk forum mod already change the forum rule, now you can not post any photo if you are a newbie, only one way to you to post a photo is become a copper member. So, some your photo link will not show. I think it will be better if you are a copper member.",False
4,msg46069000,https://bitcointalk.org/index.php?topic=5035993.0,,288,Announcements (Altcoins),2018-09-23 14:01:31,Krezz2017,Full Member,560,128,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"You write that your platform is designed to trade gold bullion. And how much is it legal? Gold, as far as I know, is under the supervision of the state.",False
5,msg46083933,https://bitcointalk.org/index.php?topic=5035993.0,msg46069000,288,Announcements (Altcoins),2018-09-23 19:05:39,Godbex Solutions,Copper Member,10,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"  Most commonly gold is used for portfolio diversification by private investors, organizations and also by central banks. State authorities keep record on (monetary) gold owned by central banks. Meanwhile, trading gold bullion on Godbex platform will be licensed and in accordance with international legislation, rules and quality controls.",False
6,msg46090968,https://bitcointalk.org/index.php?topic=5035993.0,,288,Announcements (Altcoins),2018-09-23 22:44:53,dugidox,Newbie,64,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"What is special with your exchange model, as you say Next-generation exchange, Bitstamp has gold bullion's available for withdrawal from 2015-2016, so it isn't anything new??? How do you plan handle legal compliance as you are planning open digital bank? You need payment institution license, Coinbase acquired license not long ago",False
7,msg46091029,https://bitcointalk.org/index.php?topic=5035993.0,msg46090968,288,Announcements (Altcoins),2018-09-23 22:48:03,tippytoes,Sr. Member,896,257,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"   They need to acquire first those legal documents before anything else. So many projects have tried and attempted to lure users with the use of gold, but sad to say, most of them are scammers. We will see how will this project provide all the necessary legalities here. Else, this is just another crap one.",False
8,msg46111171,https://bitcointalk.org/index.php?topic=5035993.0,msg46090968,288,Announcements (Altcoins),2018-09-24 12:49:44,Godbex Solutions,Copper Member,10,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"  In cooperation with company Moro&Kunst Ltd. (whose representatives are part of Godbex team), Bitstamp was the first cryptocurrency exchange to offer the option of gold withdrawal, that was in late 2015. Godbex Exchange Module will not only enable gold purchase (withdrawal) but also a fast, cost efficient and easy position change between cryptocurrency and gold bars. Godbex exchange will introduce trading pair crypto/gold (one Troy ounce). Our partner Ceferin Law Firm is already preparing the necessary documentation for obtaining the digital bank license.",False
9,msg46117794,https://bitcointalk.org/index.php?topic=5035993.0,msg46091029,288,Announcements (Altcoins),2018-09-24 15:43:56,dugidox,Newbie,64,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"   Yes, exactly same thought, There was several project who had gold in their subjects, but i didn't remember any of them made something worth mentioning. I didn't have time yet to check their whitepaper in details, but from that initial post, what makes me curious, how they plan bring gold pair with crypto?   Quote from: Godbex Solutions on September 24, 2018, 12:49:44 PM Quote from: dugidox on September 23, 2018, 10:44:53 PM What is special with your exchange model, as you say Next-generation exchange, Bitstamp has gold bullion's available for withdrawal from 2015-2016, so it isn't anything new??? How do you plan handle legal compliance as you are planning open digital bank? You need payment institution license, Coinbase acquired license not long ago In cooperation with company Moro&Kunst Ltd. (whose representatives are part of Godbex team), Bitstamp was the first cryptocurrency exchange to offer the option of gold withdrawal, that was in late 2015. Godbex Exchange Module will not only enable gold purchase (withdrawal) but also a fast, cost efficient and easy position change between cryptocurrency and gold bars. Godbex exchange will introduce trading pair crypto/gold (one Troy ounce). Our partner Ceferin Law Firm is already preparing the necessary documentation for obtaining the digital bank license.  Offering gold at the free market, mean that everyone can buy, then it comes question.. I would like hear more on this, who would supply your gold reserves?",False
10,msg46123808,https://bitcointalk.org/index.php?topic=5035993.0,msg46091029,288,Announcements (Altcoins),2018-09-24 18:35:33,Godbex Solutions,Copper Member,10,0,,[ANN] [ICO] [PRIVATE & PUBLIC SALE] [GBE] Godbex ICO is live on 24th Sept 2018!,"   Ceferin Law firm, whose representatives are part of Godbex team, have started preparing all necessary legal documents for obtaining the license for Godbex Digital Bank. Therefore, we are fully prepared and once the soft cap is reached the process of obtaining digital bank license will run effectively. According to our road map, the license will be obtained in a few months.",False
