id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34819632,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-16 08:33:44,happy weblancer,Full Member,518,114,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,"And did not understand from White perer, KAMIs can be traded on the stock exchange or should they be exchanged for KAMI? Who knows?",True
2,msg34896253,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-17 06:57:02,aryaln463,Newbie,45,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,great project,True
3,msg34978980,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-18 07:27:30,Mrdau9987,Newbie,82,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,Good project . Great !!!,True
4,msg35109063,https://bitcointalk.org/index.php?topic=2855966.0,msg34398134,3460,Announcements (Altcoins),2018-04-19 17:39:25,u_chiha,Member,378,10,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,"  maybe the news is true, because I read The CryptoKami Public Presale Sold Out!! https://twitter.com/crypto_kami/status/981241113410285568",True
5,msg35153260,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-20 09:18:51,meomeo989,Newbie,98,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,Looks interesting! I’m waiting for more details about the project,True
6,msg35635043,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-26 12:43:30,Mrdau9987,Newbie,82,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,"i have contribute some Kamis, please let me know when i can withdraw my Kamis on your web wallet?",True
7,msg35795455,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-28 13:17:44,chidi6957,Jr. Member,211,1,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,This project is a scam don't fall for it.  Admin on telegram have confirmed it!! Team is unknown and their address is a fake one. Every details about them is fake 100%,True
8,msg35935660,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-04-30 08:05:32,ningo,Newbie,126,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,This project has a lot of great ideas.Please do you have a referral program because Ii want more coins when I refer a great investor here.,True
9,msg35935815,https://bitcointalk.org/index.php?topic=2855966.0,msg35795455,3460,Announcements (Altcoins),2018-04-30 08:08:01,ningo,Newbie,126,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,    Really?.I almost fall for this project oo.I was about to budget and buy token.Thank you my brother for the information.,True
10,msg36046597,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-05-01 16:42:50,magisterr,Sr. Member,854,259,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,Where is information about your team? I cant find nothing about your team on the site and in this thread ,True
11,msg36050481,https://bitcointalk.org/index.php?topic=2855966.0,msg35795455,3460,Announcements (Altcoins),2018-05-01 17:39:48,cryptobits3,Full Member,658,100,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,"    sad news, but in principle I suspected that this is how it will be here. it was really not all natural well at least did not invest in this project",True
12,msg36176227,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-05-03 06:35:47,Packman32,Newbie,104,0,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,Open-source Cardano (Ouroboros proof of stake algorithm) + compulsory reserve mechanism + Comreme Algorithm (CryptoKami’s invention) + Regulatory Contract (CryptoKami’s invention) = 3rd -generation blockchain infrastructure of CryptoKami,True
13,msg36761825,https://bitcointalk.org/index.php?topic=2855966.0,,3460,Announcements (Altcoins),2018-05-09 09:31:01,windydagreat,Member,214,10,,[ANN][KAMI][BOUNTY] CRYPTOKAMI - DECENTRALIZED RESERVE SYSTEM,When is crypto kami listed on exchange? ,True
