id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50002911,https://bitcointalk.org/index.php?topic=2956471.0,msg48967752,17051,Announcements (Altcoins),2019-03-03 14:54:22,Orozu.ORO,Copper Member,154,0,,[ANN] Orozu (ORO) - Our ICO is Live,   Yes interpol is also looking for a filipino who was helping the team with a flaw in the system which he got the developer to tweak the system to steal million of coins from the system. Last name of the person sounds like the one you are using in your account here.,False
2,msg50003510,https://bitcointalk.org/index.php?topic=2956471.0,msg50002911,17051,Announcements (Altcoins),2019-03-03 15:33:52,Nightz,Hero Member,1078,500,,[ANN] Orozu (ORO) - Our ICO is Live,   Interpol? How do you know that they are involved? Are you working with them or did they contact your team?,False
3,msg50879804,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2019-05-03 13:03:58,Lordofervi,Newbie,270,0,,[ANN] Orozu (ORO) - Our ICO is Live,"Too bad when this project gets attack through market liquidity. it shows the development team's passion for the success of this project but the results are ignored by their own supporters,  following the last mail before I burn all the assets and close the POS http://prntscr.com/njxana",False
4,msg41240322,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-06-30 20:37:53,mirror001,Full Member,351,100,,[ANN] Orozu (ORO) - Our ICO is Live,"Hello,  Sir i am from the OROZU bounty compaign. I joined the orozu blogs and media compaign and my articles were accepted. 2 articles in medium category and 1 in normal category and 1 in good category.  I received the email from orozu with a screenshot of sending 1 normal and 1 medium article reward  But i did not receive any email regarding 1 medium and 1 good article reward. my total ORO should be 1948.0519 but I received only 730.5194805 these are my content links which were accepted  1)  https://steemit.com/blockchain/@sonhrabanda/orozu-token-sale (accepted in good category)  (Submitted through ETH address)                                                         ETH Address:  0x1f770746342Bbd9D5Ce433D97C531273f13E5980 2)  https://steemit.com/blockchain/@mirror001/orozu-soon-to-be-on-the-coinmarketcap-list  (accepted in Medium category) 3)  https://steemit.com/blockchain/@mirror001/orozu-cryptocurrency-class-to-be-offered-by-the-best-mba-programs-will-benefit-altcoins (accepted in Medium category) 4)  https://steemit.com/blockchain/@mirror001/orozu-for-experts-people ( Accepted in normal category)  BTT profile link :    https://bitcointalk.org/index.php?action=profile;u=1132170 Orozu wallet address:   CLsaBwh1g7jCVbMecYkMdMSSZh6L2Zi5Kg  Sir you can check my this work in spreadsheet no. 14, 34, 62 and 63.  Could you please check this out? I would be grateful.  And Sir if someone put ETH address instead of orozu address then his/her reward will be lost or they will get the reward through ETH Address?  Please sir tell me these two questions I would really appreciate your time and effort. Thanks.  Regards",False
5,msg41470085,https://bitcointalk.org/index.php?topic=2956471.0,msg41240322,17051,Announcements (Altcoins),2018-07-04 03:40:04,Orozu.ORO,Copper Member,154,0,,[ANN] Orozu (ORO) - Our ICO is Live,   Please check your email.,False
6,msg41502070,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-07-04 13:44:17,kalstarzz,Full Member,756,100,,[ANN] Orozu (ORO) - Our ICO is Live,"I see the distribution has been done, I just wait for the exchange to get this coin when the exchange will be launched.",False
7,msg41843724,https://bitcointalk.org/index.php?topic=2956471.0,msg41502070,17051,Announcements (Altcoins),2018-07-09 14:37:06,LastKiss,Sr. Member,966,250,,[ANN] Orozu (ORO) - Our ICO is Live,"   Yea, I just got an email and the distributions have done also you can check their bounty thread their tokens already listed on OCTAEX and CREX https://crex24.com/exchange/ORO-BTC https://www.octaex.com/trade/index/market/oro_btc/",False
8,msg41844079,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-07-09 14:42:18,Phossahabboy,Newbie,43,0,,[ANN] Orozu (ORO) - Our ICO is Live,The main theme that in the future it has guarantee the development of the project!  Good luck fellows!,False
9,msg42628149,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-07-22 00:57:34,jaksone,Sr. Member,686,250,,[ANN] Orozu (ORO) - Our ICO is Live,Where can I find LINKs to sell and buy from Orozu coin after all the long finishing of the fund-raising project .. I hope the exchange takes place in a big exchange place,False
10,msg42892485,https://bitcointalk.org/index.php?topic=2956471.0,msg42628149,17051,Announcements (Altcoins),2018-07-26 07:29:39,Orozu.ORO,Copper Member,154,0,,[ANN] Orozu (ORO) - Our ICO is Live,    Hi Guys please check our new website and our new eco system to go along with it!!!!,False
11,msg44604505,https://bitcointalk.org/index.php?topic=2956471.0,msg42892485,17051,Announcements (Altcoins),2018-08-24 12:22:54,Monster Jaday,Newbie,148,0,,[ANN] Orozu (ORO) - Our ICO is Live,"  Any news, Dev?",False
12,msg44714551,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-08-26 14:45:00,Ayuniv,Jr. Member,40,1,,[ANN] Orozu (ORO) - Our ICO is Live,Whitepaper link on your website not working. I dont see timeline when you will be listed in coinmarketcap.,False
13,msg44715708,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-08-26 15:02:52,negaim,Newbie,94,0,,[ANN] Orozu (ORO) - Our ICO is Live,Free listing by vote is a better option.,False
14,msg45060307,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-09-02 07:18:34,Ayuniv,Jr. Member,40,1,,[ANN] Orozu (ORO) - Our ICO is Live,Dev's enthusiasm on this project is really convincing (insert sarcasm).,False
15,msg45226189,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-09-05 11:39:25,VladimirN,Sr. Member,396,251,,[ANN] Orozu (ORO) - Our ICO is Live,Need more time. Dev working - ORO too the moon!,False
16,msg45226597,https://bitcointalk.org/index.php?topic=2956471.0,,17051,Announcements (Altcoins),2018-09-05 11:50:13,Mixon_Orlando,Newbie,35,0,,[ANN] Orozu (ORO) - Our ICO is Live,"Can not wait for the alpha release of the platform. It will help the project a lot, because it will show what the true potential this business has. As already said there is massive money in the intermodal industry and they really need solutions for their logistic problems. If done right (and I beleive in the team) it could be a revolution in that field.",False
17,msg45226771,https://bitcointalk.org/index.php?topic=2956471.0,msg45226597,17051,Announcements (Altcoins),2018-09-05 11:54:28,VladimirN,Sr. Member,396,251,,[ANN] Orozu (ORO) - Our ICO is Live,  This true!,False
