id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg25580487,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2017-12-01 23:18:19,qiibee,Newbie,5,0,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","Hello Bitcointalk Community   This is Jacqueline, qiibee’s Community & Content Manager and I’ll be using this account for general announcements about qiibee – a decentralized, blockchain-based loyalty ecosystem.   At qiibee, we will provide a loyalty platform and developer interface on which every loyalty application can be easily decentralized and tokenized. With the addition of our wallet, users will be able to store all loyalty tokens earned in the ecosystem, in one place. Besides that, they will be able to exchange these tokens with each other and thus maximize their freedom of choice. This, in turn will incentivize them to be more active on each account and redeem more rewards.   The opportunities resulting for loyalty program owners from building their applications with our tools include: cost savings, complete removal of the liability connected with unredeemed points, and increased data security, as our platform is based on the Ethereum blockchain. By using the blockchain, we provide an ideal framework for addressing the weak points of today’s loyalty market and making it virtually immune to modification and theft.   Our vision is to connect a highly fragmented market, increase its efficiencies as well as cut out the central data authority, whilst our mission is to become the go-to community for the discipline created by combining loyalty and crypto technology: crypto loyalty.   For more information about qiibee please visit our website: https://tokensale.qiibee.com/#/ and download our white paper: https://tokensale.qiibee.com/src/docs/qiibee-Business-White-Paper-v1.3.pdf   If you have any general questions, I’ll be pleased to answer them. For technical questions, our CTO, Pascal and our Lead Architect, Federico will respond. Whilst token sale related questions will be answered by our CEO, Gabriele.  Looking forward to your questions, inputs and feedbacks.   A further possibility to ask us questions is our Telegram channel: https://t.me/qiibee   And to not miss any news, find us on the following social media channels:   Twitter: https://twitter.com/qiibee Facebook: https://www.facebook.com/qiibee/ Google+: https://plus.google.com/b/116079759426800260168/116079759426800260168 LinkedIn: https://www.linkedin.com/company/3668594/ Instagram: https://www.instagram.com/qiibee/",False
2,msg25625434,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2017-12-02 19:12:32,2bfree,Sr. Member,574,251,,"qiibee – a decentralized, blockchain-based loyalty ecosystem",I don't get it what is the  point of this?,False
3,msg26106189,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2017-12-10 21:16:51,qiibee,Newbie,5,0,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","Hello 2bfree : )  Thank you for your question!  To sum up, the status quo of the loyalty market faces three inherent problems: 1.  highly fragmented market (due to a huge amount of not compatible loyalty programs companies need huge budgets to attract new customers and keep the existing customer base active) 2.  operational inefficiencies (liability of unredeemed points increases rapidly and low customer activity) 3.  data centralization (customer data are under the risk of attacks and manipulations) Whilst users have a hard time keeping track of their different loyalty points or to catch up with each individual loyalty program offer.  Introducing a loyalty platform on top of a Blockchain can tackle these problems altogether. Decentralized data storage gets rid of the security concerns and possible exploits of the users transaction data. Tokens instead of points stop the increased uncertainty and costs of liabilities and rewards customers with a real value. Combine these advantages in one platform and thereby enabling the exchange of loyalty tokens between different loyalty programs and you get engaged customers on top of it.  And this is exactly what qiibee provides: a loyalty platform and a DevKit enabling an easy and cost-effective integration of new and already existing loyalty applications. Combined with the qiibee Wallet where every loyalty token can be stored, exchanged and even cashed out, an ecosystem with immense network effects arises.  If you want to have the whole overview of what we have done and what we are doing you find our whitepaper here: https://tokensale.qiibee.com/src/docs/qiibee-Business-White-Paper-v1.3.pdf  Let us know if you need anything else.",False
4,msg26106294,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2017-12-10 21:19:16,UFO2018,Jr. Member,70,1,,"qiibee – a decentralized, blockchain-based loyalty ecosystem",I like this idea for sure.,False
5,msg26130200,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2017-12-11 10:03:37,qiibee,Newbie,5,0,,"qiibee – a decentralized, blockchain-based loyalty ecosystem",Thanks UFO2018 ,False
6,msg41273412,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2018-07-01 10:29:45,skovbitcoin,Full Member,532,100,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","I got nor referral code in my crowsale email. I can't finish the task ""Inviting people to the crowdsale""! Who can help me?",False
7,msg43397006,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2018-08-03 12:55:02,sv.alyona,Member,210,18,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","In honor of closing the month of July and welcoming another month of summer, we would like to share what’s been happening here at the qiibee factory.    We’ve been talking business with CNN Money Switzerland. The MindNow survey is now available in English! Incorporating your inspiring ideas. We’re upping our YouTube game.  https://blog.qiibee.com/dear-loyalty-peeps-73c8943f44d1",False
8,msg45837218,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2018-09-17 16:52:22,Flodner,Sr. Member,770,271,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","Hi everyone, Here is new qiibee ANN topic:  https://bitcointalk.org/index.php?topic=5026361.0",False
9,msg46136905,https://bitcointalk.org/index.php?topic=2498700.0,,633,Announcements (Altcoins),2018-09-25 06:20:51,dickyram88,Member,294,10,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","Very interesting project that uses a token with a very specific utility use case. It makes sense and it's straightforward. Qiibee is not a revolutionary innovation and there are lots of competitors on the market. But the idea is good enough for a solid business, with huge market potential. The business use cases in the White Paper are unique. The only issue is the market entry, and the scalability. The team is really good, experienced. I would bet they would be successful. ",False
10,msg46321344,https://bitcointalk.org/index.php?topic=2498700.0,msg46136905,633,Announcements (Altcoins),2018-09-29 20:20:13,Flodner,Sr. Member,770,271,,"qiibee – a decentralized, blockchain-based loyalty ecosystem","   Thanks for telling your opinion, can you post it in ANN qiibee thread? https://bitcointalk.org/index.php?topic=5026361.0 Also if you want to continue discussion - it's better to speak there Both qiibee team and community is ready that thread frequently, while about this topic I'm not sure",False
