id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48091495,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-11-21 06:41:06,cryptopulover,Newbie,100,0,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,Hello. Tell me will you announce the bounty program here?,False
2,msg48598697,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-12-11 13:03:41,SaravBit,Newbie,7,0,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,Where can I find the details of project,False
3,msg45416982,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-09 06:46:21,TamaraScot,Newbie,1,0,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,Yeah it's hard to make a discernable difference in today crazy competitive market. I guess its all about making the right steps regarding this plan,False
4,msg45430894,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-09 11:51:00,Anatoli4o1,Jr. Member,118,1,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,"Technology features Dylyver is a mobile solution that uses geolocation, smart contracts and blockchain technology. Therefore, it can provide numerous advantages in comparison with the traditional business model:  Secure transactions. High level of trust. Transparency of the system. Absence of intermediaries. Maximum convenience when using the services of drivers and couriers. Instant payment. Other advantages:  Ridershring and delivery of parcels can be tracked. Calculation and distribution of payments are simplified through ""smart contracts"". Formation of the rating. Users, drivers and couriers will be able to verify each other's reputation. It will be an excellent incentive for quality service delivery. Dylyver - which combines ridersharing and a new courier service, successfully released a crypto currency - Dycoin. It is based on the Ethereum platform. The company plans to make a smooth transition from payments in traditional currency to payment in Dycoin.",False
5,msg45555202,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-11 21:45:29,Clicenrori,Newbie,1,0,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,"Keep up the work and I keep following this idea closely! Love the way the team shares the progress on their website, discord, social media etc. Love the new logos and banners!!",False
6,msg45625562,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-13 12:06:47,Anatoli4o1,Jr. Member,118,1,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,"This project is the brainchild of a Hungarian corporation. It was created by a team of specialists who have been developing advanced transport and logistics solutions for more than 8 years, using block and mobile technologies. With Dylyver, IBM and the Bancor exchange are already cooperating, which means a lot. The mission of Dylyver is to change the concept of modern transportation and postal service. If the project is implemented, which undoubtedly, given the professionalism and real goals of the developers, it will be possible to send parcels and travel in the most convenient and safe way.",False
7,msg45652838,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-13 22:37:24,Anatoli4o1,Jr. Member,118,1,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,"Using the platform, you can evaluate its advantages:  Secure and instant payments. Smart contracts, the merger of ridersharing and delivery applications with the block system, will ensure the creation of a decentralized system. If the trip was pleasant or the courier coped with its task perfectly, the amount is instantly transferred from the customer's wallet to the driver's wallet or courier. Absence of a third party. Dylyver eliminates the user's dependence on payment systems and their commissions, allows couriers and drivers to receive prompt and fair payment. Creation of a hybrid system. Cryptococcus is not every person. So far, few are really interested in crypto currency and have relevant knowledge. Therefore, a hybrid platform is created, which combines payment with virtual currency and traditional money. After a while, you can pay for services with the Dycoin token. Insurance of parcels. Blocking and ""smart contracts"" will make the delivery system transparent and reliable.",False
8,msg45674301,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-14 11:32:05,Anatoli4o1,Jr. Member,118,1,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,"This project is the brainchild of a Hungarian corporation. It was created by a team of specialists who have been developing advanced transport and logistics solutions for more than 8 years, using block and mobile technologies. With Dylyver, IBM and the Bancor exchange are already cooperating, which means a lot. The mission of Dylyver is to change the concept of modern transportation and postal service. If the project is implemented, which undoubtedly, given the professionalism and real goals of the developers, it will be possible to send parcels and travel in the most convenient and safe way. Two applications form a mutually beneficial system of servicing and earning without intermediaries. Drivers and passengers will interact with each other, as will senders, couriers and recipients. The delivery process can be controlled. Dylyver provides safe shipment and travel, beneficial to both parties. In addition, users are guaranteed an excellent income from the bonus program, which pays for referrals.  Now on the site: i co-dylyver.com in the midst of the third stage of Pre-Sale. The first was held from May 16 to May 31, the second - from June 1 to June 30. Pre-Sale-3 started on July 1 and will last until August 31. The main phase of sales of tokens (ICO) will begin on September 1 and will end on October 31.  The total amount of Dycoin is 500 million DYC.",False
9,msg45716377,https://bitcointalk.org/index.php?topic=3591038.0,,2285,Announcements (Altcoins),2018-09-15 09:46:45,NightDream,Full Member,644,103,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,Dylyver Drive ride-sharing app https://www.youtube.com/watch?v=rklUAY2AvC4&feature=youtu.be&a=  Order any vehicle with just a click of a button and easily pay for your ride with Dycoin tokens. Pre-ICO is now live.,False
10,msg45763802,https://bitcointalk.org/index.php?topic=3591038.0,msg36500159,2285,Announcements (Altcoins),2018-09-16 09:18:37,AndiHon,Newbie,31,0,,[ANN] DYLYVER ICO [DYCOIN Token] Ride sharing and social delivery service,"   Dylyver is a sensational project - an ecosystem that helps in everyday life, and especially in sending and receiving courier parcels at low prices. The project has several platforms that are highly competitive:  1) The ""Dylyver Drive"" platform, which connects drivers and passengers, seems to be a place to store various data - senders, recipients of parcels and couriers. From here you can quickly enter information, also using the Android and IPhone applications.  2) A peer-to-peer platform for delivering ""Dylyver Cargo"" parcels, which combines courier and receiver senders.  3) A Dylyver Drive platform for sharing a ride that allows users to quickly order a vehicle at any time with just one click. A very convenient and quick solution. Dylyver Drive is an application for journeys on iPhone and Android devices. The user can become a driver within three days using a mobile phone and vehicle, registering as a partner in the Dylyver model.  You can pay for courier services by credit card, cash or cryptocurrency wallet. WOW !!!! It's exciting. The important thing is that you can track the route of shipments using a mobile application on Android or IPhone.  A big plus is that everyone on the Dylyver platform can be a sender, courier or recipient. Any interested, i.e. sender and recipient can track the location of your courier on the map and communicate with the courier via the chat function. WOW - it's just easier.  4) Via Dylyver platform that will allow you to send parcels to your relatives and friends quickly and at a reasonable price by people traveling in the same direction and having enough free space in the vehicle.   This is a fascinating project! ",False
