id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44100800,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-08-15 02:02:43,durzada,Newbie,97,0,,.,"WMPRO uses the Blockchain rating system which consists of proprietary and sophisticated algorithms on top of automated processes that combine the use of spiders, software, artificial intelligence and even manual intervention to create reliable and inviolable rankings.",True
2,msg44381036,https://bitcointalk.org/index.php?topic=4693899.0,msg44099862,12981,Announcements (Altcoins),2018-08-20 00:24:29,Loopper,Full Member,616,100,,.,"   I also see the same thing, they get red chili for the project they are doing and this will make a big doubt to the people who will participate or investors to buy their coins. very sad.",True
3,msg44418031,https://bitcointalk.org/index.php?topic=4693899.0,msg44415673,12981,Announcements (Altcoins),2018-08-20 16:35:57,flying_bit,Jr. Member,378,8,,.,   I'm not sure if this is the one you're talking but this is the same pic I saw in tweeter.  Here's the link for those interested to watch the FoxBusiness Interview https://youtu.be/97JX0fAjmBQ,True
4,msg44481928,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-08-21 22:16:31,DamoyRobertson,Newbie,2,0,,.,Great project with a great team. Will be checking out for sure!,True
5,msg44482752,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-08-21 22:50:30,Mishgan27,Member,182,10,,.,That is intriguing. I haven't seen word-of-mouth marketing projects on the blockchain yet. This is quite possible to build a rating system that is tamper proof thanks to cryptographic algorithms. Thinking such a professional social network will be in demand.,True
6,msg44482877,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-08-21 22:55:13,macioman,Full Member,161,100,,.,so this coin is like social media coin ? what is special about it,True
7,msg44507987,https://bitcointalk.org/index.php?topic=4693899.0,msg44418031,12981,Announcements (Altcoins),2018-08-22 13:15:37,Loopper,Full Member,616,100,,.,"   Is this a clear problem, because there are so many doubts that occur here. I saw a lot of posts that people doubted this project.",True
8,msg45641123,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-09-13 17:31:10,chon0783,Copper Member,140,0,,.,Underrated project that solves a very big problem with integrity within the marketplace circle. Project has a holistic approach using social media and public blockchain as tools/platform to solve lingering issues in the growing market between all market players.,True
9,msg46067782,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-09-23 13:35:50,iphone5s,Full Member,547,100,,.,I don't understand what happened with this project because there was no information given to this ANN thread and got a red trust. What happened to this project?,True
10,msg50426547,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2019-04-02 15:42:30,futurelab,Newbie,51,0,,.,"Hello guys,  the project went on, with some delays as Ico was unlucky.  The great thing is that the service was almost finished and is alive: https://www.eucleia.io  Using the service for free, allow anyone to generate a trust badge and use on socials and anywhere it needs.  They're just finishing latest things, but you can register for free.  Furthermore, you can use a referral link and get some extra tokens for the people you referred.",True
11,msg42866670,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-07-25 18:03:58,Kutaxi,Newbie,167,0,,.,The business strategy is well crafted and the revenue model well constructed. A robust team with the excellent experience and business profile. Good luck guys.,True
12,msg42918473,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-07-26 15:21:52,ethersalvation,Jr. Member,93,1,,.,"Ehi guys, let me understand better. As far as I read the site it seems that the platform using special algorithms, will rate users and companies, certify data in blockchain and that both parties could use a script on socials and websites that confirm their good reputation? If so, it seems a very promising project.",True
13,msg42920050,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-07-26 15:47:33,Xalia,Newbie,266,0,,.,"A very progressive project, I very much hope that the team will not stop on an idea that will promote the project development. Good luck.",True
14,msg42923873,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-07-26 16:54:25,Samuiel,Newbie,224,0,,.,Good project! The best and good website deals. This project has high potential to attract more and more successful investors in the market.,True
15,msg42923903,https://bitcointalk.org/index.php?topic=4693899.0,,12981,Announcements (Altcoins),2018-07-26 16:54:47,Pegleku,Member,280,10,,.,"Good evening, team. It seems of this project will be preferably in the near future.",True
