id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36180184,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-05-03 07:40:55,toshibaellie,Newbie,25,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,I like this project. I still keep looking to know about this project better. Everything is designed perfectly and thoughtfully.,False
2,msg36181737,https://bitcointalk.org/index.php?topic=3307981.0,msg36180184,920,Announcements (Altcoins),2018-05-03 08:05:47,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,   Thank you for the support. Please PM me or email us if you have any questions.,False
3,msg36184478,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-05-03 08:46:46,Na xter,Member,210,10,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"The project team is very large, the site is beautiful, the idea is clear and promising - I think the project will be successful. But in order to form a complete opinion, one must still read the white paper.",False
4,msg36185354,https://bitcointalk.org/index.php?topic=3307981.0,msg36184478,920,Announcements (Altcoins),2018-05-03 09:00:28,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"    Hello,  Thank you for the support. Please do not hesitate to PM or email me if you have any questions",False
5,msg36442806,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-05-06 05:17:28,MrSpasybo,Member,378,19,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"Participants/Investors need to complete KYC, so can US and Chinese citizens can join INGOT Coin Token Sale? And what is minimum purchase in Pre-ICO & ICO? 0.1 ETH?",False
6,msg35729049,https://bitcointalk.org/index.php?topic=3307981.0,msg35727372,920,Announcements (Altcoins),2018-04-27 15:38:45,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"   Hello,  We really appreciate your support, let us know if you need anything.",False
7,msg35758795,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-04-28 00:41:33,MrSpasybo,Member,378,19,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"Hi DEV! Your IC ICO Accelerator will support teams and their ICOs in future, so can they use your IC token as an accepted purchase with ETH, BTC and other cryptocurrencies? It is a good mechanism to make buying pressure, raise IC token demand and price.",False
8,msg35760590,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-04-28 01:50:29,magentarendro11,Newbie,154,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"INGOT Group manages more than 12 companies that invest in five segments; financial services, trade solutions, financial education, consulting consultancy, and technical services and solutions. but all whether you have guaranteed the security of the user",False
9,msg35760941,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-04-28 02:03:23,kohanvn,Full Member,238,100,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"INGOT Coin is the first fully integrated wallet with a digital bank, brokerage service, crypto certifier, community and ICO accelerator. All rolled into a single and complete ecosystem, which rewards token holders and consumers for using and contributing to it. INGOT Coin is a decentralized cryptocurrency which provides benefits and discounts within the ecosystem itself. IC will be based on a ERC20 technology. Great project.",False
10,msg35781209,https://bitcointalk.org/index.php?topic=3307981.0,msg35758795,920,Announcements (Altcoins),2018-04-28 09:32:30,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"   Ofcourse, in addition to that, the payment towards the IC ICO Accelerator could be done using IC. And every time you use IC within the components of the ecosystem you will get a discount!",False
11,msg35781276,https://bitcointalk.org/index.php?topic=3307981.0,msg35760941,920,Announcements (Altcoins),2018-04-28 09:33:47,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,   Hello and thank your for your support.  If you have any questions about our group please feel free to PM me or email us at  Info@ingotcoin.io,False
12,msg35781416,https://bitcointalk.org/index.php?topic=3307981.0,msg35760941,920,Announcements (Altcoins),2018-04-28 09:36:12,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,   Thank you for your support. Please do not hesitate to contact us for any questions or if you need any sort of help.  info@ingotcoin.io,False
13,msg35795063,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-04-28 13:12:19,MrSpasybo,Member,378,19,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"INGOT Group is a large corporation providing the following services:    Financial Services    Educational Services    Trading Solutions    Advisory & Consulting    Technology Solutions  So in the new ecosystem INGOT Coin, are other components of the group (12 companies) involved in the management of the ecosystem? And how will they participate? Is there any overlap between the functions of the 12 companies and the 6 platforms inside the crypto ecosystem that you are building?",False
14,msg35800192,https://bitcointalk.org/index.php?topic=3307981.0,msg35795063,920,Announcements (Altcoins),2018-04-28 14:26:35,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"   Yes, in terms of expertise and experience. INGOT Group will provide IC with guidance on the different industries in the group in which the firms operates, with that being said, INGOT Group will be available to support IC in the different components of the Ecosystem to ensure knowledge sharing and efficient strategic planning.",False
15,msg35848307,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-04-29 07:02:56,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,INGOT Coin PR is out.  Many more to come.   Advisers all set up.     INGOT Coin An All Inclusive Ecosystem Bridging Markets and Reviving Lost Demand  https://thebitcoinnews.com/ingot-coin-an-all-inclusive-ecosystem-bridging-markets-and-reviving-lost-demand/  https://www.coinspeaker.com/2018/04/22/ingot-coin-inclusive-ecosystem-bridging-markets-reviving-lost-demand/  http://allcoinsnews.com/2018/04/24/platform-builds-ecosystem-to-bridge-crypto-and-traditional-markets/,False
16,msg35891451,https://bitcointalk.org/index.php?topic=3307981.0,msg35848307,920,Announcements (Altcoins),2018-04-29 17:14:01,MrSpasybo,Member,378,19,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"  The time of INGOT is coming! Wait for INGOT Wave in Crypto-Community. There are too much of multi-platform projects, but only INGOT has power, legacy and potential solutions to make this idea be real, change crypto-world once and forever!",False
17,msg35894746,https://bitcointalk.org/index.php?topic=3307981.0,msg35891451,920,Announcements (Altcoins),2018-04-29 17:56:41,INGOT Brokers,Newbie,182,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,   Brings us great joy to see our supporters. We will not fail you,False
18,msg35926349,https://bitcointalk.org/index.php?topic=3307981.0,,920,Announcements (Altcoins),2018-04-30 05:08:17,Sandra_techy,Newbie,168,0,,⚡️🚀🚀[ANN] INGOT Coin: Bridging Markets 🚀🚀⚡️,"This project includes a number of best things: great team, great product, great idea, great start! We need products and ideas! I'm sure the company will occupy a leading place. It has got very good rating on: https://icoguide.com/en",False
