id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg37065007,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-05-12 15:06:41,Enre,Sr. Member,619,256,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,"CryptoMillionsLotto Airdrop || Worth $22.50    The World’s Biggest Cryptocurrency Lottery  Play and win in crypto  Click here to join (link to https://www.cryptomillionslotto.io/airdrop)  Today is our first Airdrop Lotto where 3 lucky players and 100 runners up will win $47,500 in prizes!  There’s a draw every Saturday at 5pm UK time for five more weeks.",False
2,msg37205532,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-05-14 02:50:16,MaruAlmen,Newbie,123,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Im hoping to be on the jackpot list. This project is kin'a bit interesting,False
3,msg37277987,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-05-14 18:28:27,abdelzerbib1982,Newbie,15,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,I am very glad and excited to take part in such a wonderful project,False
4,msg37652963,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-05-18 08:48:23,Koarpeniwu,Newbie,37,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,On my opinion this project looks good and very promising. So this project have a fine future! Goog luck to all!,False
5,msg39431378,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-05 12:56:14,cudosinichi999,Newbie,34,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,I happy,False
6,msg39440950,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-05 15:15:56,kasonudy,Newbie,84,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe," Read this great and fantastic news from the site.....  ""IF YOU BUY CML TOKENS, YOU WILL ENTER OUR GRAND LOTTO, DRAWN AT THE END OF OUR ICO WHERE WE’RE GIVING AWAY A WHOPPING US$1,000,000 IN PRIZES"".........this is going to be the world best. It is a success project already, good thinking",False
7,msg39447068,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-05 16:47:25,kazachka,Newbie,125,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,"Good time !!! If the brand, then the best! Highly profitable investment !!!   Have time to catch a wave of money in classy prospective trade company  CryptoMillionsLotto!",False
8,msg39473301,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-06 02:36:38,josiagithinji,Newbie,28,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Its my Pleasure to participate in this Airdrop https://web.facebook.com/josiahgithinjiz Wallet: 0x8d646a66Bce937aBBF0118Fd18CCd378f48D2553,False
9,msg39501241,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-06 12:21:01,Nyur,Member,266,10,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,The project looks quite promising. And I read it properly it is very good and interesting.i hope this ICO will be succesfull .I wish good luck for the project and the DEVs .,False
10,msg39519698,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-06 16:34:55,Ridorie,Full Member,322,100,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Invest in the ryptoMillionsLotto.io project is promising. If large investors come this is good. Small private investors are even better. They will complement each other and the token will be more stable.,False
11,msg39597514,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-07 18:24:38,bhosaleajay246,Newbie,5,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,this project good and power full coine futere s best coin in world and all some coins is not equility in this token s,False
12,msg39608576,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-07 21:49:50,Champ11jun1980,Newbie,165,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Very nice project. On my opinion this project looks good.i am very glad and excited to take part in such a wonderful project,False
13,msg39773577,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-10 08:01:03,doudou000,Newbie,123,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Very nice project.,False
14,msg40496860,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-20 06:04:48,kumawatashish,Newbie,57,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,"CryptoMillionsLotto is a borderless, transparent lotto offering players the biggest crypto jackpots worldwide. Play and win cryptocurrency.",False
15,msg40499360,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-20 06:59:07,Amarbabu18,Newbie,13,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Really big and amazing porject,False
16,msg40507387,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-20 09:27:22,coinriches,Member,180,12,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,Do you have a bounty program?,False
17,msg40527104,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-06-20 15:00:36,girlbernardo,Newbie,21,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,"Hey there, just joined your airdrop consisting of fb, twitter and telegram, what about the other social media platform e.g reddit or insta? would love to be able to spread this project further but I would need some kind of referral link.",False
18,msg42895015,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-07-26 08:24:19,HarrisPay,Jr. Member,140,1,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,"Offering life-changing jackpots and a familiar lotto format, CryptoMillionsLotto will make cryptocurrency accessible to the mass market encouraging people, new to cryptocurrency, to become part of the growing community.",False
19,msg43000197,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-07-28 01:45:41,daviszayn,Newbie,140,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,"CryptoMillionsLotto will be a driving force in creating a new and vast market, dramatically expanding the cryptocurrency universe by driving mass adoption to cryptocurrency use.",False
20,msg43240072,https://bitcointalk.org/index.php?topic=3417982.0,,435,Announcements (Altcoins),2018-07-31 21:03:35,moutain_cloud,Newbie,2,0,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe,the KYC bomb dropped so in return I'm dropping this,False
21,msg35735826,https://bitcointalk.org/index.php?topic=3417982.0,msg36119462,435,Announcements (Altcoins),2018-04-27 17:11:36,Enre,Sr. Member,619,256,,[ANN][CML]🎰CryptoMillionsLotto.io🎰 - AIRDROP - Play from anywhere in the globe, ,False
