id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46245132,https://bitcointalk.org/index.php?topic=2990951.0,msg46244721,8058,Announcements (Altcoins),2018-09-27 19:46:49,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,"    Hello nader, here is the link for the whitepaper https://www.sprinklecoin.com/whitepapers/SprinkleCoinWhitepaper.pdf",False
2,msg46245472,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-09-27 19:57:45,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,"SprinkleCoin Got Listed On Several Exchanges   SprinkleCoin has now raised $5 million during its Pre-Sale at a price of $0.30 per token. The token has been listed on several exchanges, whereby the buyers will be able to trade immediately. SprinkleCoin is the utility token for frictionless value transfer. SprinkleCoin’s first partners are fintech platforms SprinkleBit and SprinkleXchange, with many more partners to come.  SprinkleBit is a social network for investing running on an algorithm that fetches crowdsourced data from the community. The data is automatically converted into an ever-changing point system for stocks and users. You can already purchase Premium functions on SprinkleBit using SprinkleCoin, at a rebated price. SprinkleBit is live all over the world, and is available on both the App Store and Google Play.  SprinkleXchange, on the other hand, is the first exchange for digital assets to implement Smart Order Routing and plan to start IPO listing service running on blockchain technology. Furthermore, SprinkleXchange will give users access to cross-asset investments in crypto and stocks. Sell Bitcoin, reinvest in Apple – all on the same platform. SprinkleXchange aims to be licensed through the National Bank of Georgia and compliant with all applicable rules and regulations.  SprinkleCoin recently launched SprinkleCoin Executive Club. If you purchase at least 10,000 SprinkleCoin during the ICO you will become a member. The membership gives the investor early access to all future IPO’s on SprinkleXchange.  The private sale for SprinkleCoin’s ICO is live at www.sprinklecoin.com  Additional information: •   ICO Soft Cap: $5 Million •   ICO Hard Cap: $100 Million •   The ICO is being managed by www.uci.global •   SprinkleCoin is listed on several exchanges:  1  https://wallet.latoken.com/market/Crypto/ETH/SCOI-ETH 2  https://ddex.io/trade/SCOI-WETH 3  https://tokenjar.io/SCOI",False
3,msg46245531,https://bitcointalk.org/index.php?topic=2990951.0,msg46245472,8058,Announcements (Altcoins),2018-09-27 20:00:17,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service, ,False
4,msg46245618,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-09-27 20:03:53,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,"https://www.sprinklexchange.com/   Buy Low, Sell High SprinkleXchange will be the first crypto trading platform in the world to offer Smart Order Routing. What does that mean?  Let’s say you want to buy Bitcoin. You place your trade, and SprinkleXchange will systematically choose the execution destination based on where the best price is offered. You will automatically buy at the lowest price available on the market, and sell at the highest price available on the market.  It's as simple as that.    One Platform - All Your Investments SprinkleXchange coupled with the trading platform of Sprinkle Group's online brokerage, SprinkleBrokerage, enables traders to instantly convert cryptocurrencies into stocks and other securities. In the near future, investors will be able to build the most diverse portfolio possible, and quickly spread out risk between different asset classes. It opens up a market which is 200 times larger than the current cryptocurrency market.    Next Generation Capital Market Today it is prohibitively expensive to go public on the NYSE or Nasdaq, thereby blocking smaller companies from listing on an exchange. This will be solved by our Sprinkl­eXchange IPO listing process built on Blockchain technology where our efficiencies will make all forms of public fund-raising simpler and more cost-effective.   SprinkleXchange will serve as an IPO platform where companies of all sizes will be able to go public through a traditional IPO (Initial Public Offering) or either an STO (Security Token Offering) or an ICO (Initial Coin Offering). SprinkleXchange will provide a global and cost-efficient alternative to the traditional IPO, and effec­tively remove all the steps (angel rounds, seed rounds etc.) between having a great company and offering it as an investment to the people. Banks will be able to provide this service to their corporate clients, allowing growth companies to connect with average investors at an earlier stage.",False
5,msg46489412,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-10-04 07:30:04,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,"It is with great joy that we can announce that we are in the process of launching SprinkleBit on the Chinese market. We have long looked to the east, and now we’re in the final stages of optimizing the app to fit the market.  SprinkleBit will launch under the name SikeBit in China – a strategic incentive to adapt the brand to Chinese linguistics. Sike means thinker in Chinese. The app will feature the same features that have made SprinkleBit a success in the US and in Europe, and users will be able to trade both Chinese and American stocks. Risk-free using SprinkleBucks of course, as always.  Entering the Chinese market is very exciting for us, for many reasons. Partly because of the sheer size of market, but also because of the Chinese culture and the fact that the whole country is undergoing a huge digital transformation. We are eager to be a part of this, and help people in China make better investment decisions.  Dennis Friberg Digital Growth Manger, Sprinkle Group     The launch of SikeBit will take place during the fall of 2018. The app will be available on all major app stores.  Ni Hao China!  Source: https://blog.sprinklebit.com/sprinklebit-launch-china/",False
6,msg46489509,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-10-04 07:33:40,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,我们非常高兴地宣布，我们正在向中国市场推出SprinkleBit。我们长期以来一直向东看，现在我们正处于优化应用以适应市场的最后阶段。  SprinkleBit将在中国以SikeBit的名义推出 - 这是一个让品牌适应中国语言学的战略激励。思科是指中国的思想家。该应用程序将具有相同的功能，使SprinkleBit在美国和欧洲取得成功，用户将能够交易中国和美国股票。一如既往，使用SprinkleBucks无风险。  出于多种原因，进入中国市场对我们来说非常令人兴奋。部分原因在于市场的庞大规模，也是因为中国文化和整个国家正在经历巨大的数字化转型。我们渴望参与其中，并帮助中国人做出更好的投资决策。  丹尼斯弗里伯格 数字增长经理，Sprinkle Group     SikeBit的推出将在2018年秋季举行。 该应用程序将在所有主要应用程序商店中提供。  倪昊中国！,False
7,msg46489575,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-10-04 07:36:07,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,"우리가 중국 시장에서 SprinkleBit을 출시하는 과정에 있음을 발표 할 수 있다는 것은 큰 기쁨입니다. 우리는 오랫동안 동쪽을 바라 보았습니다. 이제 우리는 시장에 맞게 앱을 최적화하는 마지막 단계에 있습니다.  SprinkleBit은 중국의 SikeBit이라는 이름으로 출시 될 예정이며, 중국 언어학에 브랜드를 적용 할 수있는 전략적 인센티브입니다. Sike는 사상가를 중국어로 의미합니다. 이 앱은 미국과 유럽에서 SprinkleBit을 성공시킨 것과 동일한 기능을 제공하며 사용자는 중국과 미국 주식을 모두 거래 할 수 있습니다. 항상 SprinkleBucks를 사용하여 위험 부담이 없습니다.  여러 가지 이유로 중국 시장 진출은 우리에게 매우 흥미로운 일입니다. 부분적으로는 시장의 규모가 크기 때문 만이 아니라 중국 문화와 국가 전체가 거대한 디지털 변형을 겪고 있기 때문입니다. 우리는 이러한 노력의 일환으로 열심히 노력하고 있으며 중국 사람들의 투자 결정을 돕습니다.  데니스 프 리 버그 디지털 성장 관리자, 뿌리기 그룹     SikeBit의 출시는 2018 년 가을에 진행될 예정입니다. 이 앱은 모든 주요 앱 스토어에서 사용할 수 있습니다.  니켈 하오 중국!  https://blog.sprinklebit.com/sprinklebit-launch-china/",False
8,msg46491593,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-10-04 08:37:06,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,私たちが中国市場でSprinkleBitを発売する過程にあることを発表できることは大きな喜びです。私たちは長いこと東方を見てきましたが、今はマーケットに合わせてアプリを最適化する最終段階に入っています。  SprinkleBitは、中国の言語学にブランドを適応させるための戦略的インセンティブとして、中国のSikeBitという名前で始まります。シークは思想家を中国語で意味する。このアプリは、米国とヨーロッパでSprinkleBitを成功させたのと同じ機能を備えており、ユーザーは中国とアメリカの両方の株式を取引することができます。もちろん、SprinkleBucksを使用してリスクはありません。  多くの理由から、中国市場への参入は非常にエキサイティングです。部分的には市場の大きさのせいだが、中国の文化と全国が巨大なデジタル変換を受けていることも理由である。私たちはこれに参加したいと考えており、中国の人々がより良い投資決定を下すのを助けています。  デニスフリートバーグ デジタル成長マネージャー、スプリンクルグループ     SikeBitの発売は2018年の秋に行われます。 このアプリはすべての主要アプリストアで利用できるようになります。  ニーハオ中国！,False
9,msg46491619,https://bitcointalk.org/index.php?topic=2990951.0,,8058,Announcements (Altcoins),2018-10-04 08:38:02,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,"C бoльшoй paдocтью мы мoжeм oбъявить, чтo мы нaxoдимcя в пpoцecce зaпycкa SprinkleBit нa китaйcкoм pынкe. Mы дaвнo cмoтpeли нa вocтoк, и тeпepь мы нaxoдимcя нa зaвepшaющeй cтaдии oптимизaции пpилoжeния, чтoбы cooтвeтcтвoвaть pынкy.  SprinkleBit зaпycтитcя пoд нaзвaниeм SikeBit в Китae - cтpaтeгичecкий cтимyл aдaптиpoвaть бpeнд к китaйcкoй лингвиcтикe. Sike oзнaчaeт мыcлитeля нa китaйcкoм языкe. Пpилoжeниe бyдeт имeть тe жe фyнкции, кoтopыe cдeлaли SprinkleBit ycпeшным в CШA и Eвpoпe, и пoльзoвaтeли cмoгyт тopгoвaть кaк китaйcкими, тaк и aмepикaнcкими aкциями. Бeз pиcкa, иcпoльзyя SprinkleBucks, кoнeчнo, кaк вceгдa.  Bыxoд нa китaйcкий pынoк oчeнь интepeceн для нac пo мнoгим пpичинaм. Oтчacти из-зa oгpoмнoгo paзмepa pынкa, нo тaкжe из-зa китaйcкoй кyльтypы и тoгo фaктa, чтo вcя cтpaнa пpeтepпeвaeт oгpoмныe цифpoвыe пpeoбpaзoвaния. Mы cтpeмимcя быть чacтью этoгo и пoмoгaть людям в Китae пpинимaть бoлee эффeктивныe инвecтициoнныe peшeния.  Дeнниc Фpибepг Цифpoвoй мeнeджep pocтa, Sprinkle Group     Зaпycк SikeBit cocтoитcя oceнью 2018 гoдa. Пpилoжeниe бyдeт дocтyпнo вo вcex ocнoвныx мaгaзинax пpилoжeний.  Ni Hao China!  www.sprinklecoin.com  ICO",False
10,msg46513104,https://bitcointalk.org/index.php?topic=2990951.0,msg30750618,8058,Announcements (Altcoins),2018-10-04 18:38:20,ubeing,Sr. Member,339,250,,[ANN][ICO] SprinkleCoin Decentralized Global Network of Modern Financial Service,  ,False
