id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg52213631,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2019-08-20 10:28:09,Mogul59,Member,200,11,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"AeternumToken (AET) on Livecoin.net   On-line news portal. All the news from the Exchange management will be duplicated here.   The chat gives an opportunity to discuss the latest news, warn the Livecoin users of potential problems, etc.",False
2,msg31742819,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-07 00:20:45,aTriz,Hero Member,896,666,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,,False
3,msg31743806,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-07 01:01:52,aTriz,Hero Member,896,666,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,Reserved,False
4,msg31747105,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-07 02:53:03,SeveralQ,Member,182,11,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"Hi everyone! Just added Aeternum ICO to my website https://concourseq.io/Q/Aeternum. ConcourseQ is a collaborative due diligence community that researches and reviews ICOs. Anyone with an account can submit information to your page, so we are reaching out to this community to get you all involved in the discussion. Thanks! PS: If you have any questions about filling in the info, feel free to ask us in our discord group: https://discord.gg/j8RBAwB",False
5,msg31847245,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-08 12:24:22,knuckey,Sr. Member,1069,250,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"i see that the presale already start on january but i just know this project, and can you make or add the proggress bar to see how much the presale or ICO raised?",False
6,msg31864324,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-08 16:54:02,andriyana,Full Member,635,100,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"hi .. what currency is accepted to buy Aeternum at ICO, and how much minimal to buy Aeternum",False
7,msg31913805,https://bitcointalk.org/index.php?topic=3078593.0,msg31864324,614,Announcements (Altcoins),2018-03-09 11:53:35,Aeternumcoin,Newbie,4,0,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"   Hi,  We accept ETH and the minimum to buy AET is 0.1 ETH.",False
8,msg31972439,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-10 08:36:06,ffebrianto,Newbie,84,0,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,for whether this is https://aeternumcoin.com/sponsor/21601z,False
9,msg32368886,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-15 13:03:59,andiagung,Member,280,10,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"if we dare go into space we need to ""get"" energy from somewhere how else will we travel from planet to planet if we have to build a friggin refinery on each planet and hope we strike oil with a 1m drillbit",False
10,msg33000555,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-03-23 17:35:28,bloogy,Sr. Member,602,253,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,Why do you have no information about the amount of Ether collected and the number of tokens sold? This is important information that will be of interest to many investors.,False
11,msg36764189,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-05-09 10:04:00,mr.Belyavski,Jr. Member,294,1,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,Good afternoon! And when will the tokens of the project be paid to the participants of the campaign bounty?,False
12,msg39178262,https://bitcointalk.org/index.php?topic=3078593.0,msg36764189,614,Announcements (Altcoins),2018-06-01 23:27:18,TanyaCrazy2020,Full Member,308,103,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,   Probably already never. Tables aren't completed. The manager doesn't care about the work. The project looks as scam,False
13,msg39858353,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-06-11 07:40:39,Kuala Lumpur,Member,420,69,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"This is another SCAM-""project"" from Atris. It seems that he himself creates them and uses the works of bounty hunters. SCAM-bounty manager.",False
14,msg43428427,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-08-04 01:24:39,eyeseq,Newbie,29,0,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"a marketing agency at  CryptoPie in Japan. I would like to know if you would like to explore a new market in Japan. There are many people interested in ICOs in Japan, but a few people can access to information about ICOs because of the language. Kindly PM me for more information. Thank you.",False
15,msg43428754,https://bitcointalk.org/index.php?topic=3078593.0,msg39858353,614,Announcements (Altcoins),2018-08-04 01:41:01,patz22,Full Member,784,104,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,   Is there a proof that this specific ICO is a scam? I've seen a lot of project from aTriz and I even joined one of them and never got paid or it was not successful. With his red trust I think it is enough to say that most projects from him is a scam. This project is good though however if this is legit they chose the wrong guy,False
16,msg44379547,https://bitcointalk.org/index.php?topic=3078593.0,,614,Announcements (Altcoins),2018-08-19 23:22:32,samsung1,Newbie,82,0,,[ANN][ICO] ⚡Aeternum - One Fund - One Coin (Asset-Backed Token) ⚡,"I am learning from the cryto and seeing what can be done here in venezuela about it, here everything is complicated, I would like to generate income The economic inflation is axfixing us",False
