id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg49715701,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2019-02-13 03:23:03,CaridwenDean,Newbie,11,0,,[ANN][ICO] - Skara: The Blade Remains,"I like the idea. Card linked to cryptocurrency makes the needed bridge (for now) between ""virtual money"" and the ""real world"" spending. Interested in following the project and know more. Will be added more coins to it?",False
2,msg49890131,https://bitcointalk.org/index.php?topic=2473332.0,msg49715701,29241,Announcements (Altcoins),2019-02-24 00:39:27,mig6r,Sr. Member,742,250,,[ANN][ICO] - Skara: The Blade Remains,"    You should get involved with another card provider who enables cryptocurrency payments, but this doesn't look like it's going to deliver anything.",False
3,msg44351090,https://bitcointalk.org/index.php?topic=2473332.0,msg43655503,29241,Announcements (Altcoins),2018-08-19 14:02:43,mig6r,Sr. Member,742,250,,[ANN][ICO] - Skara: The Blade Remains,"     You can never do everything right, I think most importantly you should do more right than wrong and don't make significant mistakes. That's when you are on track and can achieve your goals.",False
4,msg44353311,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-08-19 14:36:57,riouspro6868,Newbie,111,0,,[ANN][ICO] - Skara: The Blade Remains,Cesar - thanks for the update - anything we - the community can do to help - very much in it for the long haul - and if it all goes to shit hten I got loads of in game credits for my lil brother to use 😜🙈 but seriously let's all make this work. Where do you need us to chip in,False
5,msg44353788,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-08-19 14:44:00,alinayatsko34,Newbie,112,0,,[ANN][ICO] - Skara: The Blade Remains,"Tell me please, do I need investors to go through KYC and provide an ID?",False
6,msg44595555,https://bitcointalk.org/index.php?topic=2473332.0,msg44351090,29241,Announcements (Altcoins),2018-08-24 08:35:38,dentolas,Member,616,12,,[ANN][ICO] - Skara: The Blade Remains,"   that's it...more right than wrong ... It hink that if these guys are trully focused on developing, that is the most important thing. There is no point in proceeding with marketing efforts without a complete product... We just have to be pacient and be ready to support when there is the need.... risks of failure are everywhere and that's nothing we can do, the chance to succeed is totally on the team side cheers",False
7,msg44728761,https://bitcointalk.org/index.php?topic=2473332.0,msg44595555,29241,Announcements (Altcoins),2018-08-26 18:19:15,Savrion,Newbie,57,0,,[ANN][ICO] - Skara: The Blade Remains,   Well dream on ................,False
8,msg44758702,https://bitcointalk.org/index.php?topic=2473332.0,msg44728761,29241,Announcements (Altcoins),2018-08-27 09:15:37,dentolas,Member,616,12,,[ANN][ICO] - Skara: The Blade Remains,"   dreamers are always the guys that get the cherry on top... if there were no dreamers, you wouldn't have computers, airplains, democracy, communism, etc, etc cheers",False
9,msg45261473,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-06 04:23:38,measlessauteedff,Newbie,4,0,,[ANN][ICO] - Skara: The Blade Remains,Skara beyond an award-winning video game. I hope Skara develop further to help players perfect experience,False
10,msg45261923,https://bitcointalk.org/index.php?topic=2473332.0,msg45261473,29241,Announcements (Altcoins),2018-09-06 04:38:37,TGBgraib,Newbie,114,0,,[ANN][ICO] - Skara: The Blade Remains,"   I hope like that. the latest development of this platform I don't know, how do you know? hope the admin provides the best information for the community.",False
11,msg45427981,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-09 10:51:21,KryptoKai,Full Member,616,100,,[ANN][ICO] - Skara: The Blade Remains,I haven't seen many updates on where we are with the development of the game. What would be good is if they published a monthly newsletter like other projects do to help reassure investors at each stage of development. A tweet to the link of a monthly newsletter published on medium is a good place to start,False
12,msg45448674,https://bitcointalk.org/index.php?topic=2473332.0,msg44758702,29241,Announcements (Altcoins),2018-09-09 17:14:43,mig6r,Sr. Member,742,250,,[ANN][ICO] - Skara: The Blade Remains,   This is true! One of the biggest dreamers also was Steve Jobs and I think we are all happy that he was a dreamer.,False
13,msg45601918,https://bitcointalk.org/index.php?topic=2473332.0,msg45428590,29241,Announcements (Altcoins),2018-09-12 21:52:46,KryptoKai,Full Member,616,100,,[ANN][ICO] - Skara: The Blade Remains,"   The bounty finished a long time ago, and one good thing about this project is that they actually paid the bounty too! This is not a scam project, the game is real and can be played right now. However, the SKRT element still needs better integration and we need more updates on how things are progressing",False
14,msg45636866,https://bitcointalk.org/index.php?topic=2473332.0,msg45601918,29241,Announcements (Altcoins),2018-09-13 16:04:16,mig6r,Sr. Member,742,250,,[ANN][ICO] - Skara: The Blade Remains,"   And apart from that, yes you understand correctly that you should be at least a junior member. There are a lot of dumb freaks participating in these campaigns otherwise. Even now that is the case.",False
15,msg45637237,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-13 16:12:20,Diaz_Nati,Newbie,3,0,,[ANN][ICO] - Skara: The Blade Remains,"Greetings For me personally, it is a plus that the coin is officially registered in the US government! It isthe largest cryptocurrency platform!",False
16,msg45713830,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-15 08:42:40,dentolas,Member,616,12,,[ANN][ICO] - Skara: The Blade Remains,"Definitely I agree that it would be important to have a small monthly newsletter to keep the community interested and alive... and of course relax the investors... I think these guys are working, but it would be nice to have some development news from time to time... I'll address this on telegram  cheers",False
17,msg45983088,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-21 12:05:09,TOM47,Full Member,490,101,,[ANN][ICO] - Skara: The Blade Remains,"Development Update https://steamcommunity.com/games/274620/announcements/detail/1703940327327338167  Since part of the team is still working to release the new version of our matchmaking system the machine hasn’t stopped working and we are developing at full steam!  Part of the problem we are addressing is the code architecture: although the system works, the code wasn’t as scalable as we wanted it to be so we decided to spend some extra time fixing that. For the last few weeks, we have been removing old lines of code, refactoring some of the existing systems and making the development more agile for our programming team.  This part of the job is almost invisible for the player but it is definitely worth it when it comes to scaling the project, update features and fix bugs. Spending time refactoring the architecture design - especially on big projects like Skara - will allow us to release new content more easily and quickly down on the road.  As of today, this work is already showing nice results: after refactoring the data model and the login process we have dramatically reduced the loading times up to 80%. Creation of new characters is now more agile and efficient. The new skill modular system allows our designers to quickly prototype new Signs and combine them with other gameplay features to offer new ways to play the game.  And that is precisely the main feature our design team is working on for the last 2-3 months: new characters, types of attacks, skills and game roles. In order to build a nice team fighting experience, we needed a wider variety of roles on the battlefield: pure healers and support characters, skills that can be combined with other characters to create powerful combos, even archers to strike on your enemies from distance! We can’t wait to show you all these new features.  Meanwhile, our art team has been working on new cool stuff to make your survivors look cooler than ever! We have been also working on a new arena called Atash - if you have recently checked some of our streams on Twitch you will already know what are we talking about.",False
18,msg46099126,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-24 06:37:02,zoom2k,Full Member,420,106,,[ANN][ICO] - Skara: The Blade Remains,"For a long time did not follow this project. There is still some work being done here. Why in social networks for a long time do not update the information. What happened here new? Did Token never go to the stock exchange? It's been half a year already, but the result of the work is not particularly visible. It is worth noting that the guys have collected more than three million dollars. Today, some people dream of collecting such money.",False
19,msg46183230,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-09-26 10:02:07,brother3,Hero Member,980,500,,[ANN][ICO] - Skara: The Blade Remains,"Skara - The Blade Remains Servers for the Open Beta 0.2 will remain closed from now on. After detecting some important issues on the matchmaking for the 3v3 Last Team Standing mode we decided to address the problem and work to find a solution ASAP.  As you may know, Duels have been working okay since our Alpha launch but LTS have proven to be way more complex in terms of getting players in and out in certain conditions: when new survivors join a match in the middle of a fight the server doesn’t automatically update their state. That combined with other special conditions like afk, selecting a character and waiting for new players to come into the lobby generates some bugs. Even if all the players are already in the lobby the system doesn’t display the correct information and that causes confusion.  Working on authoritative servers can be tricky and we have to nail it in order to offer the best gaming experience. We have been working on a solution for the last few weeks and hope to release a new version soon.  https://steamcommunity.com/games/274620/announcements/detail/1703940960401296400",False
20,msg46206492,https://bitcointalk.org/index.php?topic=2473332.0,msg46099126,29241,Announcements (Altcoins),2018-09-26 21:47:39,KryptoKai,Full Member,616,100,,[ANN][ICO] - Skara: The Blade Remains,"   They collected a lot of money during the ICO as there are a few whales who put in a lot of ETH. Sadly for them their investment didn't turn into profit but the token is currently trading on mercatox. When skrt is available for use in game the value is expected to rise, but it will take a while for the devs to make that happen",False
21,msg48017608,https://bitcointalk.org/index.php?topic=2473332.0,msg46206492,29241,Announcements (Altcoins),2018-11-18 15:23:33,denverms,Newbie,40,0,,[ANN][ICO] - Skara: The Blade Remains,"   I see that a lot of time has passed, but there is still nothing here ... Is there any information that is here with the game? where is the team? or there is nothing here and everything is over, without having begun",False
22,msg49711754,https://bitcointalk.org/index.php?topic=2473332.0,msg48017608,29241,Announcements (Altcoins),2019-02-12 19:23:30,mig6r,Sr. Member,742,250,,[ANN][ICO] - Skara: The Blade Remains,    It's about time to put this ad acta. There is nothing going on here and it hasn't been for a while already before your post. It is over.,False
23,msg40199614,https://bitcointalk.org/index.php?topic=2473332.0,msg40179115,29241,Announcements (Altcoins),2018-06-15 21:09:35,Frenk Best,Hero Member,714,500,,[ANN][ICO] - Skara: The Blade Remains,"   I think these and many other questions you are interested in, you will be able to answer the developers of this project in their official telegram to the group. And here they almost never come. But the project and the game are really very interesting, the main thing is to develop and advertise more.",False
24,msg40654033,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-06-22 10:53:07,gartmah,Member,413,12,,[ANN][ICO] - Skara: The Blade Remains,"New map: The pits of Atash – Part 1  It’s been a while since we launched our last playable Arena so we are extremely happy to share with you the progress on our upcoming new map: Atash, the fighting pits at the desert of Pieso. This map is kind of an open secret since we already streamed some matches on our first layout on our Twitch channel but it feels good to make it official and share some awesome concept art with you. https://playskara.com/new-map-the-pits-of-atash-part-1/",False
25,msg41236387,https://bitcointalk.org/index.php?topic=2473332.0,,29241,Announcements (Altcoins),2018-06-30 19:17:55,KrambigR3,Jr. Member,58,10,,[ANN][ICO] - Skara: The Blade Remains,"The project seems to look good, there is a large team that clearly loves their work and they have been working on this game for a long time already. But so far there is unfortunately no interest in this game and the token. I really hope that the team will change this situation in the near future in the near future, because personally I really like this game.",False
26,msg41577606,https://bitcointalk.org/index.php?topic=2473332.0,msg41237245,29241,Announcements (Altcoins),2018-07-05 15:39:45,KrambigR3,Jr. Member,58,10,,[ANN][ICO] - Skara: The Blade Remains,"   Sales of the token ended this winter. You should be more careful when reading about the project. And the project itself is developing and the work on the game continues, they have a good team. They certainly do not yet have enough marketing and good exchanges, but this will also happen in the course of time.",False
27,msg41930335,https://bitcointalk.org/index.php?topic=2473332.0,msg41577606,29241,Announcements (Altcoins),2018-07-10 21:29:41,Savrion,Newbie,57,0,,[ANN][ICO] - Skara: The Blade Remains,"     Well I can be specific about that. I just today logged in to there Telegram channel and saw someone asking ""How to buy an new model Axe""  The reply of the Admin. was in .. ""bitcrystals"" or ""BTC""  So I asked .... Why can't players buy that Axe with $SKRT ? Why say, that they also can buy it with Bitcoins ..... which is weird, course SKRT would be the paymentcoin for this game and platform...  than one other mongol (who wasn't in the core-team replied) you can buy $skrt on Mercadox ..... so he didn't understood my question.  Long story short .... I WANNA SELL  my $skrt .... but till now NO  BUYERS !!  The project itself ..... I think that sword-games are almost history and that games like Fortnite and other games with modern stuff, but also swords, rockets etcetera. will and are more actractive for the youth.  And comparing Skara with other free games on the market, I wish them good luck, but why can players buy items also in BTC",False
28,msg41994768,https://bitcointalk.org/index.php?topic=2473332.0,msg41930335,29241,Announcements (Altcoins),2018-07-11 21:48:10,LV5ME,Full Member,364,100,,[ANN][ICO] - Skara: The Blade Remains,"     It really does not look strange and it's not clear, but I hope that the team will improve the situation for investors who supported their project ... The game itself looks attractive, but of course, more work is needed and it is very important to attract as many new players as possible, to make good advertising and PR. And also add a token to more popular exchanges.",False
29,msg42019951,https://bitcointalk.org/index.php?topic=2473332.0,msg41994768,29241,Announcements (Altcoins),2018-07-12 09:47:48,Savrion,Newbie,57,0,,[ANN][ICO] - Skara: The Blade Remains,"    No guys, this is scam!! I found it already very strange that each time I saw $skrt for sale and bought on the same moment. they are trading them self on Mercatox, only to show that people are intrested in the Token. The guys also are only active on Telegram if you say something which they can't handle and than they react instantly and delete your from Telegram.  These whole ico was a scam, course they don't even have 75 active players and predenting everyting by themself....... I bought these tokens course I read, that they already had 350.000 players ........ but no F anybody knows this people of game....  This one is good, but they are the only one trading on Mercatox in $SKRT ......... so have fun, i just sold my to the buy orders which went all te way down, to 100sat ..... these guys are KANKERTERINGTYFUS PLEURIS HONDEN , that means, that they are not worth of breath the air they are in to.",False
30,msg42020597,https://bitcointalk.org/index.php?topic=2473332.0,msg39742612,29241,Announcements (Altcoins),2018-07-12 09:59:13,Lionedi,Full Member,377,100,,[ANN][ICO] - Skara: The Blade Remains,"  looks very interesting. I am fascinated by this idea, because games and sports for me have long been a very intriguing occupation. with which you can even earn a lot of money.",False
31,msg42024131,https://bitcointalk.org/index.php?topic=2473332.0,msg42020597,29241,Announcements (Altcoins),2018-07-12 11:01:19,Savrion,Newbie,57,0,,[ANN][ICO] - Skara: The Blade Remains,"   Kanker straal jij ook maar op, achterlijke pleurishond !! Mooie nageboorte dat je er rondloopt  They don't have internet in Heaven, so than you can wank yourself with some help of Satan, mooie mongool   ",False
