id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg40497404,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 06:17:47,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),A chosen draft for APIS wallet!  Click the link below to guess how handy it would be when it's launched   https://medium.com/apisplatform/winner-of-apis-wallet-design-poll-4d2cf4d0cf57,False
2,msg40503443,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 08:17:53,SheldonLeeCooper,Full Member,434,105,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"APIS competition START now on Bit-Z.com You will get rich rewards！As of 15:00 on June 25th, the first APIS trading volume will receive 8.88oz of pure gold bars, and the ranking of 2-31 will receive one gold coin.  https://twitter.com/BitZExchange/status/1009333204510076929",False
3,msg41329073,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-07-02 01:57:01,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),<APIS Masternode mediation platform closed Beta>   We have released a video of our mediation platform closed Beta   Click the link below and see our platform would be accessible enough for you   https://youtube.com/watch?v=5fx7QY6RcnA&t=2s,False
4,msg41329661,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-07-02 02:20:36,Brendan-Cohen,Newbie,14,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"I like your plan! Very good website,  good website, able to recognize approach!",False
5,msg41800750,https://bitcointalk.org/index.php?topic=2694364.0,msg31198530,12998,Announcements (Altcoins),2018-07-08 22:24:58,kgbinc,Newbie,23,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),   Still waiting on the answer for this question above.  How will people make money?  What is the recommendation on getting started? Minimum investment that actually pulls a profit?,False
6,msg43800404,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-08-10 01:06:41,rocketmutt,Newbie,18,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"This is an enticing project, I shared more thoughts on APIS in an article here: https://steemit.com/blockchain/@brandonk/apis-or-changing-the-scope-of-investments-and-hedge-fund-utilization#comments",False
7,msg43808594,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-08-10 06:13:17,HTMLCOIN,Sr. Member,672,250,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"Through APIS, every investor can Robots enjoy guaranteed profits, just as Banks pay interest.",False
8,msg45361126,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-09-08 02:03:15,alnilamstandingyb,Newbie,8,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"I feel that any project that attracts investors to invest in masternode can get a steady return, almost certainly by locking up their own money in masternode for a while. I hope you will notice this problem.",False
9,msg46188743,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-09-26 12:41:44,Benutzer2,Newbie,34,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),What is the difference between this platform and GIN?,False
10,msg50853910,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2019-05-01 15:58:14,phips28,Member,159,10,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),is this project dead?,False
11,msg51300757,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2019-05-31 21:54:20,xxTraderrMasxx,Newbie,14,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"People, let's vote for ""APIS(APIS-GENERAL)"" Our coin: ""№61 https://l2rx.com/index.php?limit=50&sort=0&page=2#APIS-GENERAL",False
12,msg31455203,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-03-03 03:45:57,APIS_Tom,Newbie,38,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),Please refer to our medium on the status of APIS ICO:  https://medium.com/apisplatform/status-update-on-apis-platform-ico-db22b95fb618,False
13,msg31832492,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-03-08 08:01:25,APIS_Tom,Newbie,38,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),We have started our crowdsale and we are going strong with more than $2M invested in the first week! Let's keep it strong!  Please see our medium publication on how to make your contribution:  https://medium.com/apisplatform/how-to-participate-in-the-apis-crowdsale-beb3f90c0e3,False
14,msg35055688,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-04-19 05:31:40,Haonam152,Newbie,82,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),what about Apis masternode?Can we also set it up when Apis lanches or just other masternodea?,False
15,msg35732619,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-04-27 16:25:54,gerald246kru,Member,294,10,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),APIS Platform (APIS) market added to Idex market  https://twitter.com/Aurora_dao/status/989874973824176128  https://idex.market/eth/apis  Congratulation !  Wish you very happy trading !,False
16,msg36934674,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-11 04:44:24,hamamana99,Newbie,188,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"wallets and platform will work seperate at the beginning, get combine at some point. I’m not sure so better",False
17,msg36983821,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-11 15:47:22,Sucess,Newbie,238,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"They had crowd sale before Apis and they also said they will list on May.They never made it sure with the date because of the issue with exchanges. And also NEXO is listed on IDEX as you said as a shit exchange, and I’m not sure but you might be disappointed with NEXO with the listing if it might be HITBIT aren’t you? HITBIT is also as a big 11 exchange as you said LOL",False
18,msg37047368,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-12 11:01:46,phamngoctruc.hp97,Newbie,20,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"You say that the funds in the account can be blocked in case of depreciation of the currency, and if the exchange rate doesn't become the same? how it's works?",False
19,msg37103089,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-13 05:32:59,PoseidonDev,Copper Member,266,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),Masternodes.Directory are giving away 5 x free coin listings on Twitter    Tweet: https://twitter.com/MasternodesDir/status/994363272567644163 Website: https://masternodes.directory/,False
20,msg37683898,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-18 14:23:38,diepvien98712,Newbie,111,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"I think this is a good project, with the possibility of passive earning without much risk, since I am going to invest!",False
21,msg37885687,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-20 07:05:21,fuximing,Newbie,13,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),A good project,False
22,msg38204903,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-05-22 19:58:42,21joker,Jr. Member,289,1,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),Hi friends!  APIS  is now listed on Bitgur price index - https://bitgur.com/coin/APIS! You can add it to customizable watchlist and create advanced price alerts.,False
23,msg39145298,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-01 14:34:30,ashish101,Newbie,79,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),I just read whitepaper and found good idea and perfect vision of this platform and i would recommend all investors about this project that APIS is building a Master-node Mediation Platform to familiarize the term “master-node” to a larger range of people and to let them enjoy the advantages and benefits of a master-node.,False
24,msg39874506,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-11 11:53:16,Cryptochel,Full Member,378,106,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"Mineral still provides almost no-fee environment to active APIS users, so a significant increase in user transactions is expected as users attempt to minimize their fees. Mineral system is therefore expected to help the expansion of real-world use of APIS ecosystem.",False
25,msg40416026,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-19 01:51:27,anton207,Newbie,83,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"Sounds like a good project, however I don't understand why Telegram is so quiet with 23K members and why they can't restart their twitter for so long? This project needs more publicity and advertising in my opinion.",False
26,msg40488019,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 01:22:50,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),We held a platform design poll and here we present the draft chosen by most participants   Check it on our official medium  https://medium.com/apisplatform/a-draft-for-apis-masternode-mediation-platform-design-21cb767dc0b7,False
27,msg40488325,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 01:34:10,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),This is where we at - APIS test net development    Click the link below and find out how close we have come to a main net  https://medium.com/apisplatform/current-progress-of-apis-testnet-a8177c8f124e,False
28,msg40489091,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 02:02:54,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"Another listing event with Bit-Z is coming!  Who would like to make APIS trading volume BIG and get the golden coin, or even a Gold bar?    Click the link below if you want more details.  https://medium.com/apisplatform/bit-z-exchange-listing-event-869a18c9c622",False
29,msg40495640,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 05:33:22,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),Click the link below and take a peep at a draft of how it would look when APIS Explorer is launched     https://medium.com/apisplatform/apis-explorer-beta-announcement-f7780f278627,False
30,msg40496386,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 05:52:45,Lamdecaka,Newbie,28,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"The idea is very good and if you truly prosper in actualizing your visions, then I suppose it will be interesting.",False
31,msg40496815,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-06-20 06:03:43,APIS Irene,Newbie,7,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"We have announced 3 selected coins which our mediation platform would support.  To find out about the coins you'd get to invest with on APIS mediation platform, please click the link below.   https://medium.com/apisplatform/masternode-support-coins-for-mediation-platform-phase-1-24d7b8ff4821",False
32,msg31254883,https://bitcointalk.org/index.php?topic=2694364.0,msg31244332,12998,Announcements (Altcoins),2018-02-28 11:50:50,Nijeltheboss,Newbie,333,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"  Yes, I think. But their goal is only one, and they can't be passed to anyone.",False
33,msg31262021,https://bitcointalk.org/index.php?topic=2694364.0,msg31254883,12998,Announcements (Altcoins),2018-02-28 13:36:47,vkolotun,Newbie,364,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),  Is it like the bonus points that are awarded for the purchase of tokens? Can we assume that this is part of the bonus program?,False
34,msg31264402,https://bitcointalk.org/index.php?topic=2694364.0,msg31262021,12998,Announcements (Altcoins),2018-02-28 14:10:16,AngelinaShulcz,Newbie,378,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"  Hahaha, well, if you so please)) You can consider this as an additional privilege of investing in a masternode with APIS",False
35,msg31266977,https://bitcointalk.org/index.php?topic=2694364.0,msg31264402,12998,Announcements (Altcoins),2018-02-28 14:46:41,manox.dave,Newbie,350,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"  Haha, you're funny. Although, I think investing in Apis, sad to live will not have to!",False
36,msg31270919,https://bitcointalk.org/index.php?topic=2694364.0,msg31244332,12998,Announcements (Altcoins),2018-02-28 15:39:19,jess4ever,Newbie,350,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"  I think before the transaction there will be a choice of payment option for the commission. Tokens, Fiat, or Minerals",False
37,msg31273853,https://bitcointalk.org/index.php?topic=2694364.0,msg31270919,12998,Announcements (Altcoins),2018-02-28 16:20:54,Lucasolofsson85,Newbie,392,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),  Well this is quite logical!,False
38,msg31274936,https://bitcointalk.org/index.php?topic=2694364.0,msg31254883,12998,Announcements (Altcoins),2018-02-28 16:36:32,JackPeterson91,Newbie,284,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"  As well as values, they don't represent anything",False
39,msg31277323,https://bitcointalk.org/index.php?topic=2694364.0,,12998,Announcements (Altcoins),2018-02-28 17:10:57,sharkman20,Newbie,350,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),I heard you will soon have some important event! What do you have in mind?,False
40,msg31284363,https://bitcointalk.org/index.php?topic=2694364.0,msg31277323,12998,Announcements (Altcoins),2018-02-28 19:00:34,evilcyclope,Newbie,378,0,,[ANN][ICO] APIS - The First Masternode Mediation Platform(Pre-sale in Feb.20th),"  The next token sale stage, i think...They also had a technical break, as I know",False
