id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg49452581,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2019-01-27 16:14:27,andreibi,Legendary,1493,1009,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.","I don't know why buy ODEM or the ODE token has consistently been more upbeat than the rest of the ETH tokens. There are no large dumps, and it seems ODE was the least affected by the bear market.  Can anyone tell me what the coming hype will be?.",False
2,msg50534083,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2019-04-09 20:45:29,klarki,Legendary,1554,1127,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.",ODEM is listed at Livecoin.net and available for trading.  ODE/BTC: https://www.livecoin.net/en/trade/index?currencyPair=ODE%2FBTC ODE/ETH:https://www.livecoin.net/en/trade/index?currencyPair=ODE%2FETH,False
3,msg50539544,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2019-04-10 08:29:25,DeViL303,Full Member,588,103,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.","ODEM (ODE) is now available on KuCoin, you can deposit now. Supported trading pairs include ODE/ETH and ODE/USDT. Trading will start on April 10, 2019 at 18:00 (UTC+8) and withdrawal will open on April 10, 2019 at 20:00 (UTC+8)  https://twitter.com/KuCoinUpdates/status/1115892746521382913",False
4,msg37386169,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2018-05-15 19:40:24,albermaze,Member,182,10,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.","Hello, is there any new announcements on ODEM project progress. When we will see working platform? Any new partnerships?",False
5,msg37704747,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2018-05-18 18:04:57,jerry3k5jamiso1,Full Member,434,100,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.",ODEM.io (ODEM) has been added to IDEX exchange https://idex.market/eth/odem  Congratulation !  https://twitter.com/Aurora_dao/status/997189563402551296,False
6,msg38626793,https://bitcointalk.org/index.php?topic=2591616.0,msg37386169,1844,Announcements (Altcoins),2018-05-26 14:59:28,TanyaCrazy2020,Full Member,308,103,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.",   Here you can read the latest news about the project: The ODEM Product Roadmap and Provisional Patent Update   https://odem.io/2018/05/22/newsletter-odem-product-roadmap/,False
7,msg38684705,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2018-05-27 10:32:29,Rtalk,Jr. Member,420,1,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.","In the decentralized education market ODEM smart contracts are used to establish financial relationships between the participants (e.g. students, teachers).The platform should have a sufficiently large number of teachers who will support a large number of students. Blockchain allows you to create a platform that will eliminate geographical restrictions and intermediaries that need to be paid. I believe that in the future there will be more blockchain innovations in the field of education. The price of the coin will only grow over time....still waiting for the addition of coins to other exchanges.",False
8,msg39936444,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2018-06-12 08:35:39,A.Tumakov.le,Newbie,168,0,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.",When will Odem be on Idex?,False
9,msg40428818,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2018-06-19 07:44:25,c0in_junkie,Sr. Member,528,251,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.",ODEM got added on Bitforex Exchange  .,False
10,msg43588354,https://bitcointalk.org/index.php?topic=2591616.0,,1844,Announcements (Altcoins),2018-08-06 13:01:01,irwanjabryg,Hero Member,980,512,,"[ANN] ODEM.io, On Demand Education: Featured Forbes, INC.","For now ODEM is tradeable on Bitfinex, Ethfinex, BitForex, IDEX, Etherdelta and Tokenjar. Odem was increasing in a healthy way, i'd say, sometimes up, sometimes down. This is so much better than crazy p&ds going on with others. Anyway, hope the project will continue reaching its milestones on their roadmap. All the best to the team!",False
