id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43795151,https://bitcointalk.org/index.php?topic=4470164.0,,301,Announcements (Altcoins),2018-08-09 21:34:58,ibiznes,Copper Member,98,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform",We can expect great partnerships from the crypto sphere as Galion has the ambition to create an union of great technologies whereas other projects wants to create their own technology.,False
2,msg43878126,https://bitcointalk.org/index.php?topic=4470164.0,,301,Announcements (Altcoins),2018-08-11 11:26:45,Salesin,Newbie,98,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform","Galion.io app is already available as an MVP and the UX is very smooth. Through four items, you can manage all your crypto assets easily.",False
3,msg44046221,https://bitcointalk.org/index.php?topic=4470164.0,,301,Announcements (Altcoins),2018-08-14 04:37:55,nmthu2209,Newbie,126,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform",Galion will build a financial ecosystem around the Galion Token that will provide the most comprehensive and simplest way for individuals to manage personal finances. The ecosystem will feature advanced trading bots and human experts who will share knowledge with the members.,False
4,msg44118179,https://bitcointalk.org/index.php?topic=4470164.0,msg43878126,301,Announcements (Altcoins),2018-08-15 10:55:08,grimaltonio,Newbie,29,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform",   Thank you very much for your feedback! Do not hesitate to give us advice or ideas to improve our project!,False
5,msg44118331,https://bitcointalk.org/index.php?topic=4470164.0,msg43795151,301,Announcements (Altcoins),2018-08-15 10:58:43,grimaltonio,Newbie,29,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform","   I agree! We are actively working to develop such partnerships, today we are already partners with Kyber Network and several partnerships will be released soon! Stay tuned!",False
6,msg44980739,https://bitcointalk.org/index.php?topic=4470164.0,,301,Announcements (Altcoins),2018-08-31 14:48:28,meongoan,Newbie,76,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform",It looks like that you are implementing an impressive project and business plan. You have concrete plans and goals to achieve and striving hard to reach those goals.,False
7,msg44981340,https://bitcointalk.org/index.php?topic=4470164.0,msg43795151,301,Announcements (Altcoins),2018-08-31 15:00:15,Margary,Sr. Member,854,252,,"[ANN][ICO] Galion, the Ultimate Financial Platform","   The team has ambitious plans, and I hope that the team will create all the conditions for creating these plans in reality. let's believe in success and development.",False
8,msg45173955,https://bitcointalk.org/index.php?topic=4470164.0,,301,Announcements (Altcoins),2018-09-04 09:38:16,swamik,Newbie,14,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform","Congratulations!!  I am pleased to inform that Galion.io data platform has been shortlisted and added to our listing:  In case of any changes, feel free to revert back with the proposed changes to be made to hello@allcoinposts.com   Best Regards,  https://www.allcoinposts.com/icodetails?q=Galion.io",False
9,msg45227089,https://bitcointalk.org/index.php?topic=4470164.0,msg45173955,301,Announcements (Altcoins),2018-09-05 12:02:22,grimaltonio,Newbie,29,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform",Thanks! We will keep you informed for any project updates!    ,False
10,msg45227171,https://bitcointalk.org/index.php?topic=4470164.0,msg44980739,301,Announcements (Altcoins),2018-09-05 12:04:33,grimaltonio,Newbie,29,0,,"[ANN][ICO] Galion, the Ultimate Financial Platform",Many thanks for your support! Do not hesitate to try our MVP here!   ,False
