id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg48273320,https://bitcointalk.org/index.php?topic=4430681.0,msg39548730,12598,Announcements (Altcoins),2018-11-27 16:04:12,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,We've just updated our OP.     ,False
2,msg48273870,https://bitcointalk.org/index.php?topic=4430681.0,msg47855972,12598,Announcements (Altcoins),2018-11-27 16:24:10,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,   Thanks for the offer. Will contact you when the time comes.,False
3,msg48274349,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-27 16:44:18,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"Useful list of our latest posts:  YABP (Yet Another Blockchain Primer) The Elrond Fellowship — Ambassador Program Elrond technical progress update — some talk about it, we build it #3 Partnership Announcement — Elrond Initiates Cooperation With Leading Payment Provider NETOPIA Payments",False
4,msg48284555,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-28 03:55:33,dallas_btc,Newbie,39,0,,Elrond | 1000x Throughput | Blazing fast TX speed,Hi guys. I found Elrond project on a website that publishes ratings from popular experts: https://topexperts.io/ico/elrond-network There is a common 5.45/10 score from 13 experts,False
5,msg48285033,https://bitcointalk.org/index.php?topic=4430681.0,msg48284555,12598,Announcements (Altcoins),2018-11-28 04:39:17,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,   Thanks for the info. Some of those seem like bad quality filters.,False
6,msg48287344,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-28 07:24:49,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,Some perspective on differentiation with other large public blockchains.  More information about this can be found in our paper.,False
7,msg48303136,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-11-28 18:44:08,satb,Member,106,13,,Elrond | 1000x Throughput | Blazing fast TX speed,"Sounds like a very interesting project after reading through your website, whitepapers, blogs.  Particularly like the Team behind this project, and the vision.  I understand there won't be an ""ICO"", what method could I use to become an investor in this project?",False
8,msg48346701,https://bitcointalk.org/index.php?topic=4430681.0,msg48303136,12598,Announcements (Altcoins),2018-11-30 12:08:28,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,   Thanks for the interest. We are currently preparing for a private seed round and will make some announcements regarding token distribution in December.,False
9,msg48460638,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-12-05 09:17:10,cyberpunkworld,Newbie,14,0,,Elrond | 1000x Throughput | Blazing fast TX speed,"Hello there, I like your project and would like to get in contact.  Meanwhile I have some questions and hope that you can clear them out for me. In regard to your Testnet, do you have an estimated time for launch? and what is the desired number of nodes to be achieved in order to show(case) Elrond’s potential for scalability? How many coins are needed for staking? Do you have any documents for testnet? Details on token distribution?  Again, great job, looking forward to seeing more about this project's development.",False
10,msg48506991,https://bitcointalk.org/index.php?topic=4430681.0,msg48460638,12598,Announcements (Altcoins),2018-12-07 07:47:44,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"     Glad to have you here.  Q1: Our internal target is that the testnet should be launched sometime around Christmas but there's still lots of work to be done. Q2: In our prototype, we have run tests with 200 nodes, so in the testnet we intend to scale this considerably. However, we'll have to see how this works in the first release, or if we'll do this only with the second release. Q3: The precise number has not been decided yet, but we will probably post some of the simulations around the testnet launch to receive some feedback on them. Q4: Do you mean technical documentation? Q5: We are discussing some really interesting ideas and should also post some notes on this around the testnet launch. The idea is to create a wider distribution, departing a bit from the simple ICO distribution, to create a way for real supporters to join during the bootstrapping phase even without investing direct money. This will most likely be a combination of several distribution methods.",False
11,msg48584777,https://bitcointalk.org/index.php?topic=4430681.0,,12598,Announcements (Altcoins),2018-12-10 19:39:04,xtester,Hero Member,840,500,,Elrond | 1000x Throughput | Blazing fast TX speed,"Elrond’s Design Rationale  Know your enemies, your weaknesses so you can counteract, and you shall prevail during byzantine behavior: https://medium.com/elrondnetwork/elronds-design-rationale-12eb194bf485",False
