id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34914321,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-04-17 11:19:10,kineticex,Copper Member,6,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"KINETICEX TOKENS | WHITEPAPER | FACEBOOK | TWITTER | TELEGRAM GROUP      ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄ INTRODUCTION TO KINETICEX  A Revolutionary Blockchain Mobile Payment Solutions    ▄▄▄▄▄▄ OUR VISION  Kineticex-KRC technical team has intelligently designed a platform for public using modern standards for payment solutions. This groundbreaking platform can be used worldwide for; Individuals to send and receive money, merchant to web payments for online shop payment processing, ATM machines to access and cash out payments anytime, keep their identity clearly proved just like people are using Facebook, Google or LinkedIn current standards. Moreover following our future plans most of hardware devices and ATM machines will be synchronized to be linked to our fast & secure blockchain network for payment solutions. Kineticex will be providing fully secure customer data with identity proves to avoid delays in KYC for online shop around the world. Moreover we are anticipated to provided one platform for many other features that customer always look forward including to convert account balance to any other digital currency or FIAT and cash out from any region of the world. There are a number of challenges in several industries for which Kineticex has been designed to solve.   ▄▄▄▄▄▄ BUSINESS MODEL DIAGRAM  ▄▄▄▄▄▄ THE KINETICEX PLATFORM  Having that business model, as explained above, Kineticex planned to be fully compliance obtaining license of EU electronic money institution, Electric Money Association (EMA). Kineticex will enable users to send or receive payments fully compliance with law. Our users will be able to hold crypto or FIAT currencies including Bitcoin, Ethrereum ERC20 Tokens and many other most popular cryptocurrencies. Our currency exchange will be standard for all currencies for 0.5% markup. Our dynamically designed APIs connected with EMA, will auto generates IBAN numbers for users. Having said that, Kineticex will be outstanding blockchain payment solution to become a standard daily fundamental use.   ▄▄▄▄▄▄ E-COMMERCE/MERCHANT SOLUTIONS  These platforms attract a large number of public community feedback and makes more people interested in the cryptocurrency world. However, the challenge has been that a number of people haven’t found most cryptocurrencies easy to mine and, in fact, consider most cryptocurrency platforms to be complicated. Kineticex provides an secure, robust, transparent and easy-to-use application that will attract more merchants. This will lead to high demand for the coins and also increase in the value of the coins. Kineticex has designed in-app purchase and web payment APIs for merchants to sell digital good and services. Kineticex objectives to acquire a strategic position, where transactions will be processed through a smart contract based platform. This will facilitate the payment process and allow all parties to be in full control over their funds with neither of them regulating nor influencing the interaction.   ▄▄▄▄▄▄ ATM MACHINES  Although ATMs provide a quick means to exchange FIAT to cryptocurrency, the technology is yet to be well integrated in the cryptocurrency sphere. Kineticex will solidify the bridge between cryptocurrency and the FIAT money worlds using ATMs.   ▄▄▄▄▄▄ GAMING PLATFORM  A major challenge is that gamers find it hard to upload funds in a number of gaming platforms. With Kineticex, this challenge will be taken care of, and the sustainability of the gaming industry is more assured.  Prevent fraudulent payments following verified identities Fully protected buyers mechanism Direct cryptocurrency payments access Only 1% Transaction fee Free-of-cost KYC procedures for bulk game traders  ▄▄▄▄▄▄ PUBLIC CRYPTOCURRENCY MINING  While mining involves heavy machinery with many cryptocurrencies, Kineticex allows mining pool through the different OS interfaces. Aside from that. You, as a user, will be able to exchange different cryptocurrencies to FIAT money.   ▄▄▄▄▄▄ REAL ESTATE  The complicated nature of several cryptocurrency platforms have discouraged a number of people including real estate developers from adopting cryptocurrency as a means of transaction in their field. Kineticex provides a simplified alternative cryptocurrency platform for the developers.   ▄▄▄▄▄▄ Kineticex Token Details  ▄▄▄▄▄▄ PRE-SALE & ICO  KRC Token will be holding its token sale on a soon to be announced date. The token sale will run until the initial coin block has been taken up or on a fixed date.     There will be Soft-CAP of 7500 ETH, Hard-CAP of 68750 ETH and 500 Million KRC Tokens in total supply. We have allocated 70% of tokens to be sold to public. There will be Pre-sale in two round (15 days each and 10% bonus tokens in 1st 15 days and 5% bonus tokens in last next 15 days), during which KRC Token will be available on  ""1 KRC = 0.0001 ETH"" and 25% KRC Tokens will be sold in Pre-Sale from public allocation. The ICO will be done in three rounds (15 days each), and 45% KRC Token from public allocation will be available on ""1 KRC = 0.00025 ETH"" throughout the three rounds. We will be rewarding users for early adoption during our ICO, because we believe that doing this will improve the future value of KRC Token and ensure speedy growth. The bonus structure to reward those who decide to purchase early is presented below.    ▄▄▄▄▄▄ TOKEN DISTRIBUTION   ▄▄▄▄▄▄ FUNDS ALLOCATION   ▄▄▄▄▄▄ REFERRAL PROGRAM  Kineticex allocated 5% of its total token supply for it's referral program. Users referring others to register and participate will be rewarded this allocation of Kineticex tokens. In order to eligible, there are few of the requirements;  Refer account must be fully verified with email and identity document proof for KYC. Minimum $50 USD worth crypto or FIAT currency must be deposited.  Note: Kineticex referral program will be launched from day first till ICO completion.  ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄ KINETIC REVOLUTION EXCHANGE   Following our goal, introducing exchange platform to enabled our valuable customers to convert between crypto and traditional assets and cryptocurrencies. Our exchange will be working based on brokerage principles. Kinetic Revolution will be playing its role as an exchange firm executing the conversion based on single aggregated exchange rate. Kinetic revolution exchange will be fully automated purchase/sale of virtual currencies, tokens, as well as purchase and sale for fiat money and CFD trading on virtual currencies. It will be supporting margin trading and exchange of an unlimited number of Crypto instruments with the possibility of adding even your new ICO tokens, including ERC20.    ▄▄▄▄▄▄ E-PAYMENTS  Kinetic Revolution will integrate popular e-payment systems (Webmoney, Skrill, Qiwi, YandexMoney, etc.), cryptocurrency payment systems (BTC, LTC, ETH, XRP, XMR etc.).   ▄▄▄▄▄▄ SYSTEM  FEE  Kinetic Revolution exchange is intelligently designed platform for exchanging cryptocurrency. Customers will be able to trade cryptocurrency on this platform following monthly set threshold. Buying and selling cryptocurrencies will be at 0.25% fee.   ▄▄▄▄▄▄ EXTENSIVE RANGE OF SUPPORTED COINS  Kinetic Revolution exchange will be supporting conversion FROM and TO  wide range of cryptocurrencies.    You can find out more on our website and whitepaper.",False
2,msg34956918,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-04-17 21:16:56,Dasengineer,Full Member,434,121,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"Seems like you guys have great idea and great development team with background in blockchain space. However, I doubt about your HUGE hard cap 110690 ETH can be achieved. I don't see any management folks in your team and no advisors as well, these are very important factors to develop and grow your project during the long journey.",False
3,msg34957662,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-04-17 21:32:52,MrSpasybo,Member,378,19,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"Softcap 13750 ETH? It is hardcap of other projects. How do you think about it? Can you raise soft, and then hardcap in cold-market at the moment?  Reserved Vietnamese Translation Translation/Moderation experience: https://goo.gl/AnZPjV ERC20 wallet: 0xBc38F2403e277634d14Ad9638122052599A57e0F  Please PM me if I am accepted. Thank you.",False
4,msg34961418,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-04-17 23:11:53,webde,Newbie,6,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,ambitious I guess but achieving the target can be a hard road not impossible.,False
5,msg35031725,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-04-18 19:47:25,jamecuvier1221,Newbie,98,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,Looks interesting. Lots to read and take in so I may need to go over it again but for now Im watching.,False
6,msg35104534,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-04-19 16:38:42,liamsimmom,Newbie,23,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,I think that really a very big project.I really like and I really want to participate in this project,False
7,msg41338075,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-07-02 06:51:30,johnleema,Newbie,70,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,Users can store and process digital transactions in a more secure and transparent system that is built and engineered to run on the Ethereum blockchain.,False
8,msg42053906,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-07-12 19:24:38,ls2006,Newbie,35,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,joined airdrop  email:lokeshmpeb@gmail.com telegram:@lokesh1977 twitter:@vickyjbp2010 facebook:https://www.facebook.com/lokesh2006,False
9,msg42389540,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-07-18 05:46:48,coinrating.co,Jr. Member,73,1,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"Kineticex has been listed on CoinRating, Check out their profile here: Kineticex on CoinRating.co",False
10,msg42390160,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-07-18 06:01:18,kawetsriyanto,Sr. Member,546,313,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,I really like the concept of Kineticex-KRC project that want to be a platform with modern standards for payment solutions. It will ease everyone to manage the payment at future. I am also interested in the plan of ATM machines to access and cash out payments. Great!    ,False
11,msg42789614,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-07-24 13:11:03,Yura Vorobiov,Newbie,28,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"Hi there! We've conducted a primary evaluation of your project and made a SWOT analysis, identifying the lack of information about the regulation of fund dispersal and usage of tools (for example, the use of an escrow) that would guarantee the return of investments if the stated usage of funds is not followed as the main project's weakness: https://swot.digrate.com/report/4646dd9a-01af-40a5-9c45-dff1af78159e. Please note that this is not an official statement, we just use it for our internal purposes, the SWOT does not provide deep understanding of ICO and was made automatically based on data published in open sources. What do you think about it?",False
12,msg42791368,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-07-24 13:43:20,PoweredBy SMF,Full Member,350,100,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"Kinetic revolution has instigated a new concept of digital payments platform named Kineticex. Kineticex ecosystem is a triad of cryptocurrency exchange, KRC token, and mobile wallet. With Kineticex ecosystem, the payment processing is changed for the better.",False
13,msg43850906,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-08-10 21:10:02,Sandra87,Newbie,2,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,È in onda il nuovo video bounty campaign di Kineticex.... https://docs.google.com/forms/d/e/1FAIpQLSc7HUDT3abqAft7dAzUUeE5-2kGE2AQLs4BcJ29c6h58juCuQ/viewform?usp=pp_url,False
14,msg44122681,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-08-15 12:25:26,vit4456,Newbie,78,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,joined airdrop  email:sos7070@yahoo.com telegram:@vit4459 twitter:@shmakov_viktor facebook:https://www.facebook.com/vit4455,False
15,msg44123988,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-08-15 12:49:57,tamsyho2,Newbie,140,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"The use cases of the project are well explained, the USP is clearly visible and the team is very well positioned.",False
16,msg44124347,https://bitcointalk.org/index.php?topic=3337704.0,,478,Announcements (Altcoins),2018-08-15 12:56:46,n3482nba,Newbie,140,0,,Kineticex - KRC | A Revolutionary Blockchain Mobile Payment Solutions,"the payment revolution which is the main concept of this project is a very good innovation, but for the achievement that is not easy, it takes a long time, even to be relevant to the ATM systems of every country and region",False
