id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg25846269,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 12:05:51,vadim_,Member,63,10,,Arhive,Arhive,False
2,msg25846898,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 12:17:30,kamiyama,Sr. Member,742,251,,Arhive,Are you any relation to Vitalik Buterin?,False
3,msg25847203,https://bitcointalk.org/index.php?topic=2534909.0,msg25846898,831,Announcements (Altcoins),2017-12-06 12:22:45,vadim_,Member,63,10,,Arhive,   No. We use him with Karl Marx and other people only in presentation (decoin.space),False
4,msg25847644,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 12:30:10,cryptomium,Full Member,181,100,,Arhive,"sorry, but are this token will sell only in platform? or it will be available on famous exchanges? seems like this one is only sell in platform",False
5,msg25848325,https://bitcointalk.org/index.php?topic=2534909.0,msg25847644,831,Announcements (Altcoins),2017-12-06 12:42:27,vadim_,Member,63,10,,Arhive,    Tokens will be availible on deffirent exhanges.,False
6,msg25848649,https://bitcointalk.org/index.php?topic=2534909.0,msg25848325,831,Announcements (Altcoins),2017-12-06 12:48:09,cryptomium,Full Member,181,100,,Arhive,   Thanks for your fast respond. And what is advantages to be early adopter also what advantages we can earn if we are token holder?,False
7,msg25849530,https://bitcointalk.org/index.php?topic=2534909.0,msg25848649,831,Announcements (Altcoins),2017-12-06 13:03:20,vadim_,Member,63,10,,Arhive,"   It's very simple, you buy the token for one price and sell for a large price on the exchange. The price of the coin is increased by: 1. Limitations of the sentence. (Destruction of Coins) 2. Increase demand of betters 3. Increase demand and desctruction in b2b 4. Increase the volume of the darkpool and secondary market  In presale we make a big discount. About the size we discuss in person",False
8,msg25849801,https://bitcointalk.org/index.php?topic=2534909.0,msg25849530,831,Announcements (Altcoins),2017-12-06 13:07:32,cryptomium,Full Member,181,100,,Arhive,"   Nah that just very related to my first question  If you noticed that every coin that offering dividend, could have problem when trying to get in famous exchanges. So i could say that your token was right type for trader.",False
9,msg25850096,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 13:12:24,NeverCrypt,Newbie,32,0,,Arhive,"""18% for teem""... did you mean ""team""?",False
10,msg25850251,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 13:15:03,denam,Sr. Member,896,251,,Arhive,For presale may be but for running full ICO these days when everyone is thinking about BTC isn't suitable time. Next big gainers will be these alternative coins market but first let the thing be clear. It is quite possible some project with huge potential to skip away from the eyes of investors these days.,False
11,msg25850643,https://bitcointalk.org/index.php?topic=2534909.0,msg25849801,831,Announcements (Altcoins),2017-12-06 13:21:58,vadim_,Member,63,10,,Arhive,"   Yes. We think, our coin is not a security. This is the only coin for playing Decoin. DCI is more like the ability to access the software. We are not guaranteed that it will necessarily grow in value. The price is determined by the market.",False
12,msg25850840,https://bitcointalk.org/index.php?topic=2534909.0,msg25850096,831,Announcements (Altcoins),2017-12-06 13:24:57,vadim_,Member,63,10,,Arhive,"     Oh, thank you. It will be Changed.",False
13,msg25851109,https://bitcointalk.org/index.php?topic=2534909.0,msg25850251,831,Announcements (Altcoins),2017-12-06 13:29:28,vadim_,Member,63,10,,Arhive,   I think this is the right idea. ,False
14,msg25863888,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 16:59:38,dzkrb1966,Full Member,602,110,,Arhive,"A lot of projects now claim that they are supported by Vitalik Buterin himself. Perhaps this is a photo from a conference, maybe just taken from the Internet. Well, with a little bit of a likelihood that he supports the project, but for some reason it is not particularly believed in it. Although, there Russian guys are declared as a team and Vitalik is also Russian.",False
15,msg25864740,https://bitcointalk.org/index.php?topic=2534909.0,,831,Announcements (Altcoins),2017-12-06 17:14:54,xfirefly,Full Member,166,100,,Arhive,"I know several projects that are similar to this one and they are quite successful. Therefore, I think that it is quite possible that this project has a future. Just give it time.the main thing that the company was a success and carried out their plans. If you need to translate into Chinese, I can do the best for you.Thanks.",False
16,msg25870386,https://bitcointalk.org/index.php?topic=2534909.0,msg25863888,831,Announcements (Altcoins),2017-12-06 18:58:40,vadim_,Member,63,10,,Arhive,"   He is for presentation with Carl Marx, Poroshenko and others. We do not write anywhere that he supports our project with and Putin.",False
17,msg25870482,https://bitcointalk.org/index.php?topic=2534909.0,msg25864740,831,Announcements (Altcoins),2017-12-06 19:00:46,vadim_,Member,63,10,,Arhive,"   Cool, thank you. Soon, we will declare a bounty, there will be translates",False
18,msg25878142,https://bitcointalk.org/index.php?topic=2534909.0,msg25871225,831,Announcements (Altcoins),2017-12-06 21:40:13,vadim_,Member,63,10,,Arhive,   Thank you,False
