id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45268390,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-09-06 07:50:50,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,Computer technology creates an additional factor of reliability and efficiency.The use of computer technology in the investment industry takes on particular importance when the minimization of the risks related to the human factor in making investment decisions is concerned. https://tokens.quantor.co,False
2,msg45319333,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-09-07 07:01:26,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"Existing quant training programs are  not  designed to  prepare algorithmic traders.We  are  considering an alternative training model used to build educational programs in the  field  of entrepreneurship, developed at  Carnegie Mellon University. https://tokens.quantor.co  ",False
3,msg45455038,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-09-09 19:16:39,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"Hosting of trading algorithms on the Quantor platform will allow the mechanism of interaction of the smart contract with each algorithm to be implemented. This solution has significant advantages of monitoring, which has no analogues. https://tokens.quantor.co",False
4,msg46018245,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-09-22 09:37:55,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"A variety of relationships can be formed between the participants of the Quantor ecosystem (users of the platform), providing the raising of various mutual interests and payments. The blockchain technology will make it possible to effectively document and control the mutual obligations of the participants, significantly simplifying their  relationships and  ensuring  the  quality of  the  platform services. https://tokens.quantor.co",False
5,msg46067122,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-09-23 13:21:57,QUANTOR,Newbie,172,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"The autumn business season has begun, and Quantor has visited FINFAIR — a major event of the Moscow Stock Exchange. Read about it by the link below https://medium.com/@Quantor/the-autumn-business-season-has-begun-and-quantor-has-visited-finfair-a-major-event-of-the-moscow-bd53eed48b61 http://i.imgur.com/pUm2L4o.jpg",False
6,msg46314903,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-09-29 16:46:42,QUANTOR,Newbie,172,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,Ethereum Preparing for the Next Bull Run? https://www.bloomberg.com/news/articles/2018-09-27/crypto-bull-thomas-lees-says-ethereum-is-poised-for-a-big-rally?srnd=cryptocurrencies  https://i.imgur.com/EHqKKaa.jpg,False
7,msg42782530,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-07-24 10:59:56,QUANTOR,Newbie,172,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"You can buy ETH using Visa or MasterCard 💳  MyEtherWallet undertook another step forward in broadening its solutions for storing Etc20 tokens. New partnership with Simplex brings about user-friendly, convinient and yet secure way. MyEtherWallet users will now be able to buy ETH using their credit cards. The option will be available after easy one-time KYC procedure to avoide platform abuse for laundring money.Simplex is “fully-regulated fintech & crypto company” providing fraudless payment processing solutions. Simplex was ranked in the top 100 by FinTech as one of the global financial market.  https://i.imgur.com/CnBO6dv.png",False
8,msg42852692,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-07-25 13:52:47,QUANTOR,Newbie,172,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"Quantor participated in “Spot conference” in Hong Kong Stock Exchange  On July 23, co-founder and a representative of the Quantor team Vlad Buchnev took a part in the global international conference “Spot conference” in Hong Kong Stock Exchange (https://www.spotconf.com) devoted to crypto currencies exchanges.  The world’s leading cryptocurrency exchanges came together at the Hong Kong stock exchange to discuss technology and standards, regulation and industry changes. Around 250 key decision makers from top cryptocurrency exchanges participated in the conference including Quantor project representatives. The conference was attended by top cryptocurrency exchanges such Kraken, BitMEX, OKEX, GOPAX, and Huobi. Among well-known companies in crypto space were Kenetic, Bitcoin Association of Hong Kong, Coingekko, and Diginex.  A potential cooperation agreements were discussed between Quantor and representatives of crypto exchanges. The representatives of funds came to conclusion to discuss farther interest to Quantor project and its developing services for crypto investors.  https://i.imgur.com/fgO22F6.jpg ",False
9,msg42976073,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-07-27 14:46:28,daviszayn,Newbie,140,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"The funnel model allows the users most inclined towards algorithmic trading to be attracted, and also the best of them to be selected from all over the world, using online learning technologies.",False
10,msg43037722,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-07-28 16:44:56,QUANTOR,Newbie,172,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"We are pleased to announce the participation of Quantor team at Blockchain Summit in Hong Kong.  Right now,  speakers and experts are you examining and analyzing the impact various industries that Blockchain presents. Many solution-based case studies and panel discussions are focused are focused on building partnerships in the emerging Blockchain space.  We are welcome to meet with you in Hong Kong at this amazing summit. You can learn more by the following link:  http://conference.unicom.co.uk/blockchain-summit/2018/hongkong/  https://i.imgur.com/juFYlqH.jpg",False
11,msg43112315,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-07-29 19:47:27,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"Blockchain technology makes it possible to consider a trading algorithm in conjunction with smart contract,which allows you to automate the financial processes on the platform. https://tokens.quantor.co/",False
12,msg43309547,https://bitcointalk.org/index.php?topic=3298737.0,msg42161285,1467,Announcements (Altcoins),2018-08-02 03:21:05,Ipupin,Newbie,126,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"   Right sir. this platform provides access to industry experts online courses, providing practical knowledge in various fields of algorithmic trading and quantitative finance.",False
13,msg43318566,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-08-02 07:32:38,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"The effectiveness of the platform is achieved through continuous professional training of algorithmic traders, providing them with educational solutions of modern information technologies,financial engineering and algorithmic trading from well-known experts.Transparency of the ecosystem is ensured by the use of blockchain technology.The records of trading algorithms performance,statistics of all trading algorithms development stages,and developers’ professional background are stored in a distributed ledger (blockchain) https://www.trackico.io/ico/quantor/",False
14,msg43472819,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-08-04 18:16:33,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,Quantor is a blockchain-powered ecosystem that emerged as a response to a fundamental shift in investment industry: brings together tech savvy developerss and researchers with PhD students from research institutions to develope cutting edge trading solutions-trading algorithms for managing investors capital. https://tokens.quantor.co,False
15,msg43654917,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-08-07 14:31:46,QUANTOR,Newbie,172,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"QUANTOR'S PICK ON THE NEWS July 30 - Aug 5  #Quantor has launched Pre-Sale. We are happy to see you on aboard. Only limited amount of QNT tokens available at a great discount of 35%!!! Learn More: https://tokens.quantor.co       https://i.imgur.com/TyLDIG5.png  💼💸 ‘Treasure Ship’ ICO Dupes Investors – South Korea Asks Interpol for Help South Korean police have asked Interpol for help with an investigation into the fraudulent token sale of Shinil Gold Coins that were claimed to be backed by the “treasure” on the sunken Dmitrii Donskoi. Local media reported that the sale raised an estimated $53.5 million from about 124,000 investors.   👇$32mil Raised by Mining Company Listed on London Stock Exchange Idealistic startup Argo Blockchain PLC, a mining company, is the first cryptocurrency-related firm to sit on the prestigious London Stock Exchange. In only its initial trading day, Argo raised $32 million, earning a $61 million valuation in the process.  🔸Cars and Pizzas for Crypto in Russia. The wide adoption of cryptocurrencies in Russia has been put on hold after the State Duma postponed the final reading of three crypto bills for its fall session. Nevertheless, Russian companies are already planning to introduce crypto payments as soon as the regulations are in place. Among them, a major car dealer and an international pizza chain.  👍NYSE Owner: Bitcoin Should Be in Retirement Funds, Credit Cards, Retail Stores Intercontinental Exchange (ICE), owner of arguably the most important stock exchange in the world, the New York Stock Exchange (NYSE), is introducing a new company, Bakkt. The idea is to weave bitcoin core (BTC) into 401(k)s, credit cards, and retail. The project is getting a lot of hype due in large measure to two very powerful backers: Microsoft and Starbucks. Is this the mainstreaming ecosystem enthusiasts have been urging?  ➖➖➖➖  💰💰💰  📊Changes in leaders: Bitcoin $6 974 (↓2.70%) Ethereum $405 (↓0.45%) Ripple $0,428384 (↓0.89%) Bitcoin Cash $693 (↓1.46%) EOS $7,00 (↑0.02%)  Capitalisation of all cryptocurrencies $252 123 818 131       https://i.imgur.com/MFI7o8D.png",False
16,msg43752326,https://bitcointalk.org/index.php?topic=3298737.0,,1467,Announcements (Altcoins),2018-08-09 07:40:12,cryptonis33,Newbie,224,0,,[ANN] QUANTOR - Quantitative investments in decentralized economy,"Quantor spreads experience and technologies of classical financial markets and machine learning to the  cryptocurrency  space,combining  the  long-term  financial  experience  of  the  team  with new blockchain technologies and quantitative  finance. https://tokens.quantor.co",False
