id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30216208,https://bitcointalk.org/index.php?topic=2941410.0,,259,Announcements (Altcoins),2018-02-13 15:41:30,niqbixofficial,Newbie,17,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,"Hello, we are NiQBiX, the Smart Cities of tomorrow.  https://i.imgur.com/mDF735n.jpg  As we all know, the majority of all the big cities are still growing and experiencing different challenges on a daily basis. Challenges that include traffic, housing, pollution, energy demand and much more. In other words: Our cities are a mess. Nevertheless, there is not really a solid plan how to resolve all these growing problems.  So, are there even solutions for all these problems? The answer is yes! By turning the cities smart, it is possible to regulate traffic, decrease pollution, organize cities in a healthier way which is more eco and citizen-friendly and much more.  Of course, every city is different, with it´s own rules, organization and society which means that every city plan must by tailor made and engineered to respond as good as possible to every city´s needs.  So, what is NiQBiX exactly, and how does it work? NiQBiX provides the hardware and software to make every city as smart as possible. This means we have to work closely with engineers and architects all over the world to find the best solutions for each and every city. Therefore, NiQBiX is not really a product or a program, but either a whole project with a vision for the future.  For more information, please visit our website and download our whitepaper: Website: https://www.niqbix.com/ Whitepaper: https://niqbix.com/Whitepaper/niqbix_whitepaper.pdf  Or feel free to ask us anything, and we will answer you as soon as possible. We are currently active on: Twitter: https://twitter.com/niqbixofficial Facebook: https://www.facebook.com/niqbixofficial/",False
2,msg30217624,https://bitcointalk.org/index.php?topic=2941410.0,msg30216208,259,Announcements (Altcoins),2018-02-13 16:03:21,MacronMiner,Jr. Member,266,1,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities, ,False
3,msg30219841,https://bitcointalk.org/index.php?topic=2941410.0,,259,Announcements (Altcoins),2018-02-13 16:38:40,niqbixofficial,Newbie,17,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,We will start our Pre-ICO at 15th of February. Keep in touch!  https://i.imgur.com/x7Gs5u6.jpg,False
4,msg30220215,https://bitcointalk.org/index.php?topic=2941410.0,,259,Announcements (Altcoins),2018-02-13 16:44:18,smartcrypto,Member,291,12,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,funny looking roadmap there.    https://imgur.com/a/dHHG2  it's like you arent even trying anymore. must be tiring,False
5,msg30220504,https://bitcointalk.org/index.php?topic=2941410.0,,259,Announcements (Altcoins),2018-02-13 16:48:26,niknik1966,Sr. Member,266,251,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,"Whatever a good project for the creation of urban infrastructure, it will not work without interaction with local, regional and state organizations.",False
6,msg30221013,https://bitcointalk.org/index.php?topic=2941410.0,,259,Announcements (Altcoins),2018-02-13 16:55:51,noideacoin,Newbie,52,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,Aspects of this could work. I am confused a little though ,False
7,msg30222108,https://bitcointalk.org/index.php?topic=2941410.0,msg30220215,259,Announcements (Altcoins),2018-02-13 17:12:53,niqbixofficial,Newbie,17,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,"   Of course we have a more detailed Roadmap (please read our whitepaper there is a more detailed roadmap). We need help for this project to work, to become more structured and have better changes for the ICO. That is why we need first a Pre-ICO, to get together business experts and marketing experts, because on the background we are a group of electric and computer engineers from Portugal.  If you have any doubts please ask us here or on any other social media that we have! We will try to be the most clear possible.  Best regards, Team NiQBiX.",False
8,msg30222519,https://bitcointalk.org/index.php?topic=2941410.0,msg30220504,259,Announcements (Altcoins),2018-02-13 17:19:13,niqbixofficial,Newbie,17,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,"   We will try to get in a consensus with some governments, but we will focused on our own government and trying to create a prototype version of what we intend here in Portugal. Our first investors, with NQBX tokens, will be the first to see our work and get together with the team to check what we are doing.  The goal is to use our tokens as a power of decision inside NiQBiX, like a true stock. We hope to get help from our community to make the interaction with governments easier.",False
9,msg30278294,https://bitcointalk.org/index.php?topic=2941410.0,,259,Announcements (Altcoins),2018-02-14 14:11:41,himanshu93,Newbie,95,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,"you can do the same without blockchain and a token like a normal stock, then why do you need blockchain can you explain.",False
10,msg30285013,https://bitcointalk.org/index.php?topic=2941410.0,msg30278294,259,Announcements (Altcoins),2018-02-14 15:55:13,niqbixofficial,Newbie,17,0,,[ANN][ICO] NiQBiX: a decentralized project for Smart Cities,"   Nowadays our lives are stored inside big servers and you do not control your own data. With blockchain technologies you are able to store your information inside a distributed network that is stored all around the globe without losing your privacy, security and services efficiency. There is systems that are starting to explore this capacities. This is the real power of Blockchain and Tangle technologies: to give the power back to people.  That is why we want to develop Cities with Blockchain technologies: to exploit all possibilites of Blockchain's technologies for our future cities. That way we hope to create fully decentralized cities with no need for using big Cluster Servers.  Please checkout the following links to understand what we want to do: /vxZKELGhkC]https:/[Suspicious link removed]/vxZKELGhkC https://youtu.be/Br5aJa6MkBc https://coinjournal.net/city-taipei-use-iotas-blockless-tangle-smart-city-goals/  Nowadays, it looks like the Crypto World is used to create a fantasy world where people just enter only to get rich fast.  Best regards.",False
