id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg38771646,https://bitcointalk.org/index.php?topic=3942073.0,msg38771082,226,Announcements (Altcoins),2018-05-28 10:21:00,Trantran1990,Newbie,14,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"  In case the funding goal is not reaching, what is the refund protocol?",False
2,msg38771812,https://bitcointalk.org/index.php?topic=3942073.0,msg38771646,226,Announcements (Altcoins),2018-05-28 10:23:17,Captcha9x,Newbie,10,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"  Most crowdsale contracts have refund mechanisms implemented. Usually, when the soft cap is not reached within a given timeframe, all fund collected are sent back to investors. It would be better for joining Dateat telegram group for more information mate",False
3,msg38772757,https://bitcointalk.org/index.php?topic=3942073.0,,226,Announcements (Altcoins),2018-05-28 10:36:29,vill34,Member,132,13,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"A well written wight paper and a good looking project it self.  I just wonder, will there be a KYC registration inside this platform?  will there be any restrictions for country's like US?",False
4,msg38775390,https://bitcointalk.org/index.php?topic=3942073.0,msg38772757,226,Announcements (Altcoins),2018-05-28 11:13:19,Loveisblue00,Newbie,11,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,  Dateat still not set up KYC registration yet. For more information about this project u can checkup as the link https://icobench.com/ico-analyzer?ico=dateat,False
5,msg40290201,https://bitcointalk.org/index.php?topic=3942073.0,,226,Announcements (Altcoins),2018-06-17 10:17:13,daviszayn,Newbie,140,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"The second deficiency lies in poor user-matching algorithms, which result in low levels of success in finding and connecting with a potential partner.",False
6,msg40649101,https://bitcointalk.org/index.php?topic=3942073.0,,226,Announcements (Altcoins),2018-06-22 09:32:39,johnleema,Newbie,70,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"The second deficiency lies in poor user-matching algorithms, which result in low levels of success in finding and connecting with a potential partner.",False
7,msg43959353,https://bitcointalk.org/index.php?topic=3942073.0,,226,Announcements (Altcoins),2018-08-12 16:31:44,Bertram89,Member,294,12,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"thanks guys,hope will update us for more info about your project.glad to hear more good new about here,im following it closely to this",False
8,msg37664847,https://bitcointalk.org/index.php?topic=3942073.0,,226,Announcements (Altcoins),2018-05-18 10:58:57,DatEat.io,Copper Member,12,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"WHITEPAPER/FACEBOOK/TELEGRAM/BOUNTY/WEBSITE  DatEat Pre-ICO Instruction: https://www.youtube.com/watch?v=YAcFcGrVSvY  DatEat is the world’s first ever dating platform that integrated the power of Blockchain technology, cryptocurrencies and AI engine to create an intelligence, transparent, secure and compatible environment for users around the world.  DatEat is not just about dating, we embedded with several different functions such as Eat, Travel, Concert, Hotel… all in one place to bring the best experiences and make life much easier.  Summary · Project name: DATEAT  · Token symbol: DTE  · Website: https://ico.dateat.io  · Hard cap: $23 million  · Conversion rate: USDT in Remitano  Presale or white list: Register for presale here: https://ico.dateat.io/register · ERC20 token: Yes — 40% of Total Supply, Limited to a total of 500 million tokens.  · Countries excluded: For for all investors  · Timeline: Pre-ICO ongoing (Please refer to Dateat’s website for the most up-to-date information)  What does the company/project do?/size] INTRODUCTION:[/b]  The Dateat ICO is rasing money for a decentralized blockchain dating platform that aim to revolutionize and replace many exiting dating companies such as Tinder, Coffee Meets Bagel, OkCupid and Match…  By integrating blockchain into the dating mobile app, Dateat plans to help people to find their perfect dates through great places with great appetties. DTE tokens verifications help validate user credentials, to help solve the often first awkard moments of meet up, to help dates find the best places on an affordable prices.   DatEat employs a queuing system built upon distributed ledger technology and includes novel features to maximize user trust. Fast and smart AI automaticlally calculate score based on 100 million users profile to matching couples together.  A large portion of Dateat’s crowdsale, they have plan to sell 200 million DTEs to the public and aiming to raise 3 million US dollars.  How advanced is the project?   Dateat currently has ready products and launch Beta version 2.0 in May 2018 which have fast monetization with Token intergration and use in 2 native dating apps for iOS and Android, 1 website and offline services in 5 countries (Singapore, Indonesia, Thailand, Vietnam, Cambodia).  Dateat also have starting base of 100 million user base and community from existing apps, platforms and services participating as Merchants/Partners from the start.  Dateat has a unique system combine between token system, big data, AI, virtual assistant and data encryption. The users will have a different experience that they never got before.  Here is a summary of their ICO roadmap:  March 15TH- April 30th, 2018: Private sale  May 09th — May 29th, 2018: Pre-ICO  June 05th- June 26th 2018: ICO — 1st round  June 27th- July 23th 2018: ICO — 2nd round  July 24th- August 30th 2018: ICO — 3rd round  What are the tokens used for and how can token value appreciate?  DTE is a utility token for Dateat’s platform and will be used for payment transactions, advertising to growing user-base and community token.  Payment Transactions — DTE token can be used for payment for goods and services in the 10 platforms in our ecosystem and with plans to expand into other partners’ ecosystems/platforms as well.  Advertising to Growing User-base — Merchants/Experts would also buy DTE tokens to advertise the growing database, presenting another strong source of utility besides the transactional utility.  Community Token — Users can ask the community questions and upon great content, responses or ideas given, a reward of DTE tokens will be given. Rewards will also be given for referring new users or merchants who spend on DatEat as a thank you for helping grow the platform. The DTE token is instrumental in building up interactivity and growth traction in the DatEat community who will be encouraged and rewarded by providing great content to benefit other users and which the DatEat engine can learn from, providing the growing data that DatEat can grow better and more accurate from. DatEat is driven by the team behind the Lunch Actually Group, a group of proven, passionate and dedicated entrepreneurs who are convicted to create better lifetime relationships.  Besides just the DatEat app, the DTE token will be integrated with our existing ecosystem of 2 apps, 1 website and offline services (integrated 3rd party Merchants/Partners) so that DTE tokens can used by its owners almost immediately and with decent scale upon its launch.    PRE-ICO  Each day, investors will only have a chance to buy 5% of the 30 million tokens (1.5 million tokens). With such protocol, it is important that investors check their account regularly because unless they bid the highest price ($0.09 USD) they may not be able to buy DTE.  According to DatEat’s officials, even though the first day of Pre-ICO has not finished yet, more than 1.5 million DTEs have been bid. Surprisingly, all bids are placed at $0.09 USD. What this basically mean is that at the end of the day (one day of Pre-ICO started from 22:00 UTC+8 to 22:00 UTC+8 of next day), there may be some investors not able to buy DTEs even though they bid at the highest price.  Kate Truong, DatEat’s Chief Operations Officer, shares her insights: “In this Pre-ICO round, it is crucial for investors to bid early and if they have the financial capability, they should bid at the highest price, meaning $0.09 USD. There will be a lot of investors joining and wanting to buy DTE at this point, because in the next round of ICO, the price of DTE will be much higher. The reason we limit the amount of DTE that can be purchased in one day, 1.5 million tokens, is to make sure that everyone has the chance to buy DTE, not just big sharks who can buy a very large amount of DTE in one day. So hopefully everyone will enjoy this Pre-ICO round.”  We will publish a recap of DatEat Pre-ICO day one. We expect that the heat will only get higher and higher each day as the pool of DTE available for distribution will get smaller and smaller. Stay tuned for more information!",False
9,msg38760140,https://bitcointalk.org/index.php?topic=3942073.0,,226,Announcements (Altcoins),2018-05-28 07:30:48,Captcha9x,Newbie,10,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,I participated in the bounty campaign about 2 weeks ago. But still wondering do we have to fill out a KYC or pass some other procedure?,False
10,msg38760241,https://bitcointalk.org/index.php?topic=3942073.0,msg38760140,226,Announcements (Altcoins),2018-05-28 07:32:45,nguyenphihung92,Newbie,11,0,,[ANN][PRE-ICO]DATEAT - DECENTRALIZED BLOCKCHAIN DATING PLATFORM,"  Im not sure about if there will be a need for KYC for bounty. But for another projects, we do not need a KYC, only if we receive payment.",False
