id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44777347,https://bitcointalk.org/index.php?topic=4811986.0,msg44688820,1666,Announcements (Altcoins),2018-08-27 15:25:24,Zwoop,Copper Member,33,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"   The presale will start on September 12th, but you can register on our website now, here.",False
2,msg44795892,https://bitcointalk.org/index.php?topic=4811986.0,,1666,Announcements (Altcoins),2018-08-27 23:20:23,Target100,Newbie,154,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"Zwoop is a revolutionary e-commerce FIND ENGINE. It combines  blockchain, AI and advanced machine learning to remove the frustrations, inefficiencies, and unfairness of e-commerce, saving shoppers time and money and giving them complete control of their personal data.",False
3,msg44802997,https://bitcointalk.org/index.php?topic=4811986.0,msg44689105,1666,Announcements (Altcoins),2018-08-28 05:07:17,Zwoop,Copper Member,33,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"   Zwoop has partners, such as Diginex to advise their token sale, which you can find here.  Also, we are attending and speaking at the Blockchain Summit Singapore today - You can see some photos below of Scott Moore, Chief Revenue Officer of Zwoop, presenting at the summit. Lots of people are attending the booth right now - so you if you are in Singapore come and visit the team!",False
4,msg44811207,https://bitcointalk.org/index.php?topic=4811986.0,,1666,Announcements (Altcoins),2018-08-28 08:36:55,Zwoop,Copper Member,33,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"For the convenience of the community, the ANN has been updated to include the team members and the advisers individually, as well as the link to their LinkedIn profiles.    Team  11 123445678901211131415   Alessandro Gadotti Founder and CEO Linkedin 123445678901211131415   Tommaso Natale CTO and Co-Founder Linkedin 123445678901211131415   Scott Moore CRO and Co-Founder Linkedin 123445678901211131415   April Yu CPO and Co-Founder Linkedin 123445678901211131415   Martin Thomas Chief Marketing Officer Linkedin 11 11 123445678901211131415    Robert Campbell Creative Director Linkedin 123445678901211131415    Jeremy Platts Chief Compliance Officer Linkedin 123445678901211131415    Albert Yeung Head of AI Linkedin 123445678901211131415    Henrique Centieiro Blockchain Product Manager Linkedin 123445678901211131415    Kevin Bluer Sr. Blockchain Tech Manager Linkedin 11   Advisors  11 123445678901211131415   Robert Martin Friedman Advisor   123445678901211131415   Miles Pelham Advisor   123445678901211131415   Timothy Lewis Advisor Linkedin 123445678901211131415   Will Adeney Advisor Linkedin 123445678901211131415   Anthony Emtman Advisor Linkedin 11 11 123445678901211131415    Emily Bush Advisor Linkedin 123445678901211131415    Lauren Selig Advisor Linkedin 123445678901211131415    Travis Kling Advisor Linkedin 123445678901211131415    Jose Perez Technical Advisor Linkedin 11",False
5,msg44842909,https://bitcointalk.org/index.php?topic=4811986.0,,1666,Announcements (Altcoins),2018-08-28 19:23:44,SanchoBTC,Full Member,336,100,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],The market is starting to recover and I hope that this will positively affect the development of your project. I am sure that large investors will pay attention to such a strong project as ZWOOP.,False
6,msg44934594,https://bitcointalk.org/index.php?topic=4811986.0,,1666,Announcements (Altcoins),2018-08-30 17:12:22,internetofthings5,Newbie,50,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"I would like to bring great investors to the project through our Spanish speaking community, I have groups with more than 220k members who would love to know about your project, I would like to contact the marketing team of this project",False
7,msg45284562,https://bitcointalk.org/index.php?topic=4811986.0,,1666,Announcements (Altcoins),2018-09-06 13:53:10,blo8i,Hero Member,975,502,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"If the user allows access to his records, he simply allows them to be included in a specific target audience.",False
8,msg45605988,https://bitcointalk.org/index.php?topic=4811986.0,,1666,Announcements (Altcoins),2018-09-13 01:42:20,Zwoop,Copper Member,33,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],,False
9,msg45612348,https://bitcointalk.org/index.php?topic=4811986.0,msg44842909,1666,Announcements (Altcoins),2018-09-13 06:26:03,Tolka4eva,Full Member,462,101,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"  Good projects do not pay much attention to what is the market, bad or good. Such projects are always in demand among investors, I do not have free 15K dollars, so I will wait for the main sale.",False
10,msg44163471,https://bitcointalk.org/index.php?topic=4811986.0,msg44120268,1666,Announcements (Altcoins),2018-08-16 06:38:35,Zwoop,Copper Member,33,0,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"   Zwoop already has a beta app for their product, in fact there has already been a significant effort towards the development of Zwoop. Most of the 50+ employees in the Hong Kong office are developers, working on several pieces of the Zwoop product such as the AI, and payments piece of the platform.",False
11,msg44221672,https://bitcointalk.org/index.php?topic=4811986.0,msg44163471,1666,Announcements (Altcoins),2018-08-17 06:32:34,TCTDev,Sr. Member,560,260,,[ANN][ICO] ZWOOP | Transforming How the World Shops Online [ZWP],"   Is Zwoop mobile app only or it is web version too? I saw on website it was established in 2014, how much money has been invested by founders already in this project?",False
