id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg47384925,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2018-10-29 08:53:32,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,"We are SUPER excited to announce the long awaited listing of @DigiByteCoin $DGB with a FIRST ever DGB/ZAR pair ONLY on #ArtisTurba  Additional pairs include DGB/BTC, DGB/ETH",False
2,msg47858374,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2018-11-13 10:44:56,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,ETH/BTC Market now live at Artis Turba  We are excited to announce that the popular ETH/BTC pair are now live on Artis Turba,False
3,msg48036353,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2018-11-19 07:58:32,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,Artis Turba listed TRX  Our community has voted for TRX as their favourite coin to be listed.  The following pairs are now live at http://artisturba.com  TRX/ZAR  TRX/BTC  TRX/ETH  TRX/XRP,False
4,msg49206129,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-01-13 09:14:47,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,"#Binance, #TRONfoundation and BitTorrent Inc. confirmed, BitTorrent users will soon be able to purchase BitTorrent’s premium products with TRX, BNB & BTC using #CoinPaymentsNET  BitTorrent will have BTT token sale, all TRX hodlers to receive part of BTT tokens in an airdrop.",False
5,msg49244018,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-01-15 13:03:17,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,"Artis Turba will support the #ETH #Constantinople hard fork expected to occur around 8am UTC on 17 January 2019 at block height 7,080,000. For community peace of mind we will pause withdrawals from about 22pm on 16 January and will resume withdrawals ASAP",False
6,msg49274242,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-01-17 06:23:00,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,"ethereum announced that #Constantinople upgrade is temporarily postponed out of caution following a consensus decision by ethereum developers, see details here.  https://blog.ethereum.org/2019/01/15/security-alert-ethereum-constantinople-postponement/",False
7,msg49496676,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-01-30 10:11:40,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,Artis Turba is supporting the BitTorrent Inc. airdrop expected to occur on the 11th of February 2019. All holders of TRX is eligible for the airdrop and its expected that TRX holders will receive about 0.11 BTT for each 1 TRX they are holding. For more information regarding BitTorrent please visit https://bittorrent.com/btt,False
8,msg49702567,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-02-12 08:12:59,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,We are excited to welcome Stellar on Artis Turba with the following pairs going live this Friday the 15th of February at 12:00 UTC  XLM/ZAR XLM/BTC XLM/ETH,False
9,msg49702592,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-02-12 08:14:45,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,Hello to All here on BTCtalk.  I would love to hear some feedback regarding the creation of a new and updated Ann for Artis Turba. Your feedback is highly valued and appreciated!!  Kindly indicate interest by responding with a yay or a nay. Other suitable words will also apply ,False
10,msg50093300,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-03-09 23:03:18,kalaria,Sr. Member,326,250,,Artis Turba - Cryptocurrency Wallet & Trading Platform,"Hello. Yes,we need new ANN thread ",False
11,msg50571531,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-04-12 11:44:39,filsid,Full Member,630,103,,Artis Turba - Cryptocurrency Wallet & Trading Platform,"Artis Turba: A New Way To Learn About & Earn Cryptocurrencies https://sacrypto.co.za/artis-turba-a-new-way-to-learn-about-earn-cryptocurrencies/  Artis Turba, an intuitive cryptocurrency exchange based in South Africa, has launched its own token, called ARTIS, on the Ethereum blockchain. ARTIS, like Bitcoin and Ethereum, can be traded on cryptocurrency exchanges and provides specific utility. This utility is known as the Artis Affiliate Reward Program, or AARP for short, which entitles ARTIS holders to a pro-rata share of 50% of the trading fee revenue generated on Artis Turba. To enable AARP, all you need to do is own and hold ARTIS in your Artis Turba account. The earnings are automatically credited to your account daily based on the last 24-hours’ trading volume.",False
12,msg51664636,https://bitcointalk.org/index.php?topic=2539340.0,msg50093300,20108,Announcements (Altcoins),2019-06-30 22:00:06,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,    Be sure to check out the new ANN,False
13,msg51664793,https://bitcointalk.org/index.php?topic=2539340.0,,20108,Announcements (Altcoins),2019-06-30 22:19:07,Lifestudent38,Jr. Member,108,1,,Artis Turba - Cryptocurrency Wallet & Trading Platform,Am still not displaying photos,False
