id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41117093,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-06-29 00:15:06,YuTü.Co.in,Sr. Member,728,345,,[ANN] [ICO] Xriba,"Why is Xriba mentioned on a video putting an obvious scam site in a good light? Reference, see the end of this post: https://bitcointalk.org/index.php?topic=4455437.msg41096901#msg41096901",False
2,msg41315528,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-07-01 20:17:44,reorpior,Newbie,45,0,,[ANN] [ICO] Xriba,CoinFollow ICO aggregator published Xriba (XRA) project. You can find it here https://coinfollow.io/ico/xriba,False
3,msg41317431,https://bitcointalk.org/index.php?topic=3432618.0,msg41117093,723,Announcements (Altcoins),2018-07-01 20:49:10,YuTü.Co.in,Sr. Member,728,345,,[ANN] [ICO] Xriba,   Still seeking an answer ^^^,False
4,msg42412745,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-07-18 13:04:48,sv.alyona,Member,210,18,,[ANN] [ICO] Xriba,Europe recognizes cryptocurrencies. Xriba will help companies to account for them in the financial statements. https://xriba.com/uncategorized/europe-recognizes-cryptocurrencies-xriba-will-help-companies-to-account-for-them-in-the-financial-statements/,False
5,msg42733242,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-07-23 13:31:57,gailunfei,Newbie,66,0,,[ANN] [ICO] Xriba,"Where can i see the procss, it would be good to see iive stats on investments. That could be good for investors and also the team.Have been waiting for this in a long time. Nobody should miss out on this ICO",False
6,msg44934659,https://bitcointalk.org/index.php?topic=3432618.0,msg42412745,723,Announcements (Altcoins),2018-08-30 17:13:53,wenwen,Sr. Member,728,251,,[ANN] [ICO] Xriba,"Good evening. Xriba does a great job, in the market the financial audit plays a huge role in the life of any person. I wish everyone success.   ",False
7,msg44934932,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-08-30 17:19:34,dudman8,Member,133,10,,[ANN] [ICO] Xriba,"Interesting project, I will follow the progress of your project.",False
8,msg45572663,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-09-12 09:44:03,bellaobella,Jr. Member,140,1,,[ANN] [ICO] Xriba,"This coin has been listed on @CoinMarketDaddy (CMD). For all the trading information, total Supply, current price,  1 hour change, 24 hour change, 7 days change,  historical data , graph, calculator, convertor, reviews, statistics, and comments check out CMD twitter page @CoinMarketDaddy (CMD) and visit   XRA Market & Trading Data  Volume (24h)    $ 443    Total Supply    275,000,000 Price %(1h)    0.61% Price %(24h)    -44.21% Price %(7d)          -40.27%   https://coinmarketdaddy.com/currencies/token/xriba/xra/",False
9,msg45906995,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-09-19 16:03:53,Kriptobt1,Member,266,10,,[ANN] [ICO] Xriba,"Xriba Launches Xriba Pay, the First Business Wallet that Makes Crypto Transactions Easier and Cheaper for SMEs and Start-ups https://xriba.com/xriba-launches-xriba-pay-the-first-business-wallet-that-makes-crypto-transactions-easier-and-cheaper-for-smes-and-start-ups/",False
10,msg45907193,https://bitcointalk.org/index.php?topic=3432618.0,,723,Announcements (Altcoins),2018-09-19 16:13:27,CryptoCot,Jr. Member,224,4,,[ANN] [ICO] Xriba,"I tried to go to the Twitter account of the project, but the link is not available. Does anyone have the same problem? What happened to the project Twitter? Does the project now have another new Twitter account?",False
