id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41911411,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-10 15:17:34,miami.exchange,Copper Member,5,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,Team and Advisors LinkedIn Profile Links:  Team:  Victor Romero (CEO): https://www.linkedin.com/in/victorhugoromeromelendez/  Giordano Lugo (CMO): https://www.linkedin.com/in/giordano-lugo/  Marco Pirrongelli (CTO): https://www.linkedin.com/in/mpirrongelli/  Saša Jokić (Sr Crypto Analyst): https://www.linkedin.com/in/jokicsasa/  Carlos Arias (Legal Assistance): https://www.linkedin.com/in/carlosariasreggeti/  Luis Camacho (Team Leader Dev Ops): https://www.linkedin.com/in/luiscamacho1991/  Libana Abdul (Infrastructure Lead): https://www.linkedin.com/in/libana-sicilia-abdul-lenzo-17131093/  Gabriela Rodriguez (Compliance Specialist): https://www.linkedin.com/in/gabriela-rodriguez-01314874/  Mary Carmen Melendez Canelones (Senior Corporate Accountant): https://www.linkedin.com/in/mary-carmen-melendez-canelones-12680215a/   Advisors:  Max Hooper: https://www.linkedin.com/in/maxwhooper/  David Metcalf: https://www.linkedin.com/in/davidmetcalf1/  Ruben Velez: https://www.linkedin.com/in/ruben-velez-72975a11a/  John Lessel: https://www.linkedin.com/in/john-lessel-b1a2b214/  Patrick Murphy: https://www.linkedin.com/in/blockchainagility/  James Whelan: https://www.linkedin.com/in/jameswhelanmba/  Mark Piccini: https://www.linkedin.com/in/markpiccini/  Rick Tapia: https://www.linkedin.com/in/rick-tapia-08a07077/,False
2,msg41911779,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-10 15:23:42,miami.exchange,Copper Member,5,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,Reserved,False
3,msg41912606,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-10 15:38:14,mpirrongelli,Newbie,4,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,Reserved,False
4,msg41913471,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-10 15:53:15,CryptoCot,Jr. Member,224,4,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,"Hi! You are creating a project of a modern and functional cryptocurrency exchange, but do you have a working website? You have an impressive conmed, but the links are not active on LinkedIn. How can I be sure that you are these people? Your project will be able to compete with the exchange IDAP?",False
5,msg41914198,https://bitcointalk.org/index.php?topic=4637706.0,msg41913471,186,Announcements (Altcoins),2018-07-10 16:05:16,mpirrongelli,Newbie,4,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,"   Hello, Thanks for writing us.  Please feel free to visit https://www.miami.exchange/ you will be able to see all linkedin links  I can also share these here:  https://www.linkedin.com/company/miami-c-exchange/",False
6,msg41914890,https://bitcointalk.org/index.php?topic=4637706.0,msg41913471,186,Announcements (Altcoins),2018-07-10 16:17:15,miami.exchange,Copper Member,5,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,"   Hi there. And yes, we do. The website link is found in the button at the top of the post but here it is for your reference:  https://www.miami.exchange/  Also, here are the LinkedIn links for team members. In addition, they are listed on the website as well:  Team:  Victor Romero (CEO): https://www.linkedin.com/in/victorhugoromeromelendez/  Giordano Lugo (CMO): https://www.linkedin.com/in/giordano-lugo/  Marco Pirrongelli (CTO): https://www.linkedin.com/in/mpirrongelli/  Saša Jokić (Sr Crypto Analyst): https://www.linkedin.com/in/jokicsasa/  Carlos Arias (Legal Assistance): https://www.linkedin.com/in/carlosariasreggeti/  Luis Camacho (Team Leader Dev Ops): https://www.linkedin.com/in/luiscamacho1991/  Libana Abdul (Infrastructure Lead): https://www.linkedin.com/in/libana-sicilia-abdul-lenzo-17131093/  Gabriela Rodriguez (Compliance Specialist): https://www.linkedin.com/in/gabriela-rodriguez-01314874/  Mary Carmen Melendez Canelones (Senior Corporate Accountant): https://www.linkedin.com/in/mary-carmen-melendez-canelones-12680215a/   Advisors:  Max Hooper: https://www.linkedin.com/in/maxwhooper/  David Metcalf: https://www.linkedin.com/in/davidmetcalf1/  Ruben Velez: https://www.linkedin.com/in/ruben-velez-72975a11a/  John Lessel: https://www.linkedin.com/in/john-lessel-b1a2b214/  Patrick Murphy: https://www.linkedin.com/in/blockchainagility/  James Whelan: https://www.linkedin.com/in/jameswhelanmba/  Mark Piccini: https://www.linkedin.com/in/markpiccini/  Rick Tapia: https://www.linkedin.com/in/rick-tapia-08a07077/",False
7,msg41915586,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-10 16:28:44,quynhcoi,Newbie,154,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,Irreprochable idea. Looking forward for more updates and information.You made a good job. Good luck team!,False
8,msg41928404,https://bitcointalk.org/index.php?topic=4637706.0,msg41915586,186,Announcements (Altcoins),2018-07-10 20:43:24,mpirrongelli,Newbie,4,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,"    Thank you!, you can visit our English telegram group at this link https://t.me/miamiexchange to receive all the updates of the project.",False
9,msg42053572,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-12 19:18:49,miami.exchange,Copper Member,5,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,"https://medium.com/miami-crypto-exchange/what-is-a-security-and-why-is-it-important-a6009cd0096f  Hey everyone, check out this new article where we explain what a security is and why it is important.",False
10,msg42129645,https://bitcointalk.org/index.php?topic=4637706.0,,186,Announcements (Altcoins),2018-07-14 01:18:44,miami.exchange,Copper Member,5,0,,[ANN] [STO] Miami Crypto Exchange: Compliant-Focused Security Token Exchange,"Bitcoin added to Mercury Cash, The Hosted Wallet of Miami Crypto Exchange https://medium.com/miami-crypto-exchange/bitcoin-added-to-mercury-cash-the-hosted-wallet-of-miami-crypto-exchange-12997891afc5",False
