id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36801863,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-09 18:24:04,divowok,Copper Member,196,0,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,"20k+ Telegram Channel // 7000+ AI Community   What is AI Gaming?  AI Gaming is a 7000+ community of AI enthusiasts. It’s also a place where businesses can leverage our pool of AI experts to solve their real-world problems. We’re turning our community into the world’s largest resource of AI expertise.     What is our Mission? We’ve already got an active user-base and thriving community. Now we’re marketing and extending our brand, helping more businesses to interact with our 7000 AI developers.     Who is our Team?    Team References:  PAUL MCDONNELL STEPHEN GRAHAM SARAH TAPPING ALINA PETROVA DR. BEDOUR ALSHAIGY OLEG MINENKO AARON BROWN STEPHEN EVERETT CHANDRA PRAKASH TIM BUKHER THOMPSON BUKHER LLP JACOB KOSTECKI     What Do We Do?     Why Artificial Intelligence?  Artificial intelligence (AI) is rapidly emerging as a transformative technology. Recent advances in the availability of computing power and large training data sets have allowed machine learning algorithms to tackle problems of impressive complexity. From mastering the game of “Go” to powering voice-controlled assistants, AI is already making an impact. Yet we only stand at the threshold of a revolution. The global benefits of AI are estimated to exceed $15 trillion by 2030. An AI industry is scaling up to deliver these benefits, with a predicted annual growth rate of 52% over the next eight years. The AI industry alone is expected to generate annual revenue of $58 billion by 2025. However, there are some constraints that are currently holding back the development and wide distribution of the benefits of AI.   Why a Token?  1. AIGC as a Reward Users are paid to earn certificates, increasing incentives to learn, subsequently increasing our pool of AI developers.  2. AIGC as Game Currency Users then use AIGC as their entry fee for games and challenges, and receive their rewards in the token if their bot wins a game or tournament.  3. AIGC for Crowdsourcing Crowdsourcing customers pay micropayments in AIGC to the users  that collectively participate to solve the problem.  4. AIGC for Recruitment Recruiters will pay AIGC to access our recruitment system and proceeds will be shared with users that have opted in to the recruitment platform.  5. AIGC in the Marketplace Micropayments will be made in AIGC to bots in the Bot Service Marketplace,  by users who choose to utilize a bot’s AI services.  6. An Immutable Record The blockchain records users’ course progress, game results and crowdsourcing history, giving a proof of AI development ability to businesses.    Token Economics  50 million Hard Cap (Token Sale) Hard cap for the token sale is 50m (excluding bonuses), to be sold over 3 phases.  25 million Community Reserve Reserved for future incentives to build the community, for example competition prizes, subsidised challenges, marketing etc.  25 million Company Pool (Retained) Retained by us to aid with the sale, e.g. bonuses, token sale costs, bounties, partner compensation, and future fundraising.   Token Sale Phases May 15th – Phase I Public Sale Opens The token sale opens to public sale. 50% bonus – cap 1m tokens  June 2018 – Phase II Public Sale Opens The second stage of the token sale begins. 25% Bonus – cap 3m tokens  July 2018 – Phase III General Public Sale The final sale of remaining tokens (to hard cap). No bonus – up to hard cap of 50m tokens    https://tokensale.aigaming.com",False
2,msg36802171,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-09 18:28:21,Somz1,Full Member,420,102,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,"Explajn briefly, what real world project and this AI driven community solve solve actually. What benefits does this idder to the gaming industry and how do the tokens function towards that objective?",False
3,msg36802899,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-09 18:38:50,Dasengineer,Full Member,434,121,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,"50% bonus seems very high nowadays. Is there any lock-up period for this bonus? Because when you release the coin for trading everyone who got 50% bonus will definitely dump causing a panic sell to the regular folks who bought without bonus. If you don't have lock-up for the early bonus, consider my advice to implement it. It will benefit the whole ICO and what is more important your supporters.",False
4,msg36859840,https://bitcointalk.org/index.php?topic=3686842.0,msg36802171,139,Announcements (Altcoins),2018-05-10 10:36:13,pmdpmd,Newbie,3,0,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,"   Hi, thanks for the question.  AI Gaming is an existing platform to educate, assess and source AI development expertise.  We have 6 major areas of functionality, all driven by the token: Education - We pay developers to take courses and earn certificates in AI development techniques. Competition - We offer various challenges ranging from one-on-one games to multiplayer hackathon tournaments.  AIGC is the stake and the reward for these challenges (but note this is not a gambling site - all games are skill based). Crowdsourcing - We allow customers to offer micropayments of token to have our user and bot network solve their real world problems.  We re working with a large grocery chain and an e-commerce retailer to solve commercial problems, and we are looking at gamifying challenges for a police force, an online ticket seller (identifying touts) and a recruitment agency. Branding - Customers can create custom challenges to encourage our user base to use their systems or get their brand across to this particular demographic (for example we currently have the ""Microsoft Cognitive Challenge"" and a forthcoming event is sponsored by Microsoft) Recruitment - Users can opt in to a recruitment system and earn token by simply being browsed by potential employers or agencies. Bot Service Marketplace - Users can create specialised bots which can be called by other bots (for example those solving a crowdsourcing problem) and earn token by offering services.  Blockchain - we currently use a centralised database to store user's educational, competition, crowdsourcing etc. results, but we will migrate this to a blockchain solution, so that this information is available in an immutable fashion to future crowdsourcing customers, recruiters and bot service customers - like a form of academic transcript, but one which is trustworthy and objective.  We are not specifically targeting the gaming industry, although there will be plenty of problems that they have which could be usefully solved by AI.  The ""gaming"" in our name refers to the fact we offer games on our system to encourage sign ups and make competition fun, then we gamify real world challenges to encourage our users to consider more real world problems using the same platform and interfaces, ultimately being able to offer services that have a real world impact.  Hope that helps, please fire away with any further questions!  Paul (founder)",False
5,msg37343423,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-15 11:43:17,pmdpmd,Newbie,3,0,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,AI Gaming's public token sale has started! Phase I purchasers get a 50% bonus but tokens are limited to 1m in this phase. Click here for more info: https://tokensale.aigaming.com or here to direct purchase: https://buy.aigaming.com,False
6,msg37346617,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-15 12:21:33,dzkrb,Sr. Member,672,250,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,"I ask you to clarify the following expression: ""We are transforming our community into the world's largest resource of AI expertise. ""I do not understand how it is possible to conduct an examination of AI?",False
7,msg37346759,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-15 12:23:21,fleer,Full Member,364,100,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,what percentage of the AI experts are afraid of a Terminator scenario?,False
8,msg37346975,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-15 12:26:00,jeen5,Full Member,171,101,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,nice project. is there a bounty campaign? can you share a link? I'm very interested in games and I like them all games. good luck.,False
9,msg37542517,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-17 07:43:28,hoanghon666,Newbie,98,0,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,"It is a promising project in the future, I am really considering to join and i wish you the best, Good luck to developers !",False
10,msg37545716,https://bitcointalk.org/index.php?topic=3686842.0,,139,Announcements (Altcoins),2018-05-17 08:18:55,Mi chael,Member,266,10,,[ANN][ICO] AI Gaming: Leveraging 7000+ AI Experts to Solve Real World Problems,The project seems to me phenomenal something for which to invest surely egretia,False
