id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg50157536,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2019-03-14 12:08:48,egetrorx,Full Member,658,108,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,"With the launch of L-Pesa, its’ founders thrive to create a platform to meet the needs and demand of loans in the developing nations of the world. https://icoshrimp.com/an-unbiased-review-of-the-history-of-the-revolutionary-micro-lending-institution-l-pesa/",False
2,msg36043194,https://bitcointalk.org/index.php?topic=2885970.0,msg35934688,14797,Announcements (Altcoins),2018-05-01 15:55:10,fajarkus12,Full Member,350,100,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,    Besides that this project enabling people across the internet to grow their businesses and become thriving entrepreneurs because they can get loan from L-Pesa more easily than convention loan. So this project very helpful and i think can be successful in the future,False
3,msg36072860,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2018-05-02 02:11:52,jaksone,Sr. Member,686,250,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,Loan recognition platform in African society using Token to get to know about blockchain technology with smart contract system to make transactions safer at lower cost and transparent..very interesting,False
4,msg36462294,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2018-05-06 09:42:35,ColdZerk,Full Member,364,100,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,"FAKES Detected in Bounty Signature Spreadsheet!  Bounty manager - please pay attention!  I found fakes, please check them and delete their copies from bounty spreadsheet(only first records are legal. All other copies except first ones are illegal !  Aprodite ardydyon ColdZerk despondency Fancyax Jabiii moynul2050 NewBet newdevices RoooooR superscommesebitcoin xiaoyum",False
5,msg36472860,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2018-05-06 11:49:22,rahul10948,Full Member,378,114,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,"Hi......  ""Kripton team is offering 1% of tokens generated tokens which are equal to $1,000,000 through this program.""  20% of that is reserved for Translation bounty which is equal to $200000 and in Kripton token its will be 5000000 token(1 LPK = 0.04 USD)  But as in the spreadhsheet the total allocation is 200000 token....  Why so low Allocation...",False
6,msg36897685,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2018-05-10 17:44:07,0RajA0,Member,308,11,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,hello dear admin is there a problem with the website ? because i am getting an error when i am trying to sign up...And seeing some other errors too...Only i am facing the issue or any other facing the same ?,False
7,msg36898010,https://bitcointalk.org/index.php?topic=2885970.0,msg36472860,14797,Announcements (Altcoins),2018-05-10 17:47:59,0RajA0,Member,308,11,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,    Brother bounty allocation percentage decisions made by their team. We can not do anything. If you feel it is not worth to do the bounty then don't do it. It is simple as that...No hard feelings. Sorry for my Bad english...,False
8,msg37290311,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2018-05-14 21:06:42,STT,Legendary,2212,1146,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,"Your english is fine btw, what dates did the airdrop take place or is it still ongoing and possibly a future event also ?    The social media links dont seem to lead to active accounts apart from the youtube one. Africa is a gigantic continent so its certainly an ambitious project.   I think Canada and most of Europe fit inside the land mass of Africa.  Its possibly a greatly neglected target audience because growth rates in Africa can be larger then anywhere else on earth",False
9,msg37305503,https://bitcointalk.org/index.php?topic=2885970.0,msg37290311,14797,Announcements (Altcoins),2018-05-15 02:19:02,bestpikka,Full Member,574,102,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,"     the target and your goals are very good, with that way I am sure that in the future your target will be achieved with a lot of support for this project.",False
10,msg38363905,https://bitcointalk.org/index.php?topic=2885970.0,,14797,Announcements (Altcoins),2018-05-24 07:05:04,oleg1984a,Sr. Member,630,250,,🔥[ANN][NEW] Kripton - Microloan and Finance Platform🔥,"what is the minimum hard cap the project had, and what will happen if it does not collect that minimum, the funds will be returned to investors?",False
