id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg20917838,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-08-16 08:36:03,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,The promotion of the end of the ICO has already started. 10% bonus for each deposit https://www.knows.online/  https://www.knows.online/public-content/images/knows-demo.jpg,False
2,msg21100692,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-08-22 13:01:17,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,We are sending the tokens and we get in touch with those who did not put their wallet  http://knows.online/,False
3,msg21303863,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-08-29 08:09:34,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,We are finishing the audit and the distribution of Knows. On September 1 Knows will trade in exchange DEX,False
4,msg21378333,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-08-31 12:27:52,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,We have burned unsold tokens. Tomorrow begins to trade in the DEX (Waves Decentralized Exchange) our cryptocurrency  Tokens burned: http://www.wavesgo.com/account.html?3PC1FVFy2GThPikn2vxNbbZrY46LqRPbrDJ,False
5,msg21407927,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-09-01 11:04:30,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,From now you can buy and sell Knows/BTC in DEX (Waves Decentralized Exchange),False
6,msg21409550,https://bitcointalk.org/index.php?topic=2012405.0,msg21378333,4504,Announcements (Altcoins),2017-09-01 12:07:53,nmrcngrb,Full Member,197,100,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,   How successful was the ICO? How many KNOWS are in circulation? Thanks,False
7,msg21501762,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-09-04 13:20:04,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,We are in https://coinranking.com/?search=Knows,False
8,msg21566782,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-09-06 12:05:15,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,We are working to improve our value: https://coinranking.com/c/knows/7d,False
9,msg21567850,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2017-09-06 12:41:22,knows,Newbie,41,0,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,We are working to be on Bittrex. Probably in 2-7 days we will be. Thank you for your trust.,False
10,msg48420785,https://bitcointalk.org/index.php?topic=2012405.0,,4504,Announcements (Altcoins),2018-12-03 14:41:50,bighobbit,Hero Member,980,511,,[ANN][ICO] Knows - Monetize Your Knowledge in 5 Minutes,SCAM?,False
