id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44201080,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-16 19:01:11,canada2016,Newbie,12,0,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,good job,False
2,msg42722335,https://bitcointalk.org/index.php?topic=4479544.0,msg42717992,1368,Announcements (Altcoins),2018-07-23 10:10:36,Holopopstyir,Member,350,11,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,  This will be a good option. I hope the situation in 2017 when all projects grew (even bad) did not happen again.,False
3,msg42816090,https://bitcointalk.org/index.php?topic=4479544.0,msg42716334,1368,Announcements (Altcoins),2018-07-24 22:09:39,datguyian,Sr. Member,756,251,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,   Sure but the developers or teams can also contribute by making as much information available as possible and be as transparent about themselves as possible.,False
4,msg43896464,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-11 17:16:17,HungHipp,Newbie,110,0,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,Very interesting and promising project with excellent ideas. The team works well. Good luck everyone!!!,False
5,msg43953451,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-12 15:06:04,Pali,Member,215,13,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,"🔬 Dear Community, we just launched our Airdrop bot to benefit and grow our amazing community. Simply visit the bot and follow instructions:  ➡️ t.me/InternationalScienceHubBot",False
6,msg43956263,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-12 15:46:59,khanhnv6,Member,362,10,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,"I like the project, plan, route clearly. http://bit.ly/2KO14lQ",False
7,msg43962352,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-12 17:20:26,Mi chael,Member,266,10,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,Good luck with the project and best wishes to the team and the investors.,False
8,msg43966527,https://bitcointalk.org/index.php?topic=4479544.0,msg43962352,1368,Announcements (Altcoins),2018-08-12 18:28:04,Pali,Member,215,13,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,"     Quote from: khanhnv6 on August 12, 2018, 03:46:59 PM I like the project, plan, route clearly. http://bit.ly/2KO14lQ   Thank you!  Here's an update from our CEO:   Quote from: Denis Zyryanov We start the project as a social network for scientists and IT specialists, so that they have a comfortable environment for communication and work, where they can gather in teams, come up with and discuss new ideas, replenish their portfolio and share it with people.  After we gather a large number of users within the platform, we will launch the functionality in the form of tender and crowdfunding systems, as well as provide a knowledge base and a wallet for crypto-transactions . As soon as this issue is closed, we will begin to attract business representatives to use the platform's intellectual resources through the publication of tenders, thus we will begin to attract private investment for the development of new technologies and research.  With the help of crowdfunding system-users will be able to attract funding for the implementation of their ideas from like-minded people or business representatives (who are interested in this technology).  Tender and crowdfunding systems are based on blockchain and use smart contracts, which are backed by our ""Science-Token (ST)"" based on Ethereum.  Each user will have their own crypto-wallet with our token.  In order to publish a tender - business representatives or just customers - it is necessary to purchase our token on the internal exchange from other token holders and reserve it in a smart contract, after which the tender can be published, and our algorithm for selecting personnel of the necessary qualification will gather the necessary performers for the implementation of the project.  All transactions within our platform are made in our token, however, we plan to work in the international arena and plan to create a holding company legal entities in each jurisdiction that would be people from the traditional financial segment was convenient to use the platform as an intermediary, for the purchase of our token from other users (not all countries allow you to buy cryptocurrency directly from your current account on the exchange , in this case, we will be your agent, as a legal entity. We will conclude contracts and receive investments in the current account of our company in the jurisdiction where crypto purchases from the Bank account are allowed. We will buy the necessary amount of tokens from our users and in the future we will give them to the customer for further use within our system.)  We will also guarantee the legality of the platform and users within the platform - we will have a database of each user and personal data. In case of fraud, the platform will provide the user's contact details and provide legal protection to the injured party on its own.  We plan to become a single international center for communication of the entire scientific and IT community, which would significantly accelerate the introduction of new technologies in everyday life.  We do not pursue the interests of any state, but are fully focused on the development of science.  In the future, as soon as the platform is internationally recognized, as soon as we get licenses and a large number of users-we will start implementing a patent system on the blockchain in the jurisdiction of each country, we will defend the interests of scientists by providing them with legal protection of our platform, under the auspices of the "" International Science Hub""  ↗️ ISH Rating: icobench.com/ico/international-science-hub trackico.io/ico/international-science-hub/ icomarks.com/ico/international-science-hub icoholder.com/en/international-science-hub-22242 neironix.io/ru/ico-rating/ish_international_science_hub  🔗 Links: Site: ish.earth WP: ish.earth/wp.pdf Email: ceo@ish.earth Linkedin: linkedin.com/company/ish-earth/ Twitter: twitter.com/ish_earth Telegram ANN: t.me/ish_earth github: github.com/wisdman/science-token reddit: reddit.com/user/ISHearth/",False
9,msg43996363,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-13 08:15:42,tuansyho2,Newbie,182,0,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,"Very interested in joining the campaign, must be monitored the future development of Griny",False
10,msg44010249,https://bitcointalk.org/index.php?topic=4479544.0,,1368,Announcements (Altcoins),2018-08-13 12:46:31,benres,Full Member,476,102,,📌⚡[AIRDROP][ANN][ICO][PRESALE] 🌐🔴 ISH - International science hub 🚀 🔴 🌐,"This is a brilliant and at the right time crypto project, this will be very helpful to the scientific community with the goal of ISH this will be very advantageous to every individual who are scientifically oriented all over the world. More power to the ISH development team and admins looking forward to your achievements in the future.",False
