id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg26208511,https://bitcointalk.org/index.php?topic=2357237.0,msg26189345,2672,Announcements (Altcoins),2017-12-12 15:32:09,Adpump ICO,Member,191,13,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,   Hi! thank you!,False
2,msg26249437,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-13 09:12:12,bobo012,Sr. Member,700,257,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,Wrote a blog post it is here: https://steemit.com/crypto-news/@bobo012/adpump Regards,False
3,msg26272014,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-13 20:48:49,davhek,Full Member,406,100,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,Joining blog campaign: https://steemit.com/crypto-news/@maki/adpump  eth: 0x7C285652d6282d09EEf66c8ACF762991e3f317a8  good luck everyone! ,False
4,msg26550950,https://bitcointalk.org/index.php?topic=2357237.0,msg26542794,2672,Announcements (Altcoins),2017-12-18 15:06:34,Adpump ICO,Member,191,13,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,   Hi! thank you for notification!,False
5,msg26690964,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-20 22:31:59,elissa,Full Member,215,100,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,this is our article about your project http://icoholic.me/adpump-blockchain-affiliate-marketplace/,False
6,msg26691176,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-20 22:38:29,john.eck,Jr. Member,68,1,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,Good luck for your project! We like your ICO and made a post about it on our website. check it here: https://ico2moon.live/adpump-amazon-in-digital-marketing/,False
7,msg26791899,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-22 16:46:15,skillink,Sr. Member,378,250,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"Hi, I am participating in blog campaign, here is my information: article address: http://zimsfree.blogspot.com/2017/12/adpump-amazon-dalam-pemasaran-digital.html ETH: 0x20CbD379B6c5aa9300BF9d1D2759A68926e83Dc0",False
8,msg26792849,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-22 17:07:44,Andrianla,Full Member,330,100,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"Looks like a project that will be successful, I participated in blog bounty, hopefully this project will always run smoothly.  My article: https://andriancrypto.wordpress.com/2017/12/22/adpump-perkenalan/ ETH: 0xb36d896131197347282821D7eDe349b8bf5F4E02",False
9,msg26799448,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-22 19:37:08,Haitham,Member,71,10,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,Translations reserved:  German Swedish Arabic  Please confirm which you need so we start on them.,False
10,msg26813336,https://bitcointalk.org/index.php?topic=2357237.0,msg26791899,2672,Announcements (Altcoins),2017-12-23 03:21:00,skillink,Sr. Member,378,250,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"   Hi Sir, I added a new video and participated in a video campaign, following a video link I created: 1.https://youtu.be/PMkTCZPI1Yc 2.https://youtu.be/qN8d1tWYrzQ",False
11,msg26813381,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-23 03:22:48,andrearz,Sr. Member,672,255,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"Halo, i make 3 videos about this project :  https://youtu.be/QTk5tMKtwD0 https://youtu.be/RdKSVRc68sE https://youtu.be/eMLB0ZCDiEk",False
12,msg26814674,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-23 04:19:19,rizkyrz,Sr. Member,532,250,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"i make 2 articles about this project, this is link to my articles :  1. http://aboutcryptoico.blogspot.co.id/2017/12/adpump-amazon-dalam-pemasaran-digital.html 2. http://aboutcryptoico.blogspot.co.id/2017/12/adpump-manfaat-untuk-pemilik-token.html",False
13,msg26981791,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-12-26 11:52:30,2xbit,Member,121,11,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,When will end this ICO?,False
14,msg27288246,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2018-01-01 09:19:50,Periodik,Sr. Member,756,251,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"Congratulations to the sold out first stage of the Adpump ICO, selling a total of 17,546,000 ADP TOKENS. What would be the next step now that the first stage of the ICO is done?",False
15,msg27864183,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2018-01-10 19:37:47,robjo8,Newbie,4,0,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,1 Article about adpump https://digitalassetuniversity.com/icos/adpump-adp-ico-review/,False
16,msg39440651,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2018-06-05 15:11:13,findico,Newbie,28,0,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"Hi everyone! Just added this incredible ICO to my website   https://findico.io/ico/adpump   Findico.io is a leading cryptocurrency and ICOs portal. Whether you are already involved with ICO or other cryptocurrencies or just want to get into it, Findico.io is a resource to keep updated. ICO rating platform supported by investors and financial experts and users. Findico.io mission is to make it easy for users to find the best ICOs to join. We strive to provide useful and transparent information on ICOs, helping users find projects that have a great potential for success. We also offer a whitelabel platform for ICO projects (Wallet, tokensale system, smart contract, audit and etc) to present themselves to potential users. We have steadily increased the quantity and the quality of information required from ICO projects and we will continue to do so to help this new industry flourish.",False
17,msg25140296,https://bitcointalk.org/index.php?topic=2357237.0,,2672,Announcements (Altcoins),2017-11-24 13:29:56,Nickie001,Jr. Member,76,1,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"Cool idea of the project! But anyway, don't you thing that it's quit small discount for pre-sale participants?",False
18,msg25140977,https://bitcointalk.org/index.php?topic=2357237.0,msg25139786,2672,Announcements (Altcoins),2017-11-24 13:41:42,Adpump ICO,Member,191,13,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,    Sure! Our project is unique in affiliate marketing and there is no one else who propose such Affiliate Marketplace!,False
19,msg25142297,https://bitcointalk.org/index.php?topic=2357237.0,msg25140296,2672,Announcements (Altcoins),2017-11-24 14:06:21,Adpump ICO,Member,191,13,,🚀🔥[ANN][ICO] ADPUMP.io🔥🚀 - ADPUMP BLOCKCHAIN AFFILIATE MARKETPLACE!,"  Thank you very much! We have up to 50% OFF discount! So , everybody who are interested in project may receive this sale!",False
