id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg40007278,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-06-13 07:02:32,hthuyet,Newbie,126,0,,Dizcovery Network Bounty,i not see like button on facebook page. help me.,False
2,msg40305471,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-06-17 14:00:41,Yovcho,Newbie,3,0,,Dizcovery Network Bounty,"Really great project, keep it up !",False
3,msg43284327,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-08-01 15:32:57,SILCAT3,Newbie,28,0,,Dizcovery Network Bounty,Promo video bounty: Link 1: https://www.youtube.com/watch?v=dGUHJhBEur4 Link 2: https://www.youtube.com/watch?v=6muUetINIEM&feature=youtu.be  ICO & BOUNTY channel: https://www.youtube.com/channel/UCl5nnpNvnWeMEq19GU_N9_A   Author SILCAT3 BTT profile:  https://bitcointalk.org/index.php?action=profile;u=2199178 Eth: 0x0AdE86d389339df29416dFc91BCfE54a913c5844,False
4,msg37431750,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-16 07:58:34,timchosen,Newbie,2,0,,Dizcovery Network Bounty,"https://i.imgur.com/HDazBoG.png Updated on 31/07/2018  Dizcovery Network Will be giving out up to 5 Million Tokens in the second phase of the bounty.  Bounty Promo Video Bounty Create a promo video  using the audio (or make your Audio from the Script)  and upload to YouTube/VK and reply to this thread with the link to the post and channel username  Languages Accepted: English, Russian, Chinese, Spanish, French   Rewards: 10,000 DIZ Tokens for  approved video  500 DIZ tokens per 10, 000 subscribers.  Entry closes on Sunday 5th August 2018  Promo Graphics Bounty Get 100 DIZ Tokens when you create a catchy graphics and post on your social media  handles. See Example on this Additional rewards. 500 DIZ tokens per 10,000 followers Languages Accepted: English, Russian, Chinese, Spanish, French  Instruction: You must follow our Social handles Make a graphics post promoting Dizcovery ICO, it must show the  start date: august 8th 2018,  the website - https://dizcovery.network, social handles, Telegram, Twitter, Facebook (@dizcoveryICO). Reply this thread with your social account username, the link to the post and your dizcovery username Twitter must have a minimum of 500 Followes to be eligible, Facebook minimum of 1000 friends  Entry closes on Wednesday  8th August 2018  Articles Bounty We are interested in creation of articles or video blog on the popular media outlet or website. For example, you can write articles about Dizcovery in Forbes, TechcCrunch, Coindesk, Bitcoinist or an other relevant cryptocurrency publications. Depending on the media outlet, each article will be classed as a standard (1000 DIZ), good (5000 DIZ) and great (10000 DIZ). You will get an additional 1000 DIZ for every 10K Views  Instructions: send us an email with the draft to pp@dizcovery.network. If approved? you can then go ahead and publish. Note that for non-English publications, you must translate to English for admin to approve before publishing. The article must contain more than 500 words Blog or article must remain viewable till ICO ends Article must contain link to your bitcointalk profile for verification Has unique content and Explain Dizcovery Network Blogs on free sites like wordpress and blogspot will not be accepted Reply this thread with your social account username, the link to the post and your dizcovery username  GENERAL RULES Please endeavor to fill this bounty Indication of interest form. Bounties Will be distributed after the ICO end date. Ensure you follow our social handles to keep up to date as not every update will be done on this thread Twitter Facebook Medium telegram website     For private placements you can contact us pp@dizcovery.network  For advisory and other general communication please reach us through hello@dizcovery.network",False
5,msg37838046,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-19 20:24:34,johnmichealsmith,Newbie,62,0,,Dizcovery Network Bounty,Joined but verify code comes too late,False
6,msg37844221,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-19 21:33:11,nahid197,Newbie,3,0,,Dizcovery Network Bounty,Nice project.,False
7,msg37846010,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-19 21:54:00,MstRokeya12,Newbie,27,0,,Dizcovery Network Bounty,good project.,False
8,msg37846325,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-19 21:57:55,Nemo1972,Newbie,3,0,,Dizcovery Network Bounty,Great project,False
9,msg38380207,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-24 09:54:19,RKB2017,Newbie,11,0,,Dizcovery Network Bounty,"Good initiative, it's a very good project.",False
10,msg38393593,https://bitcointalk.org/index.php?topic=3859767.0,,417,Marketplace (Altcoins),2018-05-24 12:18:29,akulka68,Newbie,588,0,,Dizcovery Network Bounty,A very breakthrough project that strives for success with tremendous speed !!!,False
