id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30628935,https://bitcointalk.org/index.php?topic=2789463.0,msg29334506,438,Announcements (Altcoins),2018-02-19 17:05:36,Polkovnik78,Newbie,84,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,"  I have a new title where you can take a new signature corresponding to my rank? I would like to see my first calculation in the table, where it can be done?",False
2,msg30770923,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-02-21 15:58:17,Cnote328,Newbie,112,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,Twitter bounty joined,False
3,msg31005804,https://bitcointalk.org/index.php?topic=2789463.0,msg30628935,438,Announcements (Altcoins),2018-02-25 01:44:12,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,"    Hi there, the signature campaign is over for some time now. But thanks for your interest! Cheers, Hyde & Co. team.",False
4,msg28825326,https://bitcointalk.org/index.php?topic=2789463.0,msg28776580,438,Announcements (Altcoins),2018-01-24 13:54:26,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,"   Hello,  A Hedge fund is basically an investment pool where investors put money and let someone manage the pool for them, in exchange, the so called hedge fund manager charges a fee (between 20%-40%) over the profits and a fee to operate the fund (0-3%). Collective here means that everyone can invest in the fund, not only the top 1% or rich institutions, which by the way are the major clients of big hedge funds. Our idea here is to let the average investor have the opportunity to profit with very little, or rather, controlled risk. If you want to know more please do not hesitate in contacting us directly at https://hcoinvestments.com/contact/. Thanks!",False
5,msg28826196,https://bitcointalk.org/index.php?topic=2789463.0,msg28816202,438,Announcements (Altcoins),2018-01-24 14:07:45,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,   Hey! Thanks for the update Cheers.,False
6,msg28911457,https://bitcointalk.org/index.php?topic=2789463.0,msg28825326,438,Announcements (Altcoins),2018-01-25 17:01:20,mannie134,Newbie,2,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,   Thank you. What are the fees your fund charges then?,False
7,msg28916173,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-01-25 18:17:53,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,"There are no upfront fees, you just buy the coin and then have the right to receive part of the profit.",False
8,msg29000847,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-01-26 22:28:23,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,****IMPORTANT UPDATE**** We created a new Crowdsale contracct in order to decrease the minimum investment during the ICO and pre ICO. The new minimum values are 0.1 ETH during pre ICO and 0.01 ETH during ICO. We think by doing that we can allow more people to acquire HYD tokens. Thank you!,False
9,msg29064212,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-01-27 21:59:43,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,Our project has been posted on TrackICO!,False
10,msg29189974,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-01-29 20:00:12,Hyde and Co,Copper Member,42,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,Our website is now translated in Portuguese and  Russian!,False
11,msg29277362,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-01-31 00:23:16,ryjin1007,Sr. Member,476,250,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,Want to participate on facebook and twitter campaign can you provide an spreadsheet for the updates of works,False
12,msg29288383,https://bitcointalk.org/index.php?topic=2789463.0,,438,Announcements (Altcoins),2018-01-31 06:15:45,Polkovnik78,Newbie,84,0,,[ANN][ICO] 🚀🚀 HYDE & CO : Let's beat the market together! 🚀🚀,join the company bounty very interesting interesting project,False
