id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34807285,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-16 04:42:29,Coin_trader,Hero Member,1092,513,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"I could not find (from OP) any business proposals that you are offering, what I saw is the details and schedule of the sales. What would be the function or use or purpose of this project, how this one benefited us and what would be the advantages if we adopt this project and join in your token sale?",False
2,msg34857824,https://bitcointalk.org/index.php?topic=2879883.0,msg30068078,1463,Announcements (Altcoins),2018-04-16 16:55:42,Call_Me_Bambi,Sr. Member,504,259,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"   I would have like to sign up for the bounty but it all looked far too fiddly for me, and I think many others also thought it a bit off putting going by the low uptake on the bounty campagin (46 total I think).",False
3,msg34940950,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-17 17:14:10,ceteh68,Newbie,40,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,Sangat bagus....,False
4,msg35069839,https://bitcointalk.org/index.php?topic=2879883.0,msg34557210,1463,Announcements (Altcoins),2018-04-19 09:10:14,iftikharalisattt,Newbie,16,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,      this is good time for ico investment.,False
5,msg35487222,https://bitcointalk.org/index.php?topic=2879883.0,msg34807285,1463,Announcements (Altcoins),2018-04-24 16:23:14,Shopiblock,Newbie,56,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,  Please have a look at our whitepaper: https://www.shopiblock.io/pdf/Shopiblock_Whitepaper.pdf You can find all information about how the tokens are beeing used in our product and how we generate income there.,False
6,msg35753782,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-27 22:14:42,Shopiblock,Newbie,56,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"We just started our PRE SALE. Minimum investment: $250 in ETH, BTC or LTC Token Price: $0.05 Register at https://ico.shopiblock.io/register to get your tokens.",False
7,msg36324427,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-05-04 18:59:39,Shopiblock,Newbie,56,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"We decided to stop our ICO due to financial, legal and core team related issues. Thank you for your support and trust in our project. You can read the full statement on our website: https://shopiblock.io",False
8,msg37053470,https://bitcointalk.org/index.php?topic=2879883.0,msg34557210,1463,Announcements (Altcoins),2018-05-12 12:32:27,musthafapt,Newbie,2,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹, ,False
9,msg37098456,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-05-13 03:15:11,Anivika,Newbie,154,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"It's a good bounty Campaign. So I joined twitter, telegram, Facebook Campaign. I stay here until end bounty. This project will be success hope it.",False
10,msg37270654,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-05-14 17:01:31,Panrado,Jr. Member,159,1,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,nice project hope there are many supporters of this project. wish success,False
11,msg37384167,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-05-15 19:16:40,hamlong99,Newbie,98,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,Interesting project for me. I'd like to read more about it. Hope it will success,False
12,msg38292682,https://bitcointalk.org/index.php?topic=2879883.0,msg29588400,1463,Announcements (Altcoins),2018-05-23 15:13:14,witch,Sr. Member,616,250,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,  It's a pitty that you canceled/stopped your token sale. The idea behind this project was really good.  Maybe you should try to move the company behind Shopiblock from Germany to another country with less restrictions?,False
13,msg38373095,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-05-24 08:40:59,ashleychristine877,Newbie,47,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,This project will be the best in the year of 2018 in the crypto industry hope you guy get a huge success,False
14,msg39007973,https://bitcointalk.org/index.php?topic=2879883.0,msg38373095,1463,Announcements (Altcoins),2018-05-30 23:22:31,witch,Sr. Member,616,250,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"  Man, this project has been canceled. There is no hope left for being a huge success, because team quit due to regulations.",False
15,msg47154002,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-10-22 12:58:56,rahmani2017,Newbie,8,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,NOAH IS GOOD FOR YOBIT,False
16,msg34076342,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-06 13:19:20,adutlf88xn,Newbie,100,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,I am looking forward to other information.,False
17,msg34090911,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-06 16:22:38,pnnam2003,Newbie,8,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,i like,False
18,msg34091468,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-06 16:29:11,tahmad,Member,252,14,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"Wow, Shopify now take a part in cryptocurrency. I love shopify because it have good service. Allow us to make our own online shop website and also the payment gateway without any knowledge about programming. And it's very cheap. And now will implemented with blockchain, I bet shopify will reach the hardcap easily",False
19,msg34096651,https://bitcointalk.org/index.php?topic=2879883.0,msg34091468,1463,Announcements (Altcoins),2018-04-06 17:40:53,Shopiblock,Newbie,56,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,  Thank you. Let's decentralize the future!,False
20,msg34128758,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-07 06:45:35,rainbow7colours123,Newbie,29,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"so interesting, can I join?",False
21,msg34131894,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-07 07:47:14,OIOIO,Newbie,16,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,GOOOOOOOOOOOD,False
22,msg34152697,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-07 13:51:45,yuvadeep,Member,472,12,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"Economists may argue that even in the worst situation merchants need to make profits; users think it is shocking to them. If merchants cannot get profits from the online business then, waste of investing thousands of dollars on it. Earlier, it is difficult for the users to compare all the reviews and prices through online. Now consumers can easily select whichever they found cheaper or will choose by following highest rating reviews. Thus, now offline stores face the problem as they cannot compete with online. SHOPIBLOCK is the first system which is particularly designed to permit merchants to allow branded cryptocurrency to a group of audiences easily. Thus, they provide many offers, loyalty points, and rewards that create an identifier to prevent illegal access from your Smartphone. SHOPIBLOCK is a branded token that can be easily traded by merchants for SBH (shopiblock), a known cryptocurrency like Bitcoin, Etehreum. SBH (shopiblock) can exchange them for real cash by the customers wherever in the world.",False
23,msg34254178,https://bitcointalk.org/index.php?topic=2879883.0,msg33899581,1463,Announcements (Altcoins),2018-04-08 21:23:52,ninjaskip,Sr. Member,574,250,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,   It does at least not sound like a perfect solution if every merchant has its own volatile currency to be used for sales in their stores.,False
24,msg34254858,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-08 21:38:29,TimeTeller,Hero Member,1092,517,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"There are already many e-commerce platforms but up until now, you can't see another altcoin other than btc or maybe ltc that are means of payment method. This kind of platform is great but the implementation is tough. The consumers are not yet well-versed in using cryptocurrencies for online purchase. So how will you address such situation so maybe you can be successful on this project?",False
25,msg34318819,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-09 18:18:53,fraktall,Newbie,41,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,BitcoinTalk Name: fraktall BitcoinTalk Profile Link: //bitcointalk.org/index.php?action=profile;u=33751 BitcoinTalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=33751 Eth Address: 0xeb27B6C90e308EC1EA5B3FeB44128FB78Af09Dbc twitter link : https://twitter.com/togunsio88  myetherwallet  0xeb27B6C90e308EC1EA5B3FeB44128FB78Af09Dbc,False
26,msg34331733,https://bitcointalk.org/index.php?topic=2879883.0,msg34254858,1463,Announcements (Altcoins),2018-04-09 21:59:31,Shopiblock,Newbie,56,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,   We know the situation of the current market. Some customers are already using cryptocurrencies as a payment option. But most don't. The reason is that cryptocurrencies are still new and not on the mass market. But this is changing with every new blockchain company/project. Some people may have fear about losing their money when using crypto as there is no protection for buyers. With Shopipal this problem can also be solved. Decentralization brings a lot of advantages we will definitly use in the future. Let's start by applying it on e-commerce.,False
27,msg34337088,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-10 01:02:10,cryptorebt,Newbie,78,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"yes you are right, the technology is amazing and the project is amazing. I'm sure your project will be a great success. i like your project.",False
28,msg34338630,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-10 02:04:20,Hang Vivian,Newbie,210,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"I like it, I having some shopify stores online too",False
29,msg34338936,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-10 02:13:47,Ilyli,Newbie,169,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"the project looks interesting! you can not call the idea completely new and not similar to existing projects, but in this area it is more important to implement than uniqueness) I will follow you, good luck guys!)",False
30,msg34404116,https://bitcointalk.org/index.php?topic=2879883.0,msg34338936,1463,Announcements (Altcoins),2018-04-10 19:09:44,Shopiblock,Newbie,56,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,  Thank you. We are doing our best!,False
31,msg34409212,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-10 20:31:51,Aleksandr0525,Newbie,210,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,This project will be the best in the year of 2018 in the crypto industry !!!,False
32,msg34557210,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-12 18:23:24,sergo12346,Newbie,1,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,кpyтoe йcиo,False
33,msg34801465,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-16 01:43:54,newsone71,Newbie,20,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,nice,False
34,msg34803114,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-16 02:41:00,ayisganteng,Newbie,168,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"good project,the project creates a solution to launch a decentralized online store as a service in the criptocurrency marketplace",False
35,msg34807063,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-16 04:36:30,join2,Sr. Member,541,252,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,I think this project is good and interesting I hope your project can achieve your goals and I hope your project a great success.,False
36,msg33639715,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 02:10:32,ioizisupport,Newbie,63,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"Hi, can you create a custom path for the Telegram discussion group? I have trouble opening a group on my computer",False
37,msg33644618,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 04:38:50,usuf786,Newbie,22,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,Nice,False
38,msg33645693,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 05:08:45,toolucky98,Full Member,490,100,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,I will take a look on this project. Are you planning to go to some blockchain conferences to promote your ICO? And where is the location of this project?,False
39,msg33645946,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 05:15:15,Kyera,Newbie,126,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,What Social Media do you plan to use?,False
40,msg33648644,https://bitcointalk.org/index.php?topic=2879883.0,msg29588400,1463,Announcements (Altcoins),2018-04-01 06:18:56,Rusa132,Newbie,30,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,  ,False
41,msg33660459,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 09:32:17,wentzeldk,Newbie,238,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,An amazing opportunity!,False
42,msg33660701,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 09:35:22,wahab2011,Newbie,19,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,BeDt of the best airdroption ever.......................,False
43,msg33673113,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-01 12:28:36,Harsh9164,Newbie,33,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,Good project,False
44,msg33722711,https://bitcointalk.org/index.php?topic=2879883.0,msg33645946,1463,Announcements (Altcoins),2018-04-02 01:35:36,toolucky98,Full Member,490,100,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"  They have telegram, linked in, facebook, twitter, steemit, github, bitcointalk and instagram. You can see it on their site.",False
45,msg33723770,https://bitcointalk.org/index.php?topic=2879883.0,msg29588400,1463,Announcements (Altcoins),2018-04-02 02:17:55,musthafapt,Newbie,2,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,  ,False
46,msg33762043,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-02 13:53:17,Nayeempilpile,Newbie,35,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,I think SHOPI BLOCK is best ?,False
47,msg33766734,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-02 14:52:20,OlKon,Newbie,78,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,Very nice project!,False
48,msg33788862,https://bitcointalk.org/index.php?topic=2879883.0,msg29588400,1463,Announcements (Altcoins),2018-04-02 19:55:54,Joorik141,Newbie,12,0,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,"Hello, I participate in the company bounty. I am interested in this project. I wish him success and prosperity !!!    ",False
49,msg33789045,https://bitcointalk.org/index.php?topic=2879883.0,,1463,Announcements (Altcoins),2018-04-02 19:58:59,ninjaskip,Sr. Member,574,250,,[ANN][SHB] 🔹🔹 Shopiblock 🔹🔹 Shopify on the Blockchain🔹🔹,Isn't the problem if everybody creates their own cryptocurrency for a shop that the currency isn't liquid enough and much too volatile?,False
