id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46742846,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-10-11 02:11:25,CucakRowo,Full Member,490,167,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],"OMG, I missed this project. May i apply for translation? Should i show you my previous proof of work?",False
2,msg46807974,https://bitcointalk.org/index.php?topic=3192012.0,msg46742846,2687,Announcements (Altcoins),2018-10-12 18:54:01,frcat,Full Member,798,101,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],     No need to worry mate. They raised crazy money (100 mln usd) and I think that you will be able to buy tokens on exchanges much cheaper. Look at Gonetwork for example.,False
3,msg47000702,https://bitcointalk.org/index.php?topic=3192012.0,msg46997837,2687,Announcements (Altcoins),2018-10-18 01:48:58,CucakRowo,Full Member,490,167,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],   And he doesn't care with my question. you're so mean to me bro. i'm crying now.,False
4,msg47280382,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-10-26 08:05:41,tusandii,Hero Member,924,506,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],where and when we can buy Saftcoin? I saw someone made a review about this and sadly I miss the opportunity to join the crowdsales,False
5,msg48045948,https://bitcointalk.org/index.php?topic=3192012.0,msg47280382,2687,Announcements (Altcoins),2018-11-19 15:00:36,frcat,Full Member,798,101,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],   As i understand SAFT coin - is their coin (Hedera Hashgraphs coin) ? Seems this still not trading anywhere. May be they afraid that price will down in many times in this bear market and they raised a crazy amount (100 mln usd). Look what happened with GoNetwork (which raised 47 mln) or with PumaPay which raised 117 mln usd.,False
6,msg48083510,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-11-20 20:53:05,Moana,Full Member,298,105,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],"This link on the OP leads to a non exitent page:  https://www.hedera.com/token  Is there any one pager which explains how Hedera Hashgraph works, and how it achieves decentralization, since it looks like a very private enterprise?",False
7,msg48574793,https://bitcointalk.org/index.php?topic=3192012.0,msg48573721,2687,Announcements (Altcoins),2018-12-10 10:54:21,magisterr,Sr. Member,854,259,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],"   I dont understand... for 120 raised mln usd they opened simple online shop with T-shirt? This is their ""product""? They are not going to make own blockchain with some usefull functions?",False
8,msg49503401,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2019-01-30 17:52:11,Corey031,Full Member,652,101,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],Hedera Hashgraph has been listed on wings.ai and is available for forecasting. How much will raise from its token sale? Please show your support for Hedera Hashgraph and submit your forecast! To learn more: bit.ly/2CUkuUi,False
9,msg49810643,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2019-02-18 21:55:59,scambust,Legendary,1512,1007,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],This Hedera is hot right now. So many participating in the community testing program right now for HBAR rewards.  This could be a moon coin by 2020.,False
10,msg40667687,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-06-22 14:28:04,BitcoinArsenal,Hero Member,924,556,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],Is Hedera Hashgraph the project of the hashgraph inventors or is it a project that coopt the hashgraph idea for a own project?  And will there be a bounty campaign?,False
11,msg40668533,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-06-22 14:39:21,cryptocab,Newbie,82,0,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],Any news on the token sale dates? I'm only hearing about pre-sale at the moment...,False
12,msg40838138,https://bitcointalk.org/index.php?topic=3192012.0,msg40668533,2687,Announcements (Altcoins),2018-06-24 21:17:42,dkbit98,Sr. Member,532,358,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],    All information you can find on official Hedera links:  Website https://www.hederahashgraph.com/  Discord: https://discordapp.com/invite/FFb9YFX  Twitter: https://twitter.com/hashgraph  Facebook https://www.facebook.com/hashgraph  Telegram https://t.me/hashgraph,False
13,msg41078151,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-06-28 12:22:01,Alfa Rating,Newbie,52,0,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],"ALFA Rating made listing of Hederahashgraph, check it here: https://alfarating.com/ico/hedera-hashgraph/",False
14,msg41525624,https://bitcointalk.org/index.php?topic=3192012.0,,2687,Announcements (Altcoins),2018-07-04 20:15:53,Ukraine2020,Sr. Member,826,284,,[PRE - ANN] Hedera Hashgraph - [PoS] SAFT coin - Carbon coin [unofficial],Hmmmmm...,False
