id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43764213,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-08-09 11:38:21,liuxiangfei,Newbie,73,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,"I'd love to join the signature bounty of this project.@Team, will you announce the bounty program here? Hoping the bounty campaign will be announced shortly. Can't wait to promote this project!",True
2,msg45416264,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-09-09 06:29:57,Rangnara,Newbie,56,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,"This is interesting project, i am curious please enlighten me,  what specific or site one example of main risks and obtacles that you are offering a solutions which is related toinvestments so that i can visualize it easily or not even me but also some other potential or prospect investors and end users.",True
3,msg48929837,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-12-28 12:55:10,Vorobov Sergey,Newbie,28,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,"Hello admin, We added your project A7 Core to our listing - https://topexperts.io/ico/a7-core",True
4,msg38532728,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-05-25 17:20:40,blockchain.21v,Newbie,12,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,Website looks crazy. I'm hyped!,True
5,msg38534579,https://bitcointalk.org/index.php?topic=3486199.0,msg38532728,493,Announcements (Altcoins),2018-05-25 17:41:22,RomanovAndrey1987,Jr. Member,263,1,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,   thank you!,True
6,msg38620931,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-05-26 13:37:34,vincrypto,Newbie,27,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,"Looks like a very promising project, amazing website. Keep up the good work and all the luck!",True
7,msg38777717,https://bitcointalk.org/index.php?topic=3486199.0,msg38620931,493,Announcements (Altcoins),2018-05-28 11:47:08,RomanovAndrey1987,Jr. Member,263,1,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,   Thank you Sir. Welcome to A7core.,True
8,msg38796874,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-05-28 16:01:44,kable78,Member,322,10,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,This blockchain is trying to provide a more direct link between brands and their customers.,True
9,msg38841104,https://bitcointalk.org/index.php?topic=3486199.0,msg38796874,493,Announcements (Altcoins),2018-05-29 06:21:49,RomanovAndrey1987,Jr. Member,263,1,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,   blockchain is a future,True
10,msg39388080,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-06-04 20:23:01,TSM.Global,Newbie,280,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,This project seems very descriptive and nice.  I appreciate the developers for their good works.  I believe this will be successful and I hope to one among those that get the bounty early.,True
11,msg39505879,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-06-06 13:29:44,atcrypto4,Newbie,56,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,"Something different from the other projects out there, good job with the project. Looking forward to it! ",True
12,msg39514372,https://bitcointalk.org/index.php?topic=3486199.0,,493,Announcements (Altcoins),2018-06-06 15:20:40,atcrypto4,Newbie,56,0,,⭐[Ann][Pre-ICO] A7 Core - TRANSFORMING A $1 TRILLION COUPON MARKET ⭐,A7 Core will definitely transform the market for good. So glad to be a part of this project!,True
