id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44240836,https://bitcointalk.org/index.php?topic=4541814.0,msg44228622,1398,Announcements (Altcoins),2018-08-17 13:31:12,nugrama,Full Member,560,100,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"  with the team spirit in promoting this project can also be an attraction for investors, they are convinced that this project is good and will provide promising results, so expect all teams will always maintain cohesiveness in working for this project. ahead of this project.",False
2,msg44241661,https://bitcointalk.org/index.php?topic=4541814.0,msg44228622,1398,Announcements (Altcoins),2018-08-17 13:47:25,TwinBird23,Newbie,84,0,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"   Yes. the HELIXHILLS concept is very promising, using the Blockchain Infrastructure to automate algorithms to select business partners and complete transactions, record interaction times and charge related parties using appropriate rates, and provide instant loans to reliable users.",False
3,msg44516438,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-08-22 16:18:42,dir2005,Newbie,27,0,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,MVP (Android) Available now. https://www.helixhills.com/images/googleplay.png https://www.helixhills.com/images/mvpscreens/small/17.png https://www.helixhills.com/images/mvpscreens/small/7.png https://www.helixhills.com/images/mvpscreens/small/12.png https://www.helixhills.com/images/mvpscreens/small/20.png https://www.helixhills.com/images/mvpscreens/small/19.png https://www.helixhills.com/images/mvpscreens/small/21.png,False
4,msg44535335,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-08-23 03:27:35,Kriptos,Member,532,10,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"all the teams involved in this project always maintain their performance in the work so that the investors are confident in this project, I myself also see interesting things from this project, hopefully all will always be compact in promoting this project.",False
5,msg44565080,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-08-23 16:07:19,chrysophylax,Legendary,1624,1076,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"Interesting concept ...  How would the services be 'consumed' as they have put it, across a global system where some of the services may be physical?  #crysx",False
6,msg44611151,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-08-24 14:49:18,nhinhannhit,Newbie,54,0,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,so far it has indeed many are giving support to this project and this is a good development for the progress of the projects and hopefully make the passion for the team in promoting the projects so that more investors who join this project.,False
7,msg45176516,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-09-04 10:45:26,sudhakark,Member,238,10,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"Helixhills uses a blockchain framework designed to help consumers, service providers, and professional consultants. Helixhills algorithm was designed in such a way that it helps to select business partners, end up all the deals and gives quick loans to all the eligible users.  The main aim of the Helixhills is to satisfy the needs of the customers and make income for the executor when they need it. On the other hand, platform users become active participants in the blockchain network, which helps to execute works that develop in the real world.  Both the software and hardware tools are created based on the principles and flexibility of different regions and areas of the activity.  With the help of blockchain technology, they are using a unique system that helps in perfect calculations and transactions. Helixhill tokens are used to exchange all the services and help in giving awareness about the huge payments. Therefore, they need not to spend more time in meetings, negotiations, travelling, payments, and estimation of costs etc.",False
8,msg45370353,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-09-08 08:09:00,tugspenyg,Newbie,9,0,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"HELIXHILLS is a network to help process the exchange, market transactions are classified services easier. I believe that this type will develop in the future",False
9,msg45370638,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-09-08 08:17:00,Fam-Eric,Newbie,28,0,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,What kinds of marketing and promotions are you planning to do to attract merchants and customers to your platform and increase adoption? Do you think about this?,False
10,msg45524441,https://bitcointalk.org/index.php?topic=4541814.0,,1398,Announcements (Altcoins),2018-09-11 09:00:57,racinglatin,Newbie,9,0,,[ANN][PreICO][HILL] HELIXHILLS - DECENTRALISED SERVICE MARKET,"I think this is a big project, and quite successfully, an interesting thing I've ever seen. This concept is quite unique and wonderful, a new project and promising. I hope I will soon be seen the success of your excellence.",False
