id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34746390,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-04-15 11:08:24,Adidass,Newbie,45,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,Creating awareness (information distribution) is the best element of successful ICO/Platform,False
2,msg35098643,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-04-19 15:26:06,medd18,Newbie,103,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,this big scame,False
3,msg35162737,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-04-20 11:49:38,nhitran3655,Newbie,19,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,"this project offers someone to earn coins for free and it's very easy just by following a 2-phase airdrop program with a total supply of different coins, which makes me very sure the project is evolving from some of the exchanges that will be inhabited by this coin",False
4,msg39724429,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-06-09 14:13:13,Mynameisange,Full Member,308,100,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,"No more updates from telegram, what might be the problem? Is there a new group being made?",False
5,msg40662973,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-06-22 13:17:29,Mynameisange,Full Member,308,100,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,Is this a dead project? havent seen any development since then. Too bad this is gonna be unknown,False
6,msg42174151,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-07-14 18:12:17,EwaTohmi,Newbie,98,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,"##PROOF OF AUTHENTICATION## Bitcointalk Username: EwaTohmi Telegram Username : @EwaTohmi Campaign : Facebook, Twitter,Telegram.Instagram Spreadsheet # : Ethereum Wallet Address : 0xB09687a9902f3a59E1f1e02B6D6CD9F14bD1B0FF",False
7,msg33528863,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-30 14:33:42,Lynx79,Newbie,406,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,Very nice project. keep the good work going!!! Wish you all the best!!!,False
8,msg33530033,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-30 14:48:23,MDBELALRANA,Newbie,110,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,very Good And Cool Project...Good Luck Admin,False
9,msg33532422,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-30 15:20:00,geprasha123,Newbie,53,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,an awesome and enticing project mew address 0x5fA490f60881d2D0fa9829721F8E91c763C801eD,False
10,msg33546050,https://bitcointalk.org/index.php?topic=3092321.0,msg33108347,4724,Marketplace (Altcoins),2018-03-30 18:34:50,tiCeR,Hero Member,974,500,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,   I know and everyone who ever founded a company should actually know that the amounts asked are often astronomical and way too high. You can do a lot with a million dollars if you use it correctly. 50 million dollars in the bank because of a shiny white paper sounds crazy. Good luck to you guys!,False
11,msg33546722,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-30 18:44:52,emarsya,Newbie,47,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,"Good luck to your project, I hope that the speed and cost of transactions will please the users!",False
12,msg33546895,https://bitcointalk.org/index.php?topic=3092321.0,msg33546050,4724,Marketplace (Altcoins),2018-03-30 18:47:27,DigiDex,Jr. Member,42,1,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,   Thank you very much!,False
13,msg33549386,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-30 19:26:32,Yuraf,Newbie,70,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,I love this project,False
14,msg33554198,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-30 20:47:17,Artyrito,Newbie,41,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,when will the roadmap be updated?,False
15,msg33564434,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-31 01:37:47,imposible01,Newbie,13,0,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution, I think digitex is also promising project keep it up dev,False
16,msg33569769,https://bitcointalk.org/index.php?topic=3092321.0,,4724,Marketplace (Altcoins),2018-03-31 04:40:51,ciot,Member,120,10,,[ANN][PRE-ICO][WEBSITE RELEASE!] DigiDex payment solution,Wow DigiDex ICO is allready over 25% of its  softcap . Over 200 ETH raised in just 2 days!  Fantastic news.,False
