id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg34101314,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-06 18:53:20,BitLoader,Member,168,43,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,"Hello sir, I want to reserve for Indonesian translation if needed. My portfolio: https://drive.google.com/file/d/1gPF6UyIuNZJlEvjHqfNCO3GnshHD228s/view Please to confirm!",False
2,msg34108444,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-06 20:47:45,iBenGunArmor,Full Member,420,115,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,"Hello sir, I want to reserve for Russian translation if needed. My portfolio: https://docs.google.com/spreadsheets/d/1_XDZ5gzbXx9PqRwzmxlFjZt31A86TjYZXw82Mn7bOeA/edit?usp=sharing So do support threads in the process, it is possible to support users in the local Telegrams channel. Please PM to confirm!",False
3,msg34137042,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-07 09:23:09,coinweez,Newbie,151,0,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,"I think this project is very promising , I'm eagerly waiting for its success. Will particpate in the pre ICO next week",False
4,msg34176985,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-07 20:18:46,Flance12,Jr. Member,55,1,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,The issue of the dividend system for the tokens is perfect. This is what investors want,False
5,msg34223918,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-08 14:23:11,dsouzac72,Newbie,69,0,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,»Reserve Hindi Translation Whitepaper+ANN+Website  BitcoinTalk Name: dsouzac72 BitcoinTalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=1238650 Language: Hindi  Portfolio/Experience/previous translations links: Hindi Ann: https://bitcointalk.org/index.php?topic=3261226 https://bitcointalk.org/index.php?topic=3275863 https://bitcointalk.org/index.php?topic=3201314 https://bitcointalk.org/index.php?topic=3257448  Whitepaper: https://drive.google.com/drive/folders/1SQUzU7Hk4eyfqYjAvV1ewb0_OdvFgrrJ  Eth Address: 0x53934d5670E4B7fFf1D0dac0AefE041eb95dDF82  Telegram: @dsouzac  PM me or contact me on telegram if I am accepted. Thank you!,False
6,msg34278626,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-09 08:27:18,killerjoegreece,Legendary,1456,1000,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,I can do Greek. Pm me if you need my services.,False
7,msg34398032,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-10 17:43:12,DivecoLogistics,Copper Member,28,1,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,ICO is Live! Thanks for all support You still can get free tokens in our bounty program. Good luck!,False
8,msg34557629,https://bitcointalk.org/index.php?topic=3229817.0,msg34176985,399,Announcements (Altcoins),2018-04-12 18:29:17,A56-7W,Newbie,55,0,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,   It's great that they plan to pay out dividends. But a 4 year wait just to get the very first dividend kills it for me.,False
9,msg34560567,https://bitcointalk.org/index.php?topic=3229817.0,msg34557629,399,Announcements (Altcoins),2018-04-12 19:10:24,DivecoLogistics,Copper Member,28,1,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,"   Until this time, you will be able to trade our Tokens on exchanges. As our project is not just another ""financial revolution"" thing, it needs time. We believe, that hard work and patience can bear fruit",False
10,msg34680685,https://bitcointalk.org/index.php?topic=3229817.0,,399,Announcements (Altcoins),2018-04-14 12:21:33,tigerruller123,Newbie,43,0,,[ANN][PRE-ICO][BOUNTY] - Diveco Logistics - Decentralized Logistics Platform,"It is a promising project in the future, I am really considering to join or not",False
