id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45880042,https://bitcointalk.org/index.php?topic=4796322.0,msg45520028,9830,Marketplace (Altcoins),2018-09-18 16:48:44,chisolm45,Jr. Member,224,1,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,   Week 7 (12/Sep/2018 - 18/Sep/2018) Retweets: 1 https://twitter.com/CornucopiaICO/status/1039535017498537986 2 https://twitter.com/CornucopiaICO/status/1029391213038723073 Tweets: 1 https://twitter.com/HectorBR90/status/1041265662520307712  Week 7 (12/Sep/2018 - 18/Sep/2018) Like and Share: 1 https://www.facebook.com/tuyettrinh.le.12935/posts/159136295009364 2 https://www.facebook.com/tuyettrinh.le.12935/posts/161228068133520,True
2,msg45881302,https://bitcointalk.org/index.php?topic=4796322.0,msg44468945,9830,Marketplace (Altcoins),2018-09-18 17:23:41,hromos,Member,686,10,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥, ,True
3,msg45890799,https://bitcointalk.org/index.php?topic=4796322.0,,9830,Marketplace (Altcoins),2018-09-18 22:56:54,QuirK,Newbie,420,0,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,Week 7 (12/09/2018 - 18/09/2018)  Bitcointalk Profile Link: https://bitcointalk.org/index.php?action=profile;u=1903638 Campaign: Facebook Campaign Profile Link: https://www.facebook.com/shindykurnia1 Spreadsheet # : 92 Like & Share: 1. https://web.facebook.com/shindykurnia1/posts/345788389296686 2. https://www.facebook.com/shindykurnia1/posts/351416595400532 3. https://www.facebook.com/shindykurnia1/posts/351581645384027  Campaign : Twitter  Campaign Profile Link : https://twitter.com/invisibleoptic9 Spreadsheet # : 102 Retweet: 1. https://twitter.com/CornucopiaICO/status/1029731946060902400 2. https://twitter.com/CornucopiaICO/status/1039535017498537986 3. https://twitter.com/CornucopiaICO/status/1029391213038723073  Original Tweet: 1. https://twitter.com/invisibleoptic9/status/1042028407389741056,True
4,msg45892710,https://bitcointalk.org/index.php?topic=4796322.0,msg45559233,9830,Marketplace (Altcoins),2018-09-19 01:09:06,rafarafa,Newbie,224,0,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,  Week 8 (19/09-25/09) Bitcointalk Username: rafarafa Facebook Campaign Facebook Profil URL: https://www.facebook.com/rafa.aldian.186 Spreadsheet number: 143 Like & Repost: 1. https://www.facebook.com/rafa.aldian.186/posts/469499996869445 2. https://www.facebook.com/rafa.aldian.186/posts/470039126815532  Post: 1. https://www.facebook.com/rafa.aldian.186/posts/469500620202716,True
5,msg45896675,https://bitcointalk.org/index.php?topic=4796322.0,msg45559318,9830,Marketplace (Altcoins),2018-09-19 07:02:21,iqrasalsabila,Full Member,532,102,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,    WEEK 8 ( 19 - 25 Sept )  TWITTER CAMPAIGN Follower: 1712 Like & Retweet 1. https://mobile.twitter.com/AiraLuti/status/1042302944895365121 2. https://mobile.twitter.com/AiraLuti/status/1042604863165685760  Tweet https://mobile.twitter.com/AiraLuti/status/1042335006423564288  ------------------------------------------------------------------------------------------------------------------------------------  FB CAMPAIGN Friends: 4065 Likes & Shares 1. https://m.facebook.com/story.php?story_fbid=2007865585940106&id=100001500523112 2. https://m.facebook.com/story.php?story_fbid=2008772009182797&id=100001500523112,True
6,msg45989425,https://bitcointalk.org/index.php?topic=4796322.0,msg45588929,9830,Marketplace (Altcoins),2018-09-21 14:46:33,Habib99,Newbie,98,0,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥, ,True
7,msg46092831,https://bitcointalk.org/index.php?topic=4796322.0,,9830,Marketplace (Altcoins),2018-09-24 00:11:30,cassavachips,Sr. Member,742,250,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,Week 8 (19/09-25/09)   twiter Campaign twiter URL : https://twitter.com/miftah284 Spreadsheet number : 312  Retweets    1. https://twitter.com/CryptoStreetPod/status/1027962943562899456 2. https://twitter.com/CornucopiaICO/status/1030457419766280193 Tweet 1. https://twitter.com/miftah284/status/1042072016751230977  Facebook Campaign Facebook URL: https://www.facebook.com/profile.php?id=100007846935251 Spreadsheet number: 308  FACEBOOK CAMPAIGN Likes & Share 1. https://www.facebook.com/permalink.php?story_fbid=2161750234096520&id=100007846935251 2. https://www.facebook.com/permalink.php?story_fbid=2162463307358546&id=100007846935251,True
8,msg46154921,https://bitcointalk.org/index.php?topic=4796322.0,msg45854406,9830,Marketplace (Altcoins),2018-09-25 15:05:41,Acutcin9,Newbie,250,0,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,   Week #8 (19/09-25/09) Twitter Campaign Twitter URL: Spreadsheet number: Like & Retweet: 1. https://twitter.com/CornucopiaICO/status/1029061639927037952 2. https://twitter.com/CornucopiaICO/status/1029056511333421063 Tweet: 1. https://twitter.com/acut_la/status/1044603390288773120,True
9,msg46155523,https://bitcointalk.org/index.php?topic=4796322.0,msg44468945,9830,Marketplace (Altcoins),2018-09-25 15:22:21,hromos,Member,686,10,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥, ,True
10,msg46158533,https://bitcointalk.org/index.php?topic=4796322.0,msg45831586,9830,Marketplace (Altcoins),2018-09-25 16:42:45,cantik11,Newbie,238,0,,🔥🔥[ BOUNTY] CORNUCOPIA ICO - HOT BOUNTY UPTO $300K OF REWARDS TO SHARE🔥🔥,         Week #8 (19-09/25-09) Facebook Campaign Facebook URL: https://www.facebook.com/khalidf.fuad.3 Spreadsheet number: 211 Like & Repost: 1. https://m.facebook.com/story.php?story_fbid=1600761650069697&id=100004076330298 2. https://m.facebook.com/story.php?story_fbid=1601503606662168&id=100004076330298 3. https://m.facebook.com/story.php?story_fbid=1603143466498182&id=100004076330298,True
