id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg31988744,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-03-10 13:24:02,wind111,Newbie,33,0,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,I like this product. I will follow your progress and possibly support at the ICO!,False
2,msg32373224,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-03-15 14:02:10,3DBrushes,Sr. Member,490,251,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,"Saw this on the site today which is still showing ""invest in pre-ico"" button at the top. Is the pre ICO over or you plan to extend it further? Today was the last day of pre ICO. If that is a technical glitch then try to solve it ASAP. I saw your smart contract which is showing 1500 ETH received.",False
3,msg33250990,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-03-27 00:10:43,Raskolhnikov1,Member,532,65,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,Is there a bounty here?,False
4,msg33761452,https://bitcointalk.org/index.php?topic=2898154.0,msg33250990,646,Announcements (Altcoins),2018-04-02 13:45:42,pageraji,Full Member,714,100,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,  hai bro..if you cant find above this link just for you https://bitcointalk.org/index.php?topic=2926856. give me some merit,False
5,msg34790531,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-04-15 20:43:32,AnYvia,Newbie,37,0,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,"When are the games going to be live, guys?",False
6,msg36192237,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-05-03 10:40:50,SorusN,Jr. Member,148,1,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,Hi! Any news? When do we go to the exchanges? ,False
7,msg36312384,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-05-04 16:28:07,Calibee,Newbie,134,0,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,"Interesting idea, would like to know more information about this project in the future. Next",False
8,msg36409288,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-05-05 18:56:29,Henry4457,Newbie,98,0,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,"Hope this project success and pay bounty hunter . This team attaches great importance to publicity and marketing. If you look at it this way, friends will talk about it in a few days. ",False
9,msg39344882,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-06-04 09:03:55,mancingers,Newbie,87,0,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,interesting projects and market potential in the gambling industry is very promising. hopefully for ICO smoothly and get a lot of investor support.,False
10,msg39391358,https://bitcointalk.org/index.php?topic=2898154.0,,646,Announcements (Altcoins),2018-06-04 21:32:25,Mr. Grushk@,Jr. Member,266,3,,[ANN][Pre-ICO] ZeroEdge.Bet - A new cryptocurrency for online gambling,"What happens to the project, why is there no activity in the branch of BTT? and will the bounty be continued?",False
