id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41103627,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-28 18:52:49,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"Thank you, dear Baraytonys. We are doing our best for all the people that rely on us and believe in our idea!",False
2,msg41103695,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-28 18:53:38,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,!,False
3,msg41104057,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-28 19:00:37,Baraytonys,Newbie,27,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘, ,False
4,msg41104525,https://bitcointalk.org/index.php?topic=4433740.0,msg41091852,320,Announcements (Altcoins),2018-06-28 19:08:38,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"   Under the Gaus system's concept, the manufacturers provide guarantees for all the vehicles they sell. The clients do not need any guarantees from official dealers, because the manufacturer's guarantee can be used to service vehicles at certified maintenance services and this will cost up to 4 times cheaper. Certified maintenance services providers will willingly cooperate with Gaus, because we will be providing them with a customer base. We are working to be able to provide our services worldwide, but for the first time with bigger possibility it will be available for the European countries and China.",False
5,msg41105128,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-28 19:19:26,Baraytonys,Newbie,27,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,When your bounty starts?,False
6,msg41106422,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-28 19:42:42,Turbo-S,Full Member,364,101,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,It's incredibly cool that GAUS allows customers to purchase new cars directly from manufacturers with a 30% discount!,False
7,msg41503836,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-07-04 14:11:03,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"Dear friends! Our Bounty campaign has been launched🚀 To participate: 1) Join the Bitcointalk thread - https://bitcointalk.org/index.php?topic=4589580 … 2) Read the rules, Sign up at the registration stage Send the results on the Bounty thread 3) Join the bounty chat - http://t.me/gausbounty ",False
8,msg41503920,https://bitcointalk.org/index.php?topic=4433740.0,msg41106422,320,Announcements (Altcoins),2018-07-04 14:12:15,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,   Thank you for your opinion! We are really appreciate all your support! ,False
9,msg42368707,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-07-17 18:36:35,preicoved,Newbie,18,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,Hi team! Nice idea about excluding of intermediaries from the chain. I listed your project to Pre-ICO Only channel on telegram. Hope that will help you,False
10,msg43561060,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-08-06 02:17:59,phamthithutrang,Newbie,266,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"The GAUS token builds the foundation for an infrastructure beneficial for all participants. Blockchain technology reduces transaction costs, while making the platform transparent, open, and safe for all parties.",False
11,msg44599724,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-08-24 10:20:29,nhinhannhit,Newbie,54,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,Useful service plus great team members. Looking forward to hear about your success!!!,False
12,msg40876370,https://bitcointalk.org/index.php?topic=4433740.0,msg40873326,320,Announcements (Altcoins),2018-06-25 12:40:23,secdark,Sr. Member,490,250,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"   Great idea from the team, Gaus trade gives revolution for both car manufacturer and car user enthusiast. Great advantages offers to all manufacturers and end users, will expect to gain a positive response from the market.  I am curious, is all car dealer also your competitor?  If so, do Gaus trade also have a service center or aftersales like what car dealership do have.",False
13,msg40942885,https://bitcointalk.org/index.php?topic=4433740.0,msg40876370,320,Announcements (Altcoins),2018-06-26 12:14:49,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"   Thank you for your interest in the project and for posing a very important question! Under the current market circumstances, dealers generate the bilion's share of their profits on post-sale vehicle maintenance. Under the Gaus system's concept, the manufacturers provide guarantees for all the vehicles they sell. The clients do not need any guarantees from official dealers, because the manufacturer's guarantee can be used to service vehicles at certified maintenance services and this will cost up to 4 times cheaper. Certified maintenance services providers will willingly cooperate with Gaus, because we will be providing them with a customer base.",False
14,msg40954617,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-26 15:14:40,Duangerd,Newbie,61,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"https://i.imgur.com/tj38YOh.jpg   We are back at the office after 6 productive meetings with crypto funds, family capital managers and private investors, Paul Averkiev, CFO, Anna Gaus and Volkswagen Teramont. A private evening event for investors is coming up next.🔥  #GausTrade #Live     https://i.imgur.com/1M1IenU.gif",False
15,msg40954921,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-26 15:19:34,catchandeat,Newbie,98,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,Really I saw a projects looks like your. Of course the competitors bring a progress but what is your advantages over other platforms relied to car industry?,False
16,msg40963230,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-26 17:31:03,thaliaand,Member,532,10,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,"Obviously, this platform will be an intermediary between car manufacturers and end users. Regarding the car manufacturers, this project will certainly deal directly with them, and this could be become partnership. And if it happens, then the partners who will be connected later can be the famous car companies.",False
17,msg40963606,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-26 17:38:02,filip030,Newbie,56,0,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,I think this project is good and innovative and this project has teams that support this project as well as experts in the field.,False
18,msg40963797,https://bitcointalk.org/index.php?topic=4433740.0,,320,Announcements (Altcoins),2018-06-26 17:41:31,tokenwar,Member,308,10,,[ICO]🔥[ANN]💥GT💥 — GAUS TRADE 🚘 CARS DIRECTLY FROM MANUFACTURER 🚘,what cryptocurrencies will be availables in Gaus Trade to get a car?,False
