id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35859927,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-04-29 10:16:01,1KCoin,Copper Member,43,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"Dear 1KCoin Community, ❤️  Telegram application is currently not working, because Telegram has been hit by a major outage, and many users are unable to access the service since around 3am in UK, Europe, Russia and the Middle East. If you have any questions for 1KCoin team, please post them here or by email.",False
2,msg35890498,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-04-29 17:01:13,melinlucky1,Newbie,71,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,I think that really a very big project.I really like and I really want to participate in this project,False
3,msg35891238,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-04-29 17:10:42,Nicolas9,Member,280,11,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,It seems to be very useful when you want to reduce battery drain. I think that it is wonderful. I expect it. merculet,False
4,msg35897280,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-04-29 18:30:16,Ursuka,Member,280,10,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,Very targeted when the project is in the realm of world cinema like hollywood. But the growth of this project depends on how the team works according to plan or not.,False
5,msg35934110,https://bitcointalk.org/index.php?topic=3159987.0,msg35890498,957,Announcements (Altcoins),2018-04-30 07:41:12,1KCoin,Copper Member,43,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"    Thank you for your feedback, and Welcome",False
6,msg36008396,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-05-01 06:55:25,Mike26,Newbie,42,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,After comment on this thread go to another bounty task,False
7,msg36011046,https://bitcointalk.org/index.php?topic=3159987.0,msg35894617,957,Announcements (Altcoins),2018-05-01 07:45:52,1KCoin,Copper Member,43,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"    thank you for your feedback, is appreciated",False
8,msg36012837,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-05-01 08:16:54,cattano,Sr. Member,616,250,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"Project that using waves platform is rare, there are not many project using this platform. But that's good to use this platform, because not much that using the platform than it can be a change to take over the market on this platform.",False
9,msg36095206,https://bitcointalk.org/index.php?topic=3159987.0,msg36012837,957,Announcements (Altcoins),2018-05-02 09:30:03,1KCoin,Copper Member,43,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"   Yes, we chose Waves platform because is a good one, fast, very cheap (with 1 waves coin you pay for 1 000 transactions!) and decentralized.  And fast. And not expensive... ",False
10,msg33269611,https://bitcointalk.org/index.php?topic=3159987.0,msg33268661,957,Announcements (Altcoins),2018-03-27 08:20:38,1KCoin,Copper Member,43,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"   Thank you for your feedback and interest in our project.   You are welcome to join us in our Telegram, if you like, to keep up with the news: https://web.telegram.org/#/im?p=@The1KCoin",False
11,msg33428080,https://bitcointalk.org/index.php?topic=3159987.0,,957,Announcements (Altcoins),2018-03-29 08:39:08,1KCoin,Copper Member,43,0,,❤️[Dividends][Ico]1KCoin--CryptoBenefits in a Private Club of Investors ❤️,"Dear 1KCoin Community ❤️  We are happy to announce that the Whitepapers for Philippines and China crypto-communities are already translated and posted on 1KCoin website.  Whitepapers in English, Spanish, Romanian, Arabic, Chinese, Filipino: https://www.1kcoin.io/whitepaper/  ",False
