id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41084196,https://bitcointalk.org/index.php?topic=2260840.0,msg41072295,29862,Announcements (Altcoins),2018-06-28 13:57:43,Abjcoin Blockchain,Full Member,294,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,   Hello you pay not commission to us. You can trade Abjcoin Commerce in Stocks.exchange and bitebtc.com,True
2,msg41084416,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-28 14:00:51,Abjcoin Blockchain,Full Member,294,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,Second week of $ABJC airdrop and 981 persons has joined airdrop already. Take a deep breath and enjoy 3% Abjcoin Commerce bonus every Monday when you send your coins to @Satowallet. Our community is growing bigger everyday and more exchange coming. #BuyABJC #Airdrop,True
3,msg40243779,https://bitcointalk.org/index.php?topic=2260840.0,msg40175884,29862,Announcements (Altcoins),2018-06-16 15:46:44,Abjcoin Blockchain,Full Member,294,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,    Thank you for your great review. Do participate in our community airdrop to earn 3% ABJC weekly.,True
4,msg40265807,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-16 23:39:53,!vanovi4,Jr. Member,168,1,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,In my opinion this is a very interesting project that can benefit users who have joined it and also it has a good development team and I believe that in the future it will be a success.,True
5,msg40361851,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-18 08:36:05,morantis,Hero Member,868,500,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,Abjcoin Commerce Partners with Satowallet to Provide 5% Weekly Airdrop to the Crypto Community https://www.ccn.com/abjcoin-commerce-partners-with-satowallet-to-provide-5-weekly-airdrop-to-the-crypto-community/,True
6,msg40404892,https://bitcointalk.org/index.php?topic=2260840.0,msg40265807,29862,Announcements (Altcoins),2018-06-18 20:15:21,Abjcoin Blockchain,Full Member,294,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,   Thank you for your great review!,True
7,msg40404947,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-18 20:16:20,Abjcoin Blockchain,Full Member,294,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,AIRDROPS STARTS TODAY! HODL ABJCOINCOMMERCE IN SATOWALLET APP AND EARN 3% WEEKLY AIRDROP.,True
8,msg40447479,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-19 12:49:04,Abjcoin Blockchain,Full Member,294,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,WEBSITE | TWITTER | TELEGRAM | GITHUB |AIRDROP |EXPLORER    DOWNLOAD PARTNER WALLET IOS APP | ANDROID APP   EXCHANGE STOCKS.EXCHANGE   3% WEEKLY AIRDROP EVERY MONDAY JOIN AIRDROP,True
9,msg40486679,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-20 00:27:31,bitfreaky,Newbie,90,0,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,"Dev, any plans in the work for us who coinsmarkets.com ran away with our coins?",True
10,msg40909011,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-25 22:34:37,kalunomics,Full Member,588,103,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,"Wow! That was a massive lifting right there. Doing more than 7,000% in a day and sitting tops in the highest gainers list of coinmarketcap. Is it just the airdrop announcement to ABJC holders that lead to this massive buy in this bear market or there is more to it dev? Thinking if it will be profitable to buy now as the new acquirers of the coin would be holding just to be continuously getting the 5% weekly airdrop as long as the airdrop phase lasts, and also attract more investors. Or is this just some pump and dump group testing their skill with the coin? Maybe I just have to wait it out for some few days more.",True
11,msg40928110,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-26 08:02:55,Gloxinia,Member,155,10,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,Wow this coin is on fire? 5056.83% !!!! What kind of sorcery is this pumping!,True
12,msg40928321,https://bitcointalk.org/index.php?topic=2260840.0,,29862,Announcements (Altcoins),2018-06-26 08:06:01,jukKas,Full Member,364,100,,ABJCOIN COMMERCE | AIRDROPS | DECENTRALIZED FEE-LESS BLOCKCHAIN MARKETPLACE,Interesting project. How do you planning to implement FEE-LESS structure here?,True
