id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43423979,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-03 22:22:29,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,"New theoretical calculations by a team in Canada, the US, UK and Israel have now revealed that a material as simple as a graphene flake with an irregular boundary subjected to an intense external magnetic field can be used to create a quantum hologram that faithfully reproduces some of the signature characteristics of a black hole.  https://physicsworld.com/a/black-hole-hologram-appears-in-a-graphene-flake/",False
2,msg43425346,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-03 23:10:59,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,The story behind graphene and GraphenTech's work with this wonder material.  https://medium.com/@graphentech77g/the-many-forms-of-graphene-974fc0c22c37,False
3,msg43616186,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-06 22:39:23,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,"The graphene revolution is here, and our team at GraphenTech aims to be at the forefront with a new strategy to produce graphene-related products on an economic scale.  https://medium.com/@graphentech77g/taking-graphene-to-market-dd8719e582f7",False
4,msg43616467,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-06 22:49:35,just_strange32,Member,392,10,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,"GraphenTech is a project that provides an innovative solution to a growing market with real world needs. At first, how would graphene be applied to electric vehicles and what would be the next project plan?",False
5,msg43672546,https://bitcointalk.org/index.php?topic=4667284.0,msg43159539,623,Announcements (Altcoins),2018-08-07 20:07:14,teksensei,Full Member,153,100,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,    Can you explain please how did Ernesto become CEO after being co-CEO not a long time ago? And why don't you reply to posts of Arthur_The_Dragon? Can you refute his words or not?,False
6,msg43672701,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-07 20:10:43,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,"GraphenTech will be the first company to manufacture #graphene on an industrial scale at a competitive price, and the GraphenTech 77G token is the first cryptocurrency based on a revolutionary material. Pre-ICO starts August 9.  https://www.graphentech.io/EN/77G-Token.html",False
7,msg43672970,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-07 20:17:41,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,"""GraphenTech aims to provide 20% of the total graphene market by 2030. I am sure this ambitious project will participate in the development of new technologies that will positively impact future generations."" - Cristian Vacacela Gomez, Ph.D., GraphenTech Mentor",False
8,msg43673355,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-07 20:28:42,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,¡El anuncio del lanzamiento Pre-ICO se realizará el 14 de agosto en vivo desde la ciudad de Quito! Únete y se parte de este gran evento haciendo clic en este enlace:  https://goo.gl/forms/yGEFLy5ghlxL6f9r1,False
9,msg43673704,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-07 20:37:36,divowok,Copper Member,196,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,The announcement of the Pre-ICO launching will be held August 14th live from the city of Quito! Come join us and be part of this great event by clicking this link:  https://goo.gl/forms/yGEFLy5ghlxL6f9r1,False
10,msg43707232,https://bitcointalk.org/index.php?topic=4667284.0,,623,Announcements (Altcoins),2018-08-08 12:31:27,Gabriellla,Newbie,218,0,,[ANN] GraphenTech - The First Cryptocurrency Based On A Revolutionary Material,"I really liked the project and I found it very promising, I'll be checking everything up close and keep an eye on everything that's about to come in this excellent future!",False
