id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44854286,https://bitcointalk.org/index.php?topic=4736958.0,msg44805620,1190,Announcements (Altcoins),2018-08-29 02:55:34,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,"    Hello kanagasabai, thank you for your participation!",False
2,msg44857438,https://bitcointalk.org/index.php?topic=4736958.0,msg44820738,1190,Announcements (Altcoins),2018-08-29 05:09:02,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,"     Hello prabhu90, thank you for your complimentary! have you participated in our airdrop yet?",False
3,msg44862428,https://bitcointalk.org/index.php?topic=4736958.0,msg44823212,1190,Announcements (Altcoins),2018-08-29 07:37:10,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,"    Hello logictense, I was replying back to muzkle orginally, but I guess you must be the same person! We did not keep the founding member identities secret! you can easily find out about them in ICO information sites We have done KYC and everything fyi. If that's what you are mentioning. Hope I answered your question if not, let me know please",False
4,msg44862768,https://bitcointalk.org/index.php?topic=4736958.0,msg44824744,1190,Announcements (Altcoins),2018-08-29 07:45:22,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,   Hello Raxer! awesome! thank you for the participation!,False
5,msg44906832,https://bitcointalk.org/index.php?topic=4736958.0,,1190,Announcements (Altcoins),2018-08-30 08:23:18,dimozzzkin,Newbie,100,0,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,Hello Team!  I completed the 5 step for the airdrop   Linker coin.  Good luck,False
6,msg44909307,https://bitcointalk.org/index.php?topic=4736958.0,,1190,Announcements (Altcoins),2018-08-30 09:16:19,Lexandr_13,Newbie,1,0,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,Hello team! Completed all five steps for airdrop. Had some problems with the medium name.,False
7,msg44935270,https://bitcointalk.org/index.php?topic=4736958.0,,1190,Announcements (Altcoins),2018-08-30 17:26:06,monteverde83,Newbie,11,0,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,i completed all 5 tasks,False
8,msg44958136,https://bitcointalk.org/index.php?topic=4736958.0,,1190,Announcements (Altcoins),2018-08-31 06:21:27,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,"<<<<<<<<<<<<<LINKERCOIN Announcement>>>>>>>>>>>>>[/b]  Regarding the LinkerCoin burning schedule, it is changed to that about 40% of the total volume will be burned in the first quarter of next year.  Detailed information on the LinkerCoin burning schedule: ↓↓↓↓↓ https://medium.com/linkercoin/ann-information-on-linkercoin-burning-schedule-voting-result-679924704afd  The first Bounty program is ended and the payment will be made in order by 20th September. Bounty payment schedules will be paid sequentially by September 20.  Thank you for your interests and participation. We are planning to have the 2nd Bounty Promotion at the end of September for Bitnaru renewal. Please look forward to the 2nd Bounty Promotion.",False
9,msg45111104,https://bitcointalk.org/index.php?topic=4736958.0,msg44853770,1190,Announcements (Altcoins),2018-09-03 02:09:13,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,   Hello dervich! checked! thank you for your participation,False
10,msg45111114,https://bitcointalk.org/index.php?topic=4736958.0,msg44906832,1190,Announcements (Altcoins),2018-09-03 02:09:43,linkercoin,Member,238,10,,⚡🚀🔥[ANN][LNC] Sign up for BITNARU and get LNC airdropped! 🔥🚀⚡,   Hello dimozzzkin! thank you for your participation,False
