id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg28781440,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-23 21:42:22,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,In discussion with our key investors we decided to change our pricing for ICO. Check out OUR WHITEPAPER to be updated and stay tuned.  WEBSITE | WHITEPAPER | TELEGRAM,False
2,msg29089626,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-28 10:14:06,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,Hello everybody!  We are really working hard to deliver back-office as soon as possible. We are planing to launch it already this week! Stay tuned and be happy!  WEBSITE | WHITEPAPER | TELEGRAM,False
3,msg29179818,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-29 16:50:05,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"Dear Customers,  We are continue doing our job to deliver the best user experience and we will open our back-office very soon.  Just for now take a look on presentation page of our ICO Platform which will be licensed by our brand and available in our store. Every FutureCoin holder will be able to buy a license for their products to start ICO fast and secure on tested platform.  FutureCoin ICO Platform.  WEBSITE | WHITEPAPER | TELEGRAM",False
4,msg29182831,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-29 18:06:49,lekstr,Newbie,7,0,,[ANN][ICO] FutureCoin Light 🔥,Oтличнo! C нeтepпeниeм ждy зaпycкa. дepжитe в кypce coбытий,False
5,msg29195492,https://bitcointalk.org/index.php?topic=2711691.0,msg29182831,588,Announcements (Altcoins),2018-01-29 21:35:10,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,   Of course we will do that! We will notify all users who subscribed and for those who submitted pre-registration form we will create account in the back-office and notify with activation link.  WEBSITE | WHITEPAPER | TELEGRAM,False
6,msg29634469,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-02-05 08:30:58,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"Dear Customers,  This weekends we had a meeting with our key investors and after a long fight with them we have to take a hard decision - we are moving the date of Initial Coin Offering, because of market instability. Currently we are moving ICO to the 5th of April.  But also we have a few very good news - we will focus more on our own products and on marketing things.  WEBSITE | WHITEPAPER | TELEGRAM",False
7,msg30852897,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-02-22 18:53:56,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"Dear Customers,  We have been updated a Whitepaper with new roadmap including new dates of ICO and products publication. Check out our site to get more information and don't forget to subscribe to our news feed. We will notify you when something amazing will happen.   WEBSITE | WHITEPAPER | TELEGRAM",False
8,msg31325116,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-03-01 10:52:37,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"Hello Dear Customers ,  Currently we are continue working on improvements for back-office and ICO platform. Right now we are finishing tasks relate to profile and transactions security. In nearest time all subscribed users will be updated with access to their profiles for beta-testing.  You are welcome to join beta-testing - only the thing you need to do is to subscribe on the news or submit your details on pre-registration form.     WEBSITE | WHITEPAPER | TELEGRAM",False
9,msg31325526,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-03-01 10:59:59,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"The main tasks for next stage are - transactions security for withdraw requests. This the most vulnerable place for hacker attacks. So, currently we are working on algorithms for user sign for this kind of transactions.  We are really care about your money and we don't want you to lose theme - for that we are working hard 24/7.  Stay tuned and don't forget to subscribe for the news     WEBSITE | WHITEPAPER | TELEGRAM",False
10,msg31391788,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-03-02 08:23:34,Obduvan,Newbie,72,0,,[ANN][ICO] FutureCoin Light 🔥,Do you have business experience / background?,False
11,msg31462012,https://bitcointalk.org/index.php?topic=2711691.0,msg31391788,588,Announcements (Altcoins),2018-03-03 06:50:11,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,   We are a team of developers with a huge experience in IT. The last business experience is a software development web agency - http://globalfuture.solutions/  Why do you asking?  WEBSITE | WHITEPAPER | TELEGRAM,False
12,msg31462189,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-03-03 06:53:56,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"Last night we have been experiencing a hackers attack on our web site  . It wasn't successful, but a hundreds of mails was sent to a fake address . Currently we are closed the breach and continue working in standard mode.    WEBSITE | WHITEPAPER | TELEGRAM",False
13,msg31462646,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-03-03 07:03:53,lutuy,Newbie,128,0,,[ANN][ICO] FutureCoin Light 🔥,Symbol: FTC  Feathercoin (FTC) ,False
14,msg31462985,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-03-03 07:11:20,douinaho,Full Member,389,106,,[ANN][ICO] FutureCoin Light 🔥,"I think your project is good and interesting, the explanation of your project is very clear and your features are very good, I'm sure your project has a bright future",False
15,msg31464226,https://bitcointalk.org/index.php?topic=2711691.0,msg31462646,588,Announcements (Altcoins),2018-03-03 07:37:37,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"   hmmm... this is bad   We will have to figure out something about that... the most probably we will have to change a symbol in this case.  Thank you on your feedback, I will return back to you soon with update.  WEBSITE | WHITEPAPER | TELEGRAM",False
16,msg31464422,https://bitcointalk.org/index.php?topic=2711691.0,msg31462985,588,Announcements (Altcoins),2018-03-03 07:41:39,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"   Thank you on your feedback! I believe so too. BTW, we are going to make a closed pre-sale for key investors. Those who will take a part will have an impact on a future of the project.  We are going to allow our key investors to determine the direction we are moving on.  WEBSITE | WHITEPAPER | TELEGRAM",False
17,msg27780595,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-09 14:58:17,tippytoes,Sr. Member,896,257,,[ANN][ICO] FutureCoin Light 🔥,When will lending platforms in crypto be finished? Promising an amazing opportunity sounds like a scam or crap project for me. Can you give us solid proofs that you are running authentic business here?,False
18,msg27780779,https://bitcointalk.org/index.php?topic=2711691.0,msg27777803,588,Announcements (Altcoins),2018-01-09 15:01:34,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,   Could you please provide more details on your question? Didn't really get it.  We have some programs for our users like Lending Platform and Referral Program. If you could provide more details I'm pretty sure we will find something to get your interest.,False
19,msg27781532,https://bitcointalk.org/index.php?topic=2711691.0,msg27780595,588,Announcements (Altcoins),2018-01-09 15:13:40,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"   Sure we can. Give a bit of time and I will provide you some presentation with information about our projects. Unfortunately I can't give you access to our development repos, but if you will be happy with some screenshots from existing projects we are developing right now, I will be happy to provide you some.  Will you?",False
20,msg27781613,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-09 15:15:03,Bureatonic,Newbie,308,0,,[ANN][ICO] FutureCoin Light 🔥,the project promises great prospects. I would like to buy some tokens,False
21,msg27781988,https://bitcointalk.org/index.php?topic=2711691.0,msg27781613,588,Announcements (Altcoins),2018-01-09 15:21:08,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"   Then, welcome on board! We will open pre-registration tomorrow morning. I will write a post here with a link to pre-registration.",False
22,msg27784077,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-09 15:55:21,dRAIH,Sr. Member,320,250,,[ANN][ICO] FutureCoin Light 🔥,"if you are considering allocating funds for a promotional program for this project, I think by holding some kind of bounty campaign will be very helpful for community development in social media that can help to further introduce this project. and for the thread you created it might be better to apply a social media link about FutureCoin,",False
23,msg27834726,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-10 11:11:34,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"We have been opened pre-registration for ICO!  PRE-REGISTRATION  After you submit a form, you will receive an email notification with your referral link, that you can use it to share with your friends and get referral bonuses after ICO will be launched.  WEBSITE | WHITEPAPER | TELEGRAM",False
24,msg27837924,https://bitcointalk.org/index.php?topic=2711691.0,msg27784077,588,Announcements (Altcoins),2018-01-10 12:07:30,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"     Thanks for the advice, we will consider it.",False
25,msg27842287,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-10 13:20:41,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,For our Russian speaking users we have been listed on Insider.pro.   WEBSITE | WHITEPAPER | TELEGRAM,False
26,msg27852244,https://bitcointalk.org/index.php?topic=2711691.0,msg27780595,588,Announcements (Altcoins),2018-01-10 15:59:24,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"   As promised, I have been worked on preparing a presentation of our products. Just finished first one and it is about our Advertising Platform.  Check out the link below to get more information about it.  FutureCoin Advertising Network    WEBSITE | WHITEPAPER | TELEGRAM",False
27,msg27942601,https://bitcointalk.org/index.php?topic=2711691.0,msg27741319,588,Announcements (Altcoins),2018-01-11 22:54:22,_ATOmix_,Member,106,11,,[ANN][ICO] FutureCoin Light 🔥,"    Hello,  How can it be based on the ETH network and not have fees?",False
28,msg27949078,https://bitcointalk.org/index.php?topic=2711691.0,msg27765653,588,Announcements (Altcoins),2018-01-12 02:11:20,Genovese,Full Member,284,112,,[ANN][ICO] FutureCoin Light 🔥,"   Yes, the name ""Futurecoin"" is a bit deceptive, since it is just another Ethereum token. Also, the properties of this token are not really related with the concept of ""future"". It could have been packaged better.",False
29,msg27949822,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-12 02:33:24,Mr.Gun,Member,294,10,,[ANN][ICO] FutureCoin Light 🔥,"great project, a decentralized independent financial payment platform. I see on your website is very nice and interesting. hopefully, many users will use FutureCoinLight",False
30,msg27950775,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-12 03:01:45,SB@,Newbie,112,0,,[ANN][ICO] FutureCoin Light 🔥,The Russian language of the discussion thread is ready! Join the discussion https://bitcointalk.org/index.php?topic=2730682.new#new,False
31,msg27964809,https://bitcointalk.org/index.php?topic=2711691.0,msg27950775,588,Announcements (Altcoins),2018-01-12 08:52:59,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"   Thank you, friend, for your job! Looks good for me. Please, got to pre-registration page and after submitting the form, post here your login or referral link and we will mark you to be rewarded after ICO.",False
32,msg28268406,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-16 16:48:17,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,We have been created a Support Center to get a fast feedback from users and help them to solve problems. Check out the page and ask your question if you have some.  Support Center   WEBSITE | WHITEPAPER | TELEGRAM,False
33,msg28268831,https://bitcointalk.org/index.php?topic=2711691.0,,588,Announcements (Altcoins),2018-01-16 16:54:51,futurecoin_light,Newbie,33,0,,[ANN][ICO] FutureCoin Light 🔥,"Also for our Russian speaking users we have a good news, there is a video bloggers with us. Checkout the first shot - Future Coin ICO Video.  WEBSITE | WHITEPAPER | TELEGRAM",False
