id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg23243751,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-19 16:23:35,mozillaspez,Full Member,504,102,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,,False
2,msg23243887,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-19 16:26:13,mozillaspez,Full Member,504,102,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,Official Bounty Thread,False
3,msg23278775,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-20 11:09:17,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,"PONSUMER IS A MACHINE. Digitizes consumption & automates purchases  Ponsumer – a technological infrastructure for sellers and buyers, for automation of ordering processes, assembly, delivery of orders, analytics. Ponsumer is powered by Augmented reality, Blockchain, Artificial intelligence and Big Data.",False
4,msg23346866,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-22 05:51:42,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,We are looking for a translator from Russian to English.,False
5,msg23397261,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-23 07:08:35,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,We launched a bounty campaign https://bitcointalk.org/index.php?topic=2306198.new#new,False
6,msg23453931,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-24 10:12:46,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,Subscribe to our telegram channel https://t.me/ponsumer,False
7,msg23505249,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-25 09:32:15,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,Join our bounty!,False
8,msg23559280,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-26 09:23:26,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,Join our group https://www.facebook.com/Ponsumer/,False
9,msg23611951,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-10-27 09:15:09,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,Ang thread ng Vilipino https://bitcointalk.org/index.php?topic=2323266,False
10,msg23902034,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-11-02 01:26:06,trugad,Full Member,364,109,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,When ICO end?,False
11,msg24555524,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-11-14 09:26:48,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏, :)App,False
12,msg24555560,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2017-11-14 09:27:49,AltcoinGunner,Newbie,17,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,what will happen with the tokens that wont be sold?,False
13,msg27521709,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2018-01-05 10:20:52,fragglevit,Member,65,10,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,"    |\___/|    /          \   /_.~  ~,_\  Ponsumer project was listed on FOXICO        \@/    https://foxico.io/project/ponsumer",False
14,msg33186800,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2018-03-26 05:23:11,Ponsumer,Newbie,36,0,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,App,False
15,msg33783905,https://bitcointalk.org/index.php?topic=2290765.0,,645,Announcements (Altcoins),2018-04-02 18:39:44,Edgar9,Member,308,10,,🌍🌏[ANN][Pre-ICO] PONSUMER Digitizes Consumption & Automates Purchases🌍🌏,Good luck to you! Hope you're doing well!,False
