id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg22607568,https://bitcointalk.org/index.php?topic=2201178.0,msg22604448,3758,Announcements (Altcoins),2017-10-05 18:08:05,Pavlenkoall,Newbie,138,0,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,  Good job!,False
2,msg22870384,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-10-11 17:51:52,Pavlenkoall,Newbie,138,0,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,Hello. Team done a new web-site! ico.hipe-me.com  and new video in Chanel : https://www.youtube.com/watch?v=HHi7irDNWFg,False
3,msg22941592,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-10-13 06:08:11,Dmitriy_support,Full Member,336,100,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,"We worked on the HIPE platform for more than two years, and we already have a beta-version of the product. You can test HIPE by downloading on our website https://goo.gl/syxWW4 #hipe #ICO #tokensale",False
4,msg23916791,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-02 09:20:26,Yabuy92,Full Member,396,100,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,I think this concept ecosystem for personal and business interaction good idea success this project!!,False
5,msg23916910,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-02 09:23:11,i-synthestech,Full Member,280,100,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,Rather interesting idea... but do you have a video which demonstrates this project in use?,False
6,msg23952634,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-02 22:58:38,iL_P4driNo,Full Member,153,100,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,Ico starts in 5 days. Why are you so calm guys? Is suggest you to be more active in the forum and in your social media to spread news about you project and attract investors.,False
7,msg24094473,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-05 22:33:12,clusterjoints,Newbie,14,0,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,I think you should add it in the thread more details concerning technology,False
8,msg24215034,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-08 06:24:39,swelteringequipment,Newbie,13,0,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,"The website has great design,",False
9,msg24255614,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-08 21:04:29,iL_P4driNo,Full Member,153,100,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,Is the team active anyone else? cause no news here.,False
10,msg24678061,https://bitcointalk.org/index.php?topic=2201178.0,,3758,Announcements (Altcoins),2017-11-16 12:13:28,ethnod,Newbie,3,0,,[ANN][Pre-ICO] HIPE - INNOVATIVE ECOSYSTEM FOR PERSONAL AND BUSINESS INTERACTION,Hi everybody! We would like to inform you that we have started our ICO!  Also we would like to say that our Platform tomorrow will be on the AppleStore and you be able to use it! We hope that you will use it with great pleasure!,False
