id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg31816912,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-08 00:36:17,thewealthapostle,Copper Member,40,0,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"Nollycoin Hits Major Milestone as 2 Big Cinema Chains Agree To Accept Nollycoins At The Cinemas For Exclusive Movies —  Excitement mounts for Nollytainment Project as Ozone And Genesis Cinema Chains To Accept Nollycoin-Backed Movies At The Theaters From June, 2018 Nollycoin, the official Cryptocurrency of Nollytainment Inc , has made another major breakthrough even before it goes into Crowdsale.  Following meetings and negotiations with the Top executives of Ozone Cinemas and Genesis Cinemas this week, both popular cinema chains have expressed interest in allowing exclusive Nollycoin backed movies in their Cinema Theaters once Nollycoin gets to the crypto exchanges sometime in June.  Both Ozone Cinemas and Genesis Cinemas have over 20 cinema houses between them in Nigeria alone as well as more collaborating theaters in other parts of Africa  This big news was one of the many deals resulting from the current roadshow by the Nollycoin Team led by the Founder/Ceo of Nollytainment, Dr Ope Banwo, who is currently in Africa to gather industry wide support for the new World Of Nolly, A new blockchain enables Movie entertainment Ecosystem powered by Nollycoin.  This new entertaiment system will include NollyTV Platform (Distribution of movies through blockchain smart-contracts); Nolly Cinemas (Cinema screening of movies using cryptocurrency) ; Nolly Mall (a shopping mall for entertainment related items); Nolly Academy (Training Center for Entertainers); Nolly Foundation ( crowdfunding for movie and content producers)  Just a couple of days ago, the Nollycoin team also did a live AMA [Ask-Me-Anything] with over 100 reporters and crypto enthusiasts in Lagos, the very epicenter of African movies and Nollywood. https://medium.com/@nollycoin/nollytainment-ceo-faces-the-paparazzi-in-live-news-a-m-a-bed8c97d0e85",False
2,msg31851981,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-08 13:42:39,realmlm,Newbie,71,0,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"wow great,I am very familiar with Nollywood which is the official term for the Nigerian movie industry. This project looks really really solid. I recognise many of the team members and advisors as most of them are household names in the Nigerian movie industry.  If it's legit information that Emem Isong, Fred Amata and Zeb Ejiro are backing this project then I will DEFINITELY BE A PART OF THIS",False
3,msg31899958,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-09 07:45:41,swiftcoder,Jr. Member,111,2,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],The lack of engineers and team members with blockchain experience makes this look like another money grab,False
4,msg31947853,https://bitcointalk.org/index.php?topic=2995439.0,msg31899958,2483,Announcements (Altcoins),2018-03-09 20:52:38,thewealthapostle,Copper Member,40,0,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"  Well your comment alluding to this as a money grab because you didnt think team members have blockchain experience really showed you don't understand what THIS PROJECT really is. You are thinking of it in terms of a project trying to establish a new crypto protocol when it is an application token built on an open source Ethereum protocol that is well established. Far from being a money grab, this is a project to solve MAJOR problems in movie distribution in developing countries including Copyright registration; global distribution; forex problems and access to capital for major producers.  I am very proud of our technical team and know for a fact that our technical team are as good as any out there with proven products in the marketplace still doing millions of dollars each year to prove that they are highly skilled coders (i.e. MOBIMATIC APP BUILDER; SOCIAL DADDY AND CONVERTPROOF SOFTWARE). However, the fact is that blockchain experience of the technical team is not even the critical component in a project like this. Whatever technical work we need to do to actualize our project can basically be done by people even far less experienced that our team… because they are not coding a new protocol but applying a proven open source protocol to a new business idea. Instead you should be focusing on the management experience and marketing experience of the team (and our team would score higher than any in this field. Guaranteed)  So, with due respect sir, you are focusing on the wrong perspective to this project to create a new ecosystem for distribution of movies in developing contries  In case you are confused, our coin is built on the ETHERIUM BLOCKCHAIN which is an open system being developed DAILY by hundreds of thousands of coders. It is an APPLICATION OF OUR BUSINESS IDEA on a well-established blockchain that is OPEN SOURCE (meaning we really didn’t need the heavy technical stuff to make this work since Ethereum blockchain is well established and being developed daily).  Therefore, in a project like this where a token is built on an established protocol like Ethereum, what matters most is the BUSINESS CONCEPT and the QUALITY, EDUCATION AND EXPERIENCE OF THOSE THAT WOULD EXECUTE THE PROGRAM. On that score I would put our team against any other team in times of depth and quality of experience. Simply click on each of them and compare their resume against any of the top names in the same ERC20 token class.",False
5,msg31948837,https://bitcointalk.org/index.php?topic=2995439.0,msg31851981,2483,Announcements (Altcoins),2018-03-09 21:14:03,thewealthapostle,Copper Member,40,0,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"  It is 100% Legit. Emem Isong, fred Amata, Zeb Ejiro, Daniel Ademinokan, Charles novia and others have publicly endorses this and even done video testionials for this on our youtube channel.  Here is a link to the EMEM ISONG endorsement video: https://youtu.be/B1kSo0AsUYI  Here is the link to the CHARLES NOVIA endorsement video: https://youtu.be/B1kSo0AsUYI",False
6,msg32039517,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-11 07:38:08,Artemsv,Sr. Member,756,269,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"NOLLYCOIN TEAM MEETS WITH LEADERS OF THE BITCLUB CRYPTO COMMUNITY IN LAGOS….. Top Leaders Pledge To Massively Support Nollycoin ICO  The Ceo of Nollytainment Inc, promoters of the Nollycoin Project, Dr Ope Banwo, took the promotion of the Nollycoin ICO project to some of the biggest names in the crypto community in Africa today by meeting 3 of the top leaders and influencers in the crypto community to explain the Nollytainment project and its benefits to the Movie Industry and Business people. He also showed the leaders how they can maximize their ROI for supporting the ongoing Nollycoin ICO currently in its Presale phase (Crowdsale is April 1st to 30th)  Dr Banwo and his team met with these top crypto leaders in Africa today at the prestigious DeVine Hotel in Ikeja including Medayese Felix Jimoh, the Nigerian representative of Bitclub Network; Mr Ayobami, the South West Rep for Bitclub Network and Mr Victor Gonzalez, a Partner in the network  All parties at the meeting explored different ways to engage the crypto community on the Nollycoin ICO as well as other areas of the bitcoin and Cryptocurrency industry including education/training and bitcoin mining.  “I am very excited to meet with the top players in the game in Africa and really gratified that they have fallen in love with our project and the Nollytainment vision. “  At the end of the meeting, the Country Rep for BITCLUB Network, Mr Metarese pledged support for the Nollycoin ICO project and promised to take the project to their inner groups and other groups of VIP crypto investors.  According to Metayese Felix Jimoh, the country Rep for Bitclub Network, “we are also very excited to partner with a very visionary leader in business and glad to be part of the first ICO for movie distribution in the third world countries. It would indeed be an honor for members of our community to be part of this at the ground floor stage and take advantage of the best opportunity to maximize their ROI for supporting this project.”  Dr Ope Banwo also recently held a World Press Conference a few days ago. where explained the Nollytainment Vision to members of the press community, business leaders and the crypto community  The Nollycoin Presale ICO to raise funds for the Nollytainment project is currently ongoing and will go into Crowdsale in April.  The Nollytainment project aims to create a new movie ecosystem that is powered by blockchain technology and has Nollycoin as its official currency. Parts of the Nollytainment ecosystem will include NollyTV (a decentralized smart-contract movie distribution platform); Nolly Cinemas (screening of movies at cinemas using Nollycoin); Nolly Mall (a market place for movie and other entertainment products); Nolly Academy (for Training entertainment practitioners) and Nolly CrowdFund (to assist movie producers raise funds from the crypto community)  https://medium.com/@nollycoin/nollycoin-team-meets-with-leaders-of-the-bitclub-crypto-community-in-lagos-a938ad6b18dc",False
7,msg32070077,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-11 15:07:16,Meepospammer,Member,280,20,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],    Source: http://niyitabiti.net/2018/03/nollycoin-cryptocurrency-will-change-nollywood-forever-ope-banwo/,False
8,msg32191307,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-13 06:18:31,Meepospammer,Member,280,20,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],  more on: http://punchng.com/ope-banwo-unveils-nollycoin-for-prosperous-nollywood/,False
9,msg32192855,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-13 06:50:33,Jekwizor,Sr. Member,630,250,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"Nollycoin -Veteran Movie Director and Superstar Actor, ZACK ORJI, endorses Nollycoin ICO  Nollycoin.com. Veteran Movie Director and Multiple Award Winning movie producer, ZACK ORJI, endorses Nollytainment and drums support for the Nollycoin ICO ! - Sunday March 11th, 2017  Nollytainment Inc, promoters of the Nollycoin ICO again recorded any major celebrity endorsement as another Nollywood Movie Super Star embraces the Nollytainment project and pledges to support the Nollycoin ICO currently in Presale at ICO.nollycoin.com  After reviewing the Nollycoin project and it’s positive implications for the entertainment industry in developing countries, Zack Orji gave his full support to ensure its success at a meeting held with the Founder/Ceo of Nollytainment Inc, Dr Ope Banwo at the Eko Hotels today.  Apart from agreeing to serve on the Movie Producers Advisory Board, Veteran Zack Orji is also working on introducing the Nollytainment project to countries where he has massive fan following and connections to help Nollytainment and Nollycoin penetrate the entire movie industry in Africa.  Some of the countries Zack Orji and his team of movie collaborators will be connecting Nollytainment company and the Nollycoin ICO to include Ghana, Congo, South Africa and Rwanda  According to Dr Ope Banwo, the Visioner behind the Nollytainment concept, “This is indeed a great day for our project. It’s not everyday that you can get a Producer or Superstar Actor Of the level of Zack Orji to support your vision. Obviously with Zack Orji being part of our Team of Advisors, the sky is our limit in bringing tremendous value to our supporters and those who buy our Nollycoin tokens”.  https://www.youtube.com/watch?v=oY1maKBIa8M",False
10,msg32380242,https://bitcointalk.org/index.php?topic=2995439.0,,2483,Announcements (Altcoins),2018-03-15 15:35:34,temmuz,Sr. Member,784,425,,[ANN][ICO CROWDSALE]NOLLYCOIN -1st Blockchain Platform For Movies [25% Bonus],"a project that is likely to be successful, but not enough interest in the forum.",False
