id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg20315630,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-23 03:10:20,Jailbreak,Newbie,28,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","""Stage 3:  Reform judicial system to include community consensus""   ",False
2,msg20328630,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-23 16:26:28,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System",Bounty is live! https://bitcointalk.org/index.php?topic=2041517.0,False
3,msg20329552,https://bitcointalk.org/index.php?topic=2030042.0,msg20312065,3209,Announcements (Altcoins),2017-07-23 17:12:05,TimeTeller,Hero Member,1092,517,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","   Okay then, good luck to your endeavor! Maybe this project will be your one of the biggest contributions to the humanity. And don't forget to allot time for soul-searching, else, you might get crazy of what you are getting into. ",False
4,msg20330336,https://bitcointalk.org/index.php?topic=2030042.0,msg20329552,3209,Announcements (Altcoins),2017-07-23 17:50:01,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","  We appreciate your support and thank you for your feedback. If you any other concerns, feel free to ask!",False
5,msg20334343,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-23 21:26:52,Easy2Mine,Hero Member,854,500,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","decentralized Crypto patent in the market, how can it be ?",False
6,msg20334997,https://bitcointalk.org/index.php?topic=2030042.0,msg20334343,3209,Announcements (Altcoins),2017-07-23 22:14:21,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System",  Hello Easy2Mine! Could you rephrase your question? We would love to alleviate any concerns you may have.,False
7,msg20338437,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-24 03:09:33,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","Hello everyone!  We have received many questions about the feasibility of the Acumen Network. We understand that this is a monumental task, but we want to assure you this is a serious project. While it may seem that we use the usual buzz words, we mean what we say and truly believe we can help correct the ills of the modern patent system. This post on our blog should answer many of your questions. If you have any other questions, do not hesitate to as ask. We thank you for your support.  https://medium.com/acumen-network/it-always-seems-impossible-until-it-is-done-f6fb805b44b2",False
8,msg20338522,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-24 03:18:14,a859898,Newbie,31,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","the idea is good, will pay attention to your post and further information. i think this topic is simple ,you should edit it again",False
9,msg20338702,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-24 03:33:30,dfox101,Hero Member,543,500,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","Another newbie ICO, give me a break. What is your credibility and experiences?? Newbie, come on....",False
10,msg20338889,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-24 03:49:50,xyj790204,Full Member,344,100,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System",Please keep me a place. Looks nice and very interesting project. I'm waiting for more info about ICO and the bounties.,False
11,msg20339604,https://bitcointalk.org/index.php?topic=2030042.0,msg20338522,3209,Announcements (Altcoins),2017-07-24 04:51:50,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","   Quote from: xyj790204 on July 24, 2017, 03:49:50 AM  Please keep me a place. Looks nice and very interesting project. I'm waiting for more info about ICO and the bounties.   Thank you both for your support. We have lots of information on our website at https://acumen.network where we also have our whitepaper. Our bounty is located at https://bitcointalk.org/index.php?topic=2041517.0.  If you have any more questions feel free to contact us!",False
12,msg20339722,https://bitcointalk.org/index.php?topic=2030042.0,msg20338702,3209,Announcements (Altcoins),2017-07-24 05:01:37,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System","   Hello dfox101! We hear your concerns loud and clear and hope we address them.We have been lurking on this website since around September 2016 and did not make an account as we were here to learn from others with more experience than us. We understand that we are quite young however both of us have been coding for six to seven years. Our last project involved creating an app to help out students in our school with scheduling as well as providing school administrators with data and was lauded by our principal. The website for this is located at flexer.uducational.com. This app was created using ReactJS and was built on a MongoDB database. Therefore we have extensive experience with full stack Javascript development and have been studying dApps heavily. While we understand your concerns that we are young, we hope that our age is not the reason you decide not to support the project. We hope that you will look past that and read our website, whitepaper, and blog to fully understand our business plan. We have thought this through and hope to count on your support! If you have any other concerns with our plan feel free to ask.",False
13,msg20453889,https://bitcointalk.org/index.php?topic=2030042.0,,3209,Announcements (Altcoins),2017-07-28 19:42:28,acumennetwork,Newbie,26,0,,"[ANN][Presale]Acumen Network - World's First Decentralized, Global Patent System",Presale and ICO have been postponed in light of the SEC announcements. We will wait for their guidance before continuing.,False
