id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg52388636,https://bitcointalk.org/index.php?topic=4515876.0,,447,Announcements (Altcoins),2019-09-07 17:10:36,Departure,Sr. Member,980,281,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"I think that it is the new alcoins that will take their place with the new wave of market growth.  And this token is one of them, I see that the project is developing well. I am waiting for the right moment to replenish my participation.",False
2,msg52392516,https://bitcointalk.org/index.php?topic=4515876.0,,447,Announcements (Altcoins),2019-09-08 05:19:48,rz20,Legendary,1148,1000,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,Being a huge football fan I can't believe you guys partnered up with PSG and Juve. May I know what will be the nature between your partnership?,False
3,msg52392742,https://bitcointalk.org/index.php?topic=4515876.0,,447,Announcements (Altcoins),2019-09-08 06:12:27,Peterdav,Full Member,756,100,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"This is great project and I miss this one, all funds raised VIA Private Placement its amazing. And the coin already listed on Binance is good achievement.",False
4,msg52411859,https://bitcointalk.org/index.php?topic=4515876.0,,447,Announcements (Altcoins),2019-09-10 06:30:11,cosmofly,Full Member,224,100,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"Have your businesses cooperated with PSG and Juventus? Is this true? If it is a long-term cooperation, what are the benefits of the business? From my personal point of view, football viewers seem to be paying close attention to the match and not really paying attention to the ads. And this collaboration really doesn't mean much?",False
5,msg52412281,https://bitcointalk.org/index.php?topic=4515876.0,msg52411580,447,Announcements (Altcoins),2019-09-10 07:33:55,btcmegastar,Member,686,12,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"   Which means it is already one of the established project, which they collected the funds through private sales. Now they have sufficient fund to develop the project and that's why the team behind the project managed to convince the Binance team for listing the coin in the Binance exchange.",False
6,msg52431199,https://bitcointalk.org/index.php?topic=4515876.0,msg52411859,447,Announcements (Altcoins),2019-09-12 07:01:53,rz20,Legendary,1148,1000,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,   I am not 100% sure but I think those teams will create fan tokens on chiliz's platform and later we will be able to exchange those tokens for the official merchandise of the respective teams?,False
7,msg52435730,https://bitcointalk.org/index.php?topic=4515876.0,msg52431199,447,Announcements (Altcoins),2019-09-12 15:46:42,Finansist07,Copper Member,9,0,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"   As I understood from the official website, they plan to sell FanTokens for Chiliz coins. FanTokens will give something like a voting rights that can be used to vote for club decisions (minor or major I don't know.",False
8,msg52440370,https://bitcointalk.org/index.php?topic=4515876.0,msg52435730,447,Announcements (Altcoins),2019-09-13 05:14:59,rz20,Legendary,1148,1000,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"    Hey, can you please guide me to the article where you read that holding some fan tokens will give us certain voting rights for the club decisions?",False
9,msg40658679,https://bitcointalk.org/index.php?topic=4515876.0,,447,Announcements (Altcoins),2018-06-22 12:10:41,ChiliZ,Copper Member,19,0,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"| | | | |    We are not here to advertise our ICO. Our ICO ended, all funds were raised VIA Private Placement. We raised a total of $66MN USD. We are here to advertise our currency ($CHZ) which will fuel blockchain platforms, the Malta Blockchain Campus & the Socios platform which will launch in Q1/Q2 of 2019.    What is chiliZ?  chiliZ is a currency which fuels blockchain projects & platforms geared towards mainstream consumers beginning with Socios, a fan empowerment platform where fans can acquire voting rights with their favourite teams. Socios has already partnered with Juventus and Paris Saint Germain. The Socios platform will be powered by the CHZ token, and fan tokens will be offered through 'Fan Token Offerings' when the platform goes live. chiliZ recieved investment from some of the biggest names in the crypto world, for example, Binance, FBG Capital, OK Blockchain Capital & more.  Why use blockchain technology?  We use blockchain technology and smart contracts to give the world’s 380 million-strong gamer community decision-making influence over their favorite sports / esports teams, events, leagues & game titles. Transparency and access to a token economy is crucial to ensure digital scarcity of fan tokens, and other tokens we may produce on our platforms.  What is Socios?  Socios is a blockchain based platform that enables sports and esports fans to acquire voting rights for their favorite teams VIA a 'Fan Token Offering'. Fan Token Offerings are operated by clubs that the platform partners with, starting with PSG & Juventus. Socios aims to empower fans & bridge the gap between the club and the fans.   Team Alexandre Dreyfus - Chief Executive Officer Thibaut Pelletier - Chief Technology Officer Max Rabinovitch - Chief Strategy Officer Emma Diskin - Director of PR & Communications Fiobian Manicolo - Chief Financial Officer Jade Cruickshank - Chief People Officer View full team: https://www.chiliz.com/en/home  Large press covereage: PSG Announcement Coveragebook Juventus Announcement Coveragebook  News and Announcements: Juventus to launch fan token on Socios platform Paris Saint Germain launches blockchain partnerships with Socios platform chiliZ Announces Socios chiliZ reached $65 million goal through private placement Binance & chiliZ join forces to tokenize sports industries chiliZ to invest $10 into Battle Royale esports organisations $27 million raised through private placement for Malta-based chiliZ   Legitimacy The chiliZ team is based in Malta, an EU member nation with a pro-blockchain exploration/adoption government that is actively building regulatory and tech infrastructure to support these initiatives.  chiliZ & its parent company Mediarex Enterprises Ltd are working through the European Banking system & under full regulatory oversight. All Mediarex company accounts are audited and publicly available. chiliZ is also a member of the Enterprise Ethereum Alliance (EEA)    Introductory Videos:  Using the chiliZ Platform: https://www.youtube.com/watch?v=CirxoFsdl30  Meet the chiliZ’ Malta Office: https://www.youtube.com/watch?v=HWMY7q3h7Bc",False
10,msg40661222,https://bitcointalk.org/index.php?topic=4515876.0,msg40659307,447,Announcements (Altcoins),2018-06-22 12:51:23,ChiliZ,Copper Member,19,0,,[ANN] chiliZ (CHZ) - ERC-20 Token that fuels blockchain platforms like Socios,"    We're waiting for the BTC payment for membership to be able to post images OR we could post 30 times, but that would just be spammy in my opinion.",False
