id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg33144447,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-25 15:30:16,tamango,Full Member,602,100,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week 21.3 - 27.3 bitcointalk username   tamango bitcointalk profile link   https://bitcointalk.org/index.php?action=profile;u=1159276 twitter username: CesareCorso    twitter profile link: https://twitter.com/CesareCorso    twitteraudit:https://www.twitteraudit.com/CesareCorso    Tweets/Retweets: 1 21.3 https://twitter.com/CesareCorso/status/976432596560371714 2 22.3 https://twitter.com/CesareCorso/status/976808901999022080 3 23.3 https://twitter.com/CesareCorso/status/977154493509963777 4 24.3 https://twitter.com/CesareCorso/status/977528666438725632 5 25.3 https://twitter.com/CesareCorso/status/977930490819891201,False
2,msg33293231,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-27 14:26:08,prizrak9484,Member,406,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,week #9 (21.03 - 27.03)  Twitter campaing Twitter Profile Link:  https://twitter.com/mad_prizrak9484 Followerd: 9200 Retweets & Likes: 1. https://twitter.com/mad_prizrak9484/status/976449246030426112 2. https://twitter.com/mad_prizrak9484/status/976810666135904256 3. https://twitter.com/mad_prizrak9484/status/977140525836001280 4. https://twitter.com/mad_prizrak9484/status/977482842715361281 5. https://twitter.com/mad_prizrak9484/status/977884217769189376  Facebook campaing Facebook url: https://www.facebook.com/irinafox95 Friends: 5000+ Repost & like: 1. https://www.facebook.com/irinafox95/posts/2119094448310740 2. https://www.facebook.com/irinafox95/posts/2120166111536907 3. https://www.facebook.com/irinafox95/posts/2121374591416059,False
3,msg33334001,https://bitcointalk.org/index.php?topic=2816000.0,msg32264663,3168,Marketplace (Altcoins),2018-03-28 04:11:34,Neil81,Member,392,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,   28.03 Twitter url: https://twitter.com/neil81_neil Friends 1760 Twitt https://twitter.com/neil81_neil/status/976731489407832064?s=19 https://twitter.com/neil81_neil/status/977921466669944832?s=19  Retwitt  Facebook link: http://www.facebook.com/nail.fatkhulin Friends 5200 Post https://m.facebook.com/story.php?story_fbid=1967848736619541&id=100001833015598 https://m.facebook.com/story.php?story_fbid=1972695956134819&id=100001833015598  Repost,False
4,msg33389556,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-28 18:04:38,Rakhimovich,Newbie,476,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week: #9 (22.03.2018-28.03.2018) Twitter account: https://twitter.com/Bitcoinclubuz Number of folllowers:5325+  Retweets+likes: 22.03.2018   https://twitter.com/Bitcoinclubuz/status/976805179097051136 24.03.2018   https://twitter.com/Bitcoinclubuz/status/977611193761312768 25.03.2018   https://twitter.com/Bitcoinclubuz/status/977831073248940032 26.03.2018   https://twitter.com/Bitcoinclubuz/status/978319760621481984 27.03.2018   https://twitter.com/Bitcoinclubuz/status/978697550264971264 28.03.2018   https://twitter.com/Bitcoinclubuz/status/979056340789288961    Tweets+likes: 22.03.2018   https://twitter.com/P2PAY_Official/status/976598826147606529 25.03.2018   https://twitter.com/P2PAY_Official/status/958049877023436801,False
5,msg33494101,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-30 05:07:21,SAYDAKHMETOV,Newbie,266,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week (21.03 - 28.03) bitcointalk username: SAYDAKHMETOV bitcointalk profile link: https://bitcointalk.org/index.php?action=profile;u=1645096 twitter username: @SSaydakhmetov  twitter profile link: https://twitter.com/SSaydakhmetov    twitteraudit:https: https://www.twitteraudit.com/SSaydakhmetov  Tweets 1. https://twitter.com/SSaydakhmetov/status/976698253835153408 2. https://twitter.com/SSaydakhmetov/status/977167467687661568 3. https://twitter.com/SSaydakhmetov/status/977537804480770048 4. https://twitter.com/SSaydakhmetov/status/977855162005053440 5. https://twitter.com/SSaydakhmetov/status/978273511964921858 6. https://twitter.com/SSaydakhmetov/status/978643755258531842  Retweets / like: 1. https://twitter.com/P2PAY_Official/status/975598257048031232 2. https://twitter.com/P2PAY_Official/status/975600521041055744 3. https://twitter.com/P2PAY_Official/status/976598826147606529,False
6,msg33522643,https://bitcointalk.org/index.php?topic=2816000.0,msg32996509,3168,Marketplace (Altcoins),2018-03-30 13:08:10,tamradhwaj,Full Member,336,101,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,    ######################TWITTER WEEK 10 (27/03-02/03)############################ tweet: 24-Mar   https://twitter.com/SahuTamradhwaj/status/977394291008987137 25-Mar   https://twitter.com/SahuTamradhwaj/status/977394369916383232 26-Mar   https://twitter.com/SahuTamradhwaj/status/978109343261274112 27-Mar   https://twitter.com/SahuTamradhwaj/status/978109275623931904 28-Mar   https://twitter.com/SahuTamradhwaj/status/979574999852883970 29-Mar   https://twitter.com/SahuTamradhwaj/status/979574915627020288,False
7,msg33557999,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-03-30 22:07:25,Bisiland,Member,448,10,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week (24.03 - 29.03) Twitter Profile Link: https://twitter.com/bisiland     Tweets: 1.https://twitter.com/bisiland/status/979839073689927681 2.https://twitter.com/bisiland/status/979838727798296578  Like and Retweets: 1.https://twitter.com/P2PAY_Official/status/972277021488353280 2.https://twitter.com/P2PAY_Official/status/975593395061166080 3.https://twitter.com/P2PAY_Official/status/975598257048031232  Pinned Retweet: 1.https://twitter.com/bisiland/status/979838727798296578   #############################################################  Facebook profile link - https://m.facebook.com/bisiland                     Sharing on crypto related groups 1.https://www.facebook.com/groups/1814011868815753/permalink/1980492465501025/ 2.https://www.facebook.com/groups/BTCIntl/permalink/2013819465600692/ 3.https://www.facebook.com/groups/1204680889591266/permalink/1789529994439683/   Likes and Comments: 1.https://www.facebook.com/bisiland/posts/10213600809348937 2. 3. 4. 5.  Fb profile share: https://www.facebook.com/bisiland/posts/10213600812749022,False
8,msg33652115,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-01 07:27:45,anton agus,Newbie,210,0,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,facebook campagn number of spreadsheets : 70 BtcTalk User Name : anton agus 1. https://web.facebook.com/siska.smprna/posts/719659321564795 2. https://web.facebook.com/siska.smprna/posts/719659298231464 3. https://web.facebook.com/siska.smprna/posts/719659208231473 4. https://web.facebook.com/siska.smprna/posts/720570301473697 5. https://web.facebook.com/siska.smprna/posts/720961928101201,False
9,msg33708927,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-01 20:01:11,tamango,Full Member,602,100,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,Week 28.3 - 3.4 bitcointalk username   tamango bitcointalk profile link   https://bitcointalk.org/index.php?action=profile;u=1159276 twitter username: CesareCorso    twitter profile link: https://twitter.com/CesareCorso    twitteraudit:https://www.twitteraudit.com/CesareCorso    Tweets/Retweets: 1 28.3 https://twitter.com/CesareCorso/status/978977128552202248 2 29.3 https://twitter.com/CesareCorso/status/979358298045665280 3 30.3 https://twitter.com/CesareCorso/status/979807730608336899 4 31.3 https://twitter.com/CesareCorso/status/980060964962828289 5 1.4 https://twitter.com/CesareCorso/status/980535465173569536,False
10,msg33761270,https://bitcointalk.org/index.php?topic=2816000.0,,3168,Marketplace (Altcoins),2018-04-02 13:43:07,Blockchaincat,Jr. Member,252,6,,[BOUNTY][ICO] ⋘ 🔥P2pay🔥 ⋙ Peer to Peer Lending |$1500000 Million,WEEK:9 (29/03-04/04) Twitter Profile Link: https://twitter.com/NitaKaminski  Retweets: 1. https://twitter.com/P2PAY_Official/status/980395455640154112 2. https://twitter.com/P2PAY_Official/status/980891007167422465 3. https://twitter.com/P2PAY_Official/status/981431403660365825 Likes: 1. https://twitter.com/P2PAY_Official/status/980891007167422465 2. https://twitter.com/P2PAY_Official/status/980395455640154112  Tweets: 1. https://twitter.com/NitaKaminski/status/981510410615640064 2. https://twitter.com/NitaKaminski/status/981512164333834241 ::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::: Facebook Profile Link: https://www.facebook.com/nita.kaminski.7 Post: 1. https://www.facebook.com/nita.kaminski.7/posts/210796179694485 2. https://www.facebook.com/nita.kaminski.7/posts/210799293027507 Likes: 1.,False
