id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44565109,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-23 16:07:52,bachduongkute,Newbie,154,0,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"It is a project that I like a lot, it is very interesting and promising, I hope that success will come in the future",True
2,msg44569754,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-23 17:49:44,Mi chael,Member,266,10,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"It is more interesting, on what key principles is the platform built? What values are laid in it and what is the mission?",True
3,msg44583763,https://bitcointalk.org/index.php?topic=4881027.0,msg44531991,379,Announcements (Altcoins),2018-08-24 01:25:04,ICOEthics,Sr. Member,392,877,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,THIS IS A SCAM - FAKE TEAM   ,True
4,msg44584116,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-24 01:46:05,Jondum,Newbie,253,0,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"easy steps from the vertix platform for user cryptocurrency. Instantly Vertix can convert any cryptocurrency into paper money and buy products. the mechanism is that the user's virtual money is converted to one dollar, so that users can pay anywhere when NFC payment is received.",True
5,msg45568611,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-09-12 07:58:06,SaZaLo,Newbie,19,0,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"OK so it looks like another Hashcard-type scam ?  Whatever all those hybrid-card ""projects"" seem to be scams...",True
6,msg44480518,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-21 21:20:09,Bacnas,Newbie,3,0,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,What is the max bonus?,True
7,msg44532494,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-23 01:05:55,ICOEthics,Sr. Member,392,877,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"THIS IS A SCAM  What happened: FAKE TEAM / Stealing people's identity  Scammers Profile Link: https://bitcointalk.org/index.php?topic=4881027.0 https://archive.fo/jyZkF  Scammer Website: https://vertix.tech/ https://archive.is/8HalK  POSTED ON THE SCAM SECTION: https://bitcointalk.org/index.php?topic=4941676.0  The victims are from TX.  This ICO sale will start in 1 day (23/08/18)! Let's STOP THEM!       FAKE = Niki Berdnik – CEO REAL: Cullen Nigrini - Physical Therapist – Austin – TX REAL Linkedin : https://www.linkedin.com/in/cullennigrini/ https://www.yelp.com/biz/austin-physical-therapy-austin  FAKE = Marvin Petersson REAL = Dustin Gersch - Ameriprise Financial Services, Inc. https://www.ameripriseadvisors.com/dustin.gersch/ https://paleofoundation.com/listings/paleo-powder-seasonings/ https://www.uscity.net/listing/dustin_gersch_ameriprise_financial_services_inc_-9048055  FAKE = Cameron Chan REAL = Tony Jeffery    https://twitter.com/tony12jeffery?lang=en",True
8,msg44533056,https://bitcointalk.org/index.php?topic=4881027.0,msg44532494,379,Announcements (Altcoins),2018-08-23 01:42:00,yudi09,Sr. Member,462,250,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,   it does show that this project has a fake profile team. thanks for this useful information. I will wait whether the team will clarify the issue and be able to give a reason about it .,True
9,msg44533451,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-23 02:03:14,TGBgraib,Newbie,114,0,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"Vertix allows you to instantly convert any cryptocurrency into paper money and buy products. During payment, your virtual money is converted to one dollar, so you can pay anywhere when NFC payments are received.",True
10,msg44534956,https://bitcointalk.org/index.php?topic=4881027.0,,379,Announcements (Altcoins),2018-08-23 03:11:15,milomeo,Newbie,123,0,,[ANN][ICO] Vertix - spend your cryptocurrencies anywhere!🔥 Get your card!🔥,"Many new coin projects are popping up this month but many fail to develop well in the market, hopefully this project can be successful and can compete in the market.Good luck",True
