id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45121790,https://bitcointalk.org/index.php?topic=3112167.0,,318,Announcements (Altcoins),2018-09-03 08:33:39,Cryptonext_Benda,Newbie,6,0,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,"Hi guys, I'm Ben from cryptonext.com.  So first of all good luck with your project 😎✌️  I invite you to submit your ICO to CryptoNext’s ICO List, and join nearly 1000 listed ICO's! https://cryptonext.com/submit-ico",False
2,msg45131512,https://bitcointalk.org/index.php?topic=3112167.0,,318,Announcements (Altcoins),2018-09-03 12:38:18,kemancok,Member,252,10,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,"Is there a requirement to be able to register and join your project? what about the allocation for signatures, is that big? looking forward to the latest things for you and others.",False
3,msg32165138,https://bitcointalk.org/index.php?topic=3112167.0,,318,Announcements (Altcoins),2018-03-12 19:16:03,Lionsea,Newbie,13,0,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,"LIONSEA.io was born with a Mission – Connecting the whole world by Transaction Processing Technology    WEBSITE     TOKEN     WHITEPAPER     ROADMAP     TWITTER     MEDIUM     TELEGRAM     FACEBOOK     FAQ  I. Blockchain 3.0 LSE:           LIONSEA makes a new tendency in Transaction Processing Technology, connects the cryptocurrency’s world to the traditional financial markets faster by the Blockchain 3.0 LSE platform.          LIONSEA deals with the big issues of the financial market, you can convert any Cryptocurrency together on the Blockchain 3.0 LSE platform.  II. Resolving the greatest issues:           1. TRANSACTIONS VELOCITY:          The number of users has grown strongly, which makes Bitcoin and many other cryptocurrency codes jammed and traded quite slowly.           2. TRANSACTION COSTS:          Transaction costs for financial services are very expensive, which limits many users approaching.           3. OPERATION MODEL:          The complicated operation model leads to only a few of them supplying transaction services.           4. THE MARKET LACKS COHESION:          The cohesion between the cryptocurrency market and the traditional financial market is limited by the complicated operation model.           5. CONNECTION:          The connection between cryptocurrency is not strong yet because there is no integrated blockchain platform.  III. E-Wallet & Online transaction:           A Mobile App that is convenient for users to manage and exchange all altcoins.          The online transaction platform allows to exchange LIONSEA with all the big altcoins and easily to take liquidity in any country.  IV. Debit card:           The next-generation debit card allows you to purchase commodity anywhere using BTC or any other codes.          All transactions are immediate, help save much time to convert between cryptographic codes to traditional fiat currencies.  V. Artificial intelligence:           Operations management with the artificial intelligence helps the customers experiencing the service perfectly  VI. LST token allocation chart:           - 50% for Pre-sales & ICO.          - 7% for Marketing & Bonus.          - 10% for Founder & Team.          - 5% for Advisors.          - 12% for Partners Reserve.          - 16% for Building Technology Foundation.  VI. CONTACT US:             - E-MAIL: support@lionsea.io          - TELEGRAM          - TWITTER          - MEDIUM          - FACEBOOK",False
4,msg32179067,https://bitcointalk.org/index.php?topic=3112167.0,msg32165138,318,Announcements (Altcoins),2018-03-13 00:05:28,Ngonline,Jr. Member,250,1,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,    When airdrop coming sir ?,False
5,msg32183687,https://bitcointalk.org/index.php?topic=3112167.0,,318,Announcements (Altcoins),2018-03-13 02:49:01,Lionsea,Newbie,13,0,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,Dear Ngonline  Airdrop timeline: 1. The first time: after finishing Pre-sales cycle. 2. The other time will be continued after finishing  each block - the sale of ICO Name of coin airdrop will be announed one day in advance. You can read Airdrop's Roadmap here: ROADMAP,False
6,msg32184044,https://bitcointalk.org/index.php?topic=3112167.0,,318,Announcements (Altcoins),2018-03-13 02:59:14,EasyGoing,Member,194,10,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,"Hello, Can i translate this to Bahasa Indonesia? and is there any bounty campaign yo promote this?",False
7,msg32184346,https://bitcointalk.org/index.php?topic=3112167.0,,318,Announcements (Altcoins),2018-03-13 03:08:21,inoes,Sr. Member,798,252,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,is that project not support with erc20 smart contract ? and how about escrow i think you need it before star your ICO,False
8,msg32187636,https://bitcointalk.org/index.php?topic=3112167.0,msg32184044,318,Announcements (Altcoins),2018-03-13 04:44:51,Lionsea,Newbie,13,0,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,   Dear Sir  Thank you for your interest in ours project. You can translate to Indonesia to help your community approach easily l. We can take 5% to support the associated marketing.  Registering an account on website: https://lionsea.io/user/register  to have more information.,False
9,msg32189150,https://bitcointalk.org/index.php?topic=3112167.0,msg32184346,318,Announcements (Altcoins),2018-03-13 05:23:24,Lionsea,Newbie,13,0,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,"  Dear Sir  Lionsea is ERC20 token based on smartcontract. In the future, we will perform hardfork and use separate blockchain. Because of  the security of airdrop's plan so we can't publish smartcontract code  Now, we are in the fist stage. Smartcontracy code will public in the second stage.  You can follow our timeline at: ROADMAP  We are happy because of your interest.  Let's share your question continuously.",False
10,msg32192378,https://bitcointalk.org/index.php?topic=3112167.0,msg32183687,318,Announcements (Altcoins),2018-03-13 06:41:47,pranazzs,Member,532,11,,[ANN] [PRE-ICO]⚡️Lionsea⚡️Buy LST Get Airdrop Coin Listed on Bittrex or Binance!,"  So, Airdrop is only for LST Holders !? What is the minimum HOLD LST to be able to follow Airdrop?",False
