id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg30971051,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-02-24 13:38:01,Taqi Ahmad,Newbie,378,0,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"Excuse me! I want to ask to you, why I can not get stake of facebook and twitter campaign in week 1?",True
2,msg31082221,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-02-26 04:36:45,kampret4545,Newbie,131,0,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"I hope the Orbeum project plan builds trust among successful market players, we are very supportive because this is a good plan for luck",True
3,msg31149125,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-02-27 00:41:53,kumarp,Newbie,27,0,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"""I want all you to be carefull regaridng the below ico, bcs the owner of this ico is biggest scammer of all time and parntered with many scammy Progrmmes,  More than 7000 btc has got scammed in 2017 July that was the huge scam of 2017 year, it's just a precaution post be care full about this ico.  The sites which he has scammed and involved was (elite earners club (EEC), WWE(world wide earning), TAT (the ads team) And many more. He is the biggest scammer and behind of all scammy Progrmmes who looted poor peoples money.  I never asked any support from u guys plz support the cause and support us to spread this message and save ur friends from this scam bugs.  Thank you.  Twitter link :-  Take a look at Orbeum (@Orbeums): https://twitter.com/Orbeums?s=08  Here is the ico link  https://orbeum.io/ spread the message to ur friends as them to be careful.  Here his profile link. https://www.facebook.com/jawadrafiquech """,True
4,msg31176270,https://bitcointalk.org/index.php?topic=2934926.0,msg31149125,587,Announcements (Altcoins),2018-02-27 11:19:54,Orbeum,Newbie,42,0,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"   Apologies , this is wrong information being spread by some persons who donot know the team. As far as we see. the person you are mentioning was just promoting this program for his benefit , he is not a part of our team. So please donot take part in spreading wrong information.",True
5,msg31220599,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-02-27 23:16:04,Tospik,Newbie,70,0,,[ANN] Orbeum ICO - Revolutionize a Social giant.,La vente des jetons débute Jeudi à 12h !,True
6,msg31242439,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-02-28 08:33:10,Sirenny,Member,200,10,,[ANN] Orbeum ICO - Revolutionize a Social giant.,This project looks very serious.  Can you explain to me.  What makes this project different from other similar projects?   Thankfulness.,True
7,msg31477006,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-03-03 11:27:18,Richard_1,Full Member,546,148,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"Dear manager, please carefully look at my report for week number  1 (13.02-19.02), 2(20.02-28.02). You misjudged my rewards to me. Until that moment, I had no problems, I do everything on time and without violating the requirements of your company. Hope for understanding. Thank you! ORBEUM Link to the report 1: https://bitcointalk.org/index.php?topic=2936447.msg30337570#msg30337570 Link to the report 2: https://bitcointalk.org/index.php?topic=2936447.msg30673318#msg30673318 My details: Username: Richard_1 URL Twitter: https://twitter.com/Richmon_1 Table: 72 Friends: 16027 Link to Facebook profile: https://www.facebook.com/RichAleksei Table: 69 Friends: 5212 ETH-Address: 0xe38Bf41d25C21b411C406822f4eC682753E3a8b5",True
8,msg32122542,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-03-12 08:40:14,Vegan97,Full Member,378,100,,[ANN] Orbeum ICO - Revolutionize a Social giant.,What's the ICO hardcap?,True
9,msg32134170,https://bitcointalk.org/index.php?topic=2934926.0,msg32122542,587,Announcements (Altcoins),2018-03-12 12:01:02,kotwica666,Legendary,1652,1012,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"   Is it so hard to open first post and read? It is $40M.   I have not seen a more ineffective ICO for a long time! It's hard to find something that is done well in your project! How crazy someone have to be, to end a promotional bounty campaign in the day when is starting selling tokens?  Effect - 12 days - $508  Little advice - take care of something else, because you have no idea about ICO.",True
10,msg32331064,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-03-14 23:16:48,keyscore44,Legendary,1218,1002,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"User Orbeum Last Active:   March 07, 2018, 11:30:18 AM  Other channels of communication, such as Twitter, are active, but unfortunately it looks like developers have stopped visiting Bitcointalk. Maybe their lack of activity here makes so weak result in collecting funds.. ",True
11,msg32332919,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-03-15 00:14:04,assasin21rus,Member,336,10,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"After all, in the etherum, too, is preserved, and even more loves want more anonymity. What is the audience for the project?",True
12,msg32554687,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-03-18 00:23:16,FisherOG,Newbie,70,0,,[ANN] Orbeum ICO - Revolutionize a Social giant.,"Hello, i just completed the ANN thread translation, hope you like it. All the content is original, i did not use any tool to translate it.  https://bitcointalk.org/index.php?topic=3149106.msg32553748#msg32553748  Please, make sure to give some feedback.  Thank you.",True
13,msg32807115,https://bitcointalk.org/index.php?topic=2934926.0,,587,Announcements (Altcoins),2018-03-21 07:14:49,Vegan97,Full Member,378,100,,[ANN] Orbeum ICO - Revolutionize a Social giant.,The website is down. Any updates from the devs?,True
