id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg38823829,https://bitcointalk.org/index.php?topic=3344327.0,msg38739920,9923,Announcements (Altcoins),2018-05-28 23:30:33,dzonikg28,Hero Member,882,500,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,   If in your opinion it's necessary that means you also identified problems that need to be solved. And if you know that this technology can solve those problems then you probably also know how that could work.,False
2,msg39002355,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-30 21:44:08,moonfrost23,Newbie,84,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"it seems like you are already in your public sale, have you been through the private sale? May I know the bonuses that were given for a future insight when the token hit an exchange",False
3,msg39544388,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-06-07 00:08:09,Haticem,Jr. Member,270,4,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,Thank you for joining your program I wish you success,False
4,msg39548880,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-06-07 03:14:31,harbet.robison,Newbie,98,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,Its unique concept and good use case of blockchain technology. Also Stellar platform is making it great. Best of luck to team for good project.,False
5,msg39549077,https://bitcointalk.org/index.php?topic=3344327.0,msg35034373,9923,Announcements (Altcoins),2018-06-07 03:20:44,orbitalcoin,Copper Member,74,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"        Hello,  Very convincing, nothing better than a team who knows what to do and when to do it, because its part of their lives and not just some people with an interesting idea.  Good luck.",False
6,msg39549274,https://bitcointalk.org/index.php?topic=3344327.0,msg39549077,9923,Announcements (Altcoins),2018-06-07 03:26:56,miningguru,Full Member,826,103,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,   In real world there many companies with same thinking but we don't know whether they are running successfully because most of the investors will not belong UK and Europe. We don't get any clarity about the company until they share some information about them.,False
7,msg42116864,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-07-13 18:56:29,timmeyh,Member,179,10,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"The (only) thing I'm worried about is that logistics is not as ""flashy"" (as say e-sports or gambling), so the general public might avoid this amazing ICO. What do you guys think? Do you think it's still as attractive as ever to the average Joe?",False
8,msg42116974,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-07-13 18:58:40,kakaty,Newbie,21,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"CargoChainSolution.io is moving the traditional way to a better, safer and fastest way using blockchain technology and its really great.",False
9,msg42117558,https://bitcointalk.org/index.php?topic=3344327.0,msg41004908,9923,Announcements (Altcoins),2018-07-13 19:10:32,vodyanoykiki,Newbie,112,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"  It is very good that there are different people who promote the project through their resources and so on. I think it is very important to find great popularity in the community, because new users are always needed for the project.",False
10,msg43060675,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-07-29 04:34:18,phamthithutrang,Newbie,266,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,The current offerings in each area are very fragmented with there being no system or systems in the market that make it easy to tie all this information together in a cost effective and transparent way.,False
11,msg43060813,https://bitcointalk.org/index.php?topic=3344327.0,msg43060675,9923,Announcements (Altcoins),2018-07-29 04:38:30,phamthithutrang,Newbie,266,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"  Every business in the sector has its own Apps, APIs and transaction systems, and the great majority of these are simply unable to communicate with others.",False
12,msg45217320,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-09-05 08:01:54,translatorangstrombf,Newbie,5,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"The transport sector is a sector with many problems to be solved today as offering solutions to the problem of traffic jams, traffic management for countries with too many vehicles involved in the hour Peak. This project is directed at the public and investors can buy its price is how much?",False
13,msg47284561,https://bitcointalk.org/index.php?topic=3344327.0,msg45217320,9923,Announcements (Altcoins),2018-10-26 10:18:59,CodeBaseGuy,Newbie,22,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,  It is listed on exchange already,False
14,msg47628321,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-11-06 02:30:20,bongbong2014,Jr. Member,168,2,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"Nowadays too many logistics projects, I'm not sure CargoConX is better than implemented projects. But the blockchain application in the logistics industry is very potential in the future.",False
15,msg36421379,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-05 21:57:46,dzkrb1966,Full Member,602,110,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"Congratulations on the release of the platform on the basis of Stellar. In fact, Stellar has a huge development potential.",False
16,msg36498521,https://bitcointalk.org/index.php?topic=3344327.0,msg35904050,9923,Announcements (Altcoins),2018-05-06 16:32:44,dzonikg28,Hero Member,882,500,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"   It has been quiet for a little while, but it doesn't necessarily mean that they are gone. Maybe they are working more on other channels.",False
17,msg36507838,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-06 18:18:40,donmezali35,Newbie,38,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,[https://www.cargochainsolutions.io/  good project for future,False
18,msg36576496,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-07 11:55:23,dn89215538037,Newbie,4,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,https://www.cargochainsolutions.io/  very interesting project,False
19,msg36577265,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-07 12:04:35,mhoqee,Newbie,6,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,good source for free token,False
20,msg36611192,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-07 18:51:27,Poweralco,Newbie,26,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,CargoChain Solutions (CSS) aim to solve real world problems that transport and logistics companies face today. Cargochain is rated 3.8/5 by ICO Bench. CargoChain Solutions is built on Stellar platform. - GREAT to see another Stellar partner!,False
21,msg36883309,https://bitcointalk.org/index.php?topic=3344327.0,msg36611192,9923,Announcements (Altcoins),2018-05-10 15:03:19,dzonikg28,Hero Member,882,500,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,   What was actually the decision to build this on top of Stellar? Is there a comparison or so between the platforms that speaks in favor of Stellar?,False
22,msg36960532,https://bitcointalk.org/index.php?topic=3344327.0,,9923,Announcements (Altcoins),2018-05-11 11:07:56,cerceveligozluk,Newbie,196,0,,[ANN] [ICO] Cargo Chain Solutions Build Their Logistics Platform On Stellar,"As someone with a small international business and having to face all the costs that this entails, Cargo Chain seems like a really good idea. There is a genuine gap in the market and this crypto should go far!",False
