id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg45478668,https://bitcointalk.org/index.php?topic=3339432.0,,206,Announcements (Altcoins),2018-09-10 09:14:42,pedrocas,Newbie,14,0,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],Participate here! https://wizard.poa.network/invest?addr=0x3443394E0B6D891C2d5F2a6DB8305cF53308c19E&networkID=1,False
2,msg45484419,https://bitcointalk.org/index.php?topic=3339432.0,msg43815825,206,Announcements (Altcoins),2018-09-10 11:45:17,kemancok,Member,252,10,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],"   you are right, the vision and mission of this project is very good, hopefully the team can provide better updates and can promote well success, hopefully success with you.",False
3,msg45484537,https://bitcointalk.org/index.php?topic=3339432.0,msg45484419,206,Announcements (Altcoins),2018-09-10 11:47:46,pedrocas,Newbie,14,0,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],   Thank you so much! We're quite focused in making Bityond the best goddamn recruitment platform out there,False
4,msg45754088,https://bitcointalk.org/index.php?topic=3339432.0,msg45484537,206,Announcements (Altcoins),2018-09-16 05:13:03,kemancok,Member,252,10,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],"     of course that can happen with hard work, of course, all will get satisfying results, how come the team and dev think of new things to attract investors to join together, good luck.",False
5,msg45754647,https://bitcointalk.org/index.php?topic=3339432.0,,206,Announcements (Altcoins),2018-09-16 05:32:03,kemancok,Member,252,10,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],"This project has a good vision and mission, I am quite interested in this project, but why does this project look pretty calm, bro? is it finished or what?.",False
6,msg45941621,https://bitcointalk.org/index.php?topic=3339432.0,msg45754647,206,Announcements (Altcoins),2018-09-20 12:51:49,pedrocas,Newbie,14,0,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],"   Thanks a lot Kemancok!  It looks calm, because that's our mindset. We're releasing the new version soon, so we're focused on development  Have you tried Bityond 2.0 usability tests? If not, please do! Any feedback would be greatly appreciated.",False
7,msg34941923,https://bitcointalk.org/index.php?topic=3339432.0,,206,Announcements (Altcoins),2018-04-17 17:28:25,pedrocas,Newbie,14,0,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],"Bityond Tokens Announcement  Website - White Paper - Telegram - Github - Youtube Facebook - Twitter - Medium - Discord - Linkedin  Decentralizing Recruitment & Talent Management  Bityond is a recruitment and talent management platform that matches candidates to jobs, based on skills, experience, characteristics and availability. Our mission is to give candidates a quick way to find meaningful jobs and employers the power to recruit people with the right skill-set, or to manage employees by skills, experience and availability.  As we transition into a distributed network model we aim at bringing more value to our community, by giving economic incentives via the Bityond Tokens, to any user who participates in the Bityond network.  Bityond Tokens serve 3 purposes:  A. Free Tokens Token holders will receive free tokens during yearly airdrops,  B. Voting As users will be able to vote on new developments and features,  C. Utility As users can spend tokens to sponsor new developments and purchase subscriptions.   Bityond Tokens will be offered to users who:  1.Participate in the ICO  or  2.Use the platform as tokens will be given for free upon completing certain actions  ICO DETAILS Maximum supply: 100,000,000.00 (100 million BYT) ICO: 40,000,000.00 (40 million BYT) Reserved for Bityond users: 50,000,000.00 (50 million BYT) Reserved for Bityond: 10,000,000.00 (10 million BYT) Price 1 ETH = 100,000.00 (100 thousand BYT) Minimum ETH per participant: 0.2 ETH ICO ETH goal amount: 400 ETH  40% - ICO participators | 50% - Bityond users | 10% - Team  https://i.imgur.com/jQ5IKye.jpg  Bityond Team https://i.imgur.com/UKYV4d5.jpg   Bityond 1.0 is LIVE Signup now!   ICO DATE 15 MAY 2018 12:00 UTC, 15 SEPTEMBER 2018 00:00 UTC   ICO PRICE 1 ETH = 100,000.00 BYT   ----------IMPORTANT UPDATE----------   BITYOND 2.0 USABILITY TESTS AVAILABLE!  10,000.00 BYT PRIZE-POOL FOR THE BEST SUGGESTIONS   PROFILE TEST 1 TEST 2 TEST 3  JOBS TEST 1 TEST 2  EMPLOYERS TEST 1 TEST 2 TEST 3  NETWORK & REVIEWS TEST 1 TEST 2",False
8,msg34943453,https://bitcointalk.org/index.php?topic=3339432.0,,206,Announcements (Altcoins),2018-04-17 17:51:39,pedrocas,Newbie,14,0,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],Thanks!  Any questions please do let me know!,False
9,msg34943586,https://bitcointalk.org/index.php?topic=3339432.0,,206,Announcements (Altcoins),2018-04-17 17:53:39,elsya syafira,Full Member,350,100,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],"great idea, concept, application and i want to take part in it. i hope this project will success and get many people to recruitment. when ICO? may i will invest on it, thank you.",False
10,msg34944297,https://bitcointalk.org/index.php?topic=3339432.0,,206,Announcements (Altcoins),2018-04-17 18:04:28,pedrocas,Newbie,14,0,,[ICO] Bityond Tokens: Decentralizing Recruitment [ICO],   Thanks a lot Elsya!  ICO will start in 01-05-2018 (1st May 2018) at 12:00 UTC  KYC registration forms will be available later this week. We currently allow investors from all over the world (after passing KYC verification)  Check the website and signup for news and updates.,False
