id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg44888199,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-08-29 21:36:11,Igor Beijing,Newbie,33,0,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"It is really strange that the company abandoned all kinds of media where they were previously active and moved to Telegram. It’s really shaddy, and I guess they purposely did that in order to be able to block users and avoid certain questions.  Also, I really doubt they will have the debit card ready in September (per their roadmap).  BTW is their B-Wallet app ready as it was supposed to be ready between July and August?",False
2,msg44899246,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-08-30 05:12:58,itsmelooo,Newbie,5,0,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,Has the first hardware order been placed as it states in the roadmap or are you waiting ETH to recover a bit more?,False
3,msg44996382,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-08-31 20:46:25,den_penta,Member,336,10,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"Today (tonight in my case) Miner One inform investors about first payment. It wasn't full capacity of ASICs (just 770 pieces) and they worked only 13 days. You need to pay GAS cost because it is Etherium network. So... As they say:      Or, in other words, if you have 1000MIO you could (if you want to pay GAS for such small amount) get 0,0017351686034126 ETH. Or (with current $280/ETH) it is $0,486. Now you can multiply it for full month (not 13 days) and full capacity of ASICs.  Don't know your digits but for me each 1000 of MIO costs about $550 during ICO time, period.",False
4,msg45056209,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-09-02 05:22:03,minerbobbert,Member,167,10,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"Wait - so payouts are not automatic to the holders of the tokens??? They now have to be ""claimed?"" How does one do that?",False
5,msg45061888,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-09-02 07:58:02,den_penta,Member,336,10,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"From official MinerOne e-mail: =================== A HANDY ""HOW TO"" GUIDE STEP ONE Make sure your MIO is in your ERC20 wallet (not on the Miner One dashboard) and that you have at least 0.00044413 ETH (equivalent to US $0.12) in the wallet for GAS (the transaction fee).  STEP TWO Send 0.0 ETH from your ERC20 wallet to the following smart contract address (be certain you have entered it correctly):  0x141044ccc363d6e8d92dd8983422775913e304ec   Set GAS to 5 and GAS LIMIT to 200000.  STEP THREE Your payout should arrive in your wallet in the form of ETH. ===================",False
6,msg45062431,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-09-02 08:09:45,den_penta,Member,336,10,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"It's not exactly 'claiming' it just a 'activation' of smart-contract work.  And yes, for small holding amount of MIO there is no reasons to 'claim' it anyway. Because GAS price will eat big part of 'profit'   Member PS92 in the competitors topic https://bitcointalk.org/index.php?topic=2781356.msg45050248#msg45050248 remind us about 23% which was paid to investors this time but will be used for equipment updates next time.",False
7,msg45356470,https://bitcointalk.org/index.php?topic=2682740.0,msg44888199,25578,Announcements (Altcoins),2018-09-07 21:43:57,minerbobbert,Member,167,10,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,     Why do these types of icos prefer telegram? I still haven't installed it because they want identifying info and there is no way to access the forums anonymously...,False
8,msg45396973,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2018-09-08 18:23:41,den_penta,Member,336,10,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"   It's so easy: - telegram are ideal place for manipulation:    - they can ban anyone    - they can flood whole channel with different 'members' (in fact just their own staff) so, end result are artifical made and have no relations with real life  - their target auditory prefer telegram    just millions of young idiots who's drown mother's money for ICO's  - work with this auditory are cheap.    One~two students working as 'moderator'or 'support'   So, here we go: cheap manipulation of idiot's herd.",False
9,msg49156560,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2019-01-10 14:14:49,flyingplows,Sr. Member,462,250,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,Interestingly enough mining difficulty goes up again... and to my knowledge your miners are switched off due to unprofitability. But you have a large mining farm and should be able to compete.. How is that situation possible? Are others mining at a loss or you are that inefficient with management and electricity cost? There is no way all competition upgraded to new gen miners..,False
10,msg49580007,https://bitcointalk.org/index.php?topic=2682740.0,,25578,Announcements (Altcoins),2019-02-04 12:06:06,GorestFump,Newbie,1,0,,🔥 [ANN] 🔥 [ICO] 🚀 Miner One - Cutting-Edge Bitcoin Mining. 🔵 🔵 Crowdfunded.,"It seems to me we are heading slowly to the point where it is called a SCAM. Pranas Slusnys - as the CEO of MinerOne - should take the opportunity and explain the situation to the investors. In telegram he was stating recently ""his reputation is at stake"". I would like to remember him on that. Responsibility is not just taking the money and do nothing.  If it turns out to be a SCAM, he and his fellow partners will be remembered a long time.  issues: - no proof of purchases (3850 Antminers from December 2018) - no proof of containers, 12 were reported to be filled with those Antminers - no proof of financials (reports were promised) - communication reduced to almost zero in telegram group lately",False
