id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35130351,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 00:04:03,HumanixR,Newbie,7,0,,HumanixR (HNX) token pre-sale,Announcing HumanixR Presale Duration - 20th May 2018 to 20th June 2018  Project Overview HumanixR is a Decentralized Application (DApp) built on top of Ethereum Blockchain that seeks to incentivize human interaction and pass on majority of the benefits to the community.  The overall theme is to leverage the community to provide humans with real time and personalized content – enriching lives and enhancing experiences.  It represents the the next evolution of social networks and technology.  Problems we are Looking to Solve  The list problems being solved by our project -  Social Network: No Economic Benefit for Users Centralization and Censorship Do away with Intrusive Ads Data Privacy Concerns Lack of Real Time Validated Content  More details on how HumanixR is solving them can be found in our blog and whitepaper   Important Links  Website - Humanixr - ]https://www.humani[Suspicious link removed] Explainer Video - Humanixr - https://www.youtube.com/watch?v=F03i1ukKFyw White paper - /whitepaper]https://www.humani[Suspicious link removed]/whitepaper Problems HumanixR intends to solve: https://medium.com/humanxir/problems-humanixr-intends-to-solve-7725f1ec8ccc Data Privacy & Tech Giants: An Honest Opinion: https://medium.com/humanxir/data-privacy-tech-giants-an-honest-opinion-54cb1d6f752f Transparency and Humanity: https://medium.com/humanxir/transparency-and-humanity-a0ec726f2d7c Rewarding People for their Insights:  https://medium.com/humanxir/rewarding-people-for-their-data-b697b1944f45  Social Media Links and Contacts  Email - info@humani[Suspicious link removed] Facebook - Humanixr - https://www.facebook.com/HumanixR/ Twitter - https://twitter.com/humanixR Telegram: https://t.me/HumanixR Medium: https://medium.com/@humanixr Steemit: https://steemit.com/@humanixr  We would love to discuss the project here and answer question,False
2,msg35153205,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 09:17:57,qdavidoric,Newbie,18,0,,HumanixR (HNX) token pre-sale,"Where can I get more information about this project, any websites or links?",False
3,msg35157032,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 10:18:52,HumanixR,Newbie,7,0,,HumanixR (HNX) token pre-sale,Hi  Thats one of the use cases of this project. On humanixr dapp you can get information which is verified by other users and everyone gets rewarded for participating in a query.  /]Humanixr Project,False
4,msg35158656,https://bitcointalk.org/index.php?topic=3354893.0,msg35153205,147,Announcements (Altcoins),2018-04-20 10:44:29,CryptomanIndia,Newbie,1,0,,HumanixR (HNX) token pre-sale,"   Somehow a part of the website - URL is getting flagged as a suspicious link - but you can try www. humanixr .com, remember to remove the spaces  You can visit the blog @ https://medium.com/@humanixr Steemit Account - https://steemit.com/@humanixr Look at the Youtube video @ https://www.youtube.com/watch?v=F03i1ukKFyw",False
5,msg35184529,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 16:47:43,dinu98xx98,Newbie,25,0,,HumanixR (HNX) token pre-sale,Are there any news or release gonna be announced before end of this month ? I set my eyes on this,False
6,msg35190107,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 18:11:23,HumanixR,Newbie,7,0,,HumanixR (HNX) token pre-sale,Thank you for your interest. We have mentioned our high level releases on the roadmap published on the website.,False
7,msg35196454,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 19:56:14,fadaab,Newbie,1,0,,HumanixR (HNX) token pre-sale,very interesting concept of live verifiable content and getting rewarded. Will definitely read the whitepaper. good project though.,False
8,msg35196490,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 19:56:51,Icohunter2030,Newbie,2,0,,HumanixR (HNX) token pre-sale,Interesting product concurrent with Blockchain.  #TakemyEth,False
9,msg35196605,https://bitcointalk.org/index.php?topic=3354893.0,,147,Announcements (Altcoins),2018-04-20 19:58:43,bitcoinstress,Full Member,230,100,,HumanixR (HNX) token pre-sale,No website? Did you already have white paper and road map. Seem you have good idea. I'm interesting with your project.,False
10,msg35196915,https://bitcointalk.org/index.php?topic=3354893.0,msg35196605,147,Announcements (Altcoins),2018-04-20 20:04:21,HumanixR,Newbie,7,0,,HumanixR (HNX) token pre-sale,  www. humanixr .com please remove the spaces and open website. on website you will find roadmap as well as whitepaper. pre sale is going live any moment now. Thanks for your interest in the project.,False
